date,average,highest,lowest,order_count,volume
2025-05-27,80000000.0,80000000.0,80000000.0,1,1
2025-05-28,909660000.0,999400000.0,899450000.0,5,5
2025-06-05,399000000.0,399000000.0,399000000.0,1,1
2025-06-07,400000000.0,400000000.0,400000000.0,1,1
2025-07-18,400000000.0,400000000.0,400000000.0,1,1
2025-08-20,399450000.0,399900000.0,399000000.0,2,2
2025-09-01,60290000.0,60290000.0,60290000.0,1,1
2025-09-05,332950000.0,398950000.0,300000000.0,6,6
2025-09-06,349500000.0,350000000.0,349000000.0,2,2
2025-10-20,253333333.33,280000000.0,240000000.0,3,3
2025-10-26,241760000.0,289900000.0,229500000.0,5,5
2025-10-28,232000000.0,232000000.0,232000000.0,1,1
2025-11-07,230000000.0,230000000.0,230000000.0,1,1
2025-11-08,85950000.0,135900000.0,36000000.0,2,2
