date,average,highest,lowest,order_count,volume
2025-05-20,623500000.0,747000000.0,500000000.0,2,2
2025-05-22,351500000.0,650600000.0,201950000.0,3,3
2025-05-24,525575000.0,589700000.0,333000000.0,4,4
2025-05-25,599450000.0,599500000.0,599400000.0,2,2
2025-05-27,526700000.0,589100000.0,214500000.0,6,6
2025-05-28,588900000.0,589150000.0,588000000.0,5,5
2025-05-29,219400000.0,219400000.0,219400000.0,1,1
2025-05-30,583500000.0,583500000.0,583500000.0,1,1
2025-05-31,543788888.89,582450000.0,225400000.0,9,9
2025-06-01,514790909.09,557800000.0,313300000.0,10,11
2025-06-02,578900000.0,578900000.0,578900000.0,1,1
2025-06-03,469725000.0,549000000.0,233100000.0,4,4
2025-06-04,569983333.33,578700000.0,548000000.0,12,12
2025-06-05,586900000.0,589200000.0,580000000.0,4,4
2025-06-06,597014285.71,650000000.0,589350000.0,7,7
2025-06-08,948950000.0,949000000.0,948900000.0,2,2
2025-06-09,488000000.0,488000000.0,488000000.0,1,1
2025-06-10,790000000.0,790000000.0,790000000.0,1,1
2025-06-12,790000000.0,790000000.0,790000000.0,1,1
2025-06-13,297600000.0,297600000.0,297600000.0,1,1
2025-06-16,493800000.0,493800000.0,493800000.0,1,1
2025-06-17,389160000.0,488950000.0,324000000.0,5,5
2025-06-18,520737500.0,610600000.0,489950000.0,8,8
2025-06-22,358760000.0,450000000.0,336100000.0,4,5
2025-06-23,335475000.0,336050000.0,334900000.0,4,4
2025-06-24,329825000.0,334350000.0,325300000.0,4,4
2025-06-28,256657142.86,280700000.0,239200000.0,7,7
2025-06-29,335905882.35,429000000.0,318850000.0,23,34
2025-07-03,398575000.0,398650000.0,398500000.0,4,4
2025-07-05,238100000.0,238100000.0,238100000.0,1,1
2025-07-06,266475000.0,293750000.0,239200000.0,4,4
2025-07-07,311000000.0,311000000.0,311000000.0,1,1
2025-07-08,240100000.0,240100000.0,240100000.0,1,1
2025-07-09,303053846.15,312950000.0,299500000.0,13,13
2025-07-10,230000000.0,230000000.0,230000000.0,1,1
2025-07-12,280933333.33,300100000.0,242600000.0,3,3
2025-07-13,241333333.33,242500000.0,239000000.0,3,3
2025-07-16,273863636.36,279400000.0,238900000.0,10,11
2025-07-17,259600000.0,289800000.0,230100000.0,8,10
2025-07-18,230000000.0,230000000.0,230000000.0,1,1
2025-07-19,227500000.0,227500000.0,227500000.0,1,1
2025-07-21,278650000.0,278700000.0,278600000.0,2,2
2025-07-22,257225000.0,268000000.0,227900000.0,4,4
2025-07-23,248100000.0,267600000.0,228600000.0,2,2
2025-07-24,248800000.0,267700000.0,229900000.0,2,2
2025-07-25,247600000.0,264000000.0,231200000.0,2,2
2025-07-26,230000000.0,230000000.0,230000000.0,1,1
2025-07-27,235350000.0,251500000.0,230000000.0,4,4
2025-07-28,228000000.0,228000000.0,228000000.0,1,1
2025-07-29,228200000.0,228200000.0,228200000.0,1,1
2025-07-30,238225000.0,241000000.0,228200000.0,4,4
2025-07-31,235833333.33,239550000.0,228400000.0,3,3
2025-08-01,240425000.0,243000000.0,239400000.0,4,4
2025-08-03,230600000.0,235000000.0,228400000.0,3,3
2025-08-04,234750000.0,241100000.0,228400000.0,2,2
2025-08-05,236300000.0,240500000.0,227900000.0,3,3
2025-08-06,240366666.67,241100000.0,240000000.0,3,3
2025-08-07,227900000.0,227900000.0,227900000.0,1,1
2025-08-08,227900000.0,227900000.0,227900000.0,1,1
2025-08-09,234500000.0,241500000.0,227500000.0,2,2
2025-08-11,200000000.0,200000000.0,200000000.0,2,2
2025-08-12,197700000.0,197700000.0,197700000.0,1,1
2025-08-13,128900000.0,128900000.0,128900000.0,1,1
2025-08-14,179700000.0,179700000.0,179700000.0,2,2
2025-08-15,179875000.0,179950000.0,179800000.0,4,4
2025-08-16,198466666.67,205400000.0,196000000.0,6,6
2025-08-17,262566666.67,264600000.0,261550000.0,3,3
2025-08-18,248000000.0,256000000.0,240000000.0,2,2
2025-08-21,226350000.0,255000000.0,141400000.0,4,4
2025-08-27,237350000.0,237500000.0,237200000.0,2,2
2025-08-29,221040000.0,238150000.0,151800000.0,5,5
2025-08-30,289850000.0,398700000.0,260000000.0,12,12
2025-08-31,251600000.0,338600000.0,164600000.0,2,2
2025-09-01,281700000.0,338550000.0,168000000.0,3,3
2025-09-02,190900000.0,209900000.0,171900000.0,2,2
2025-09-03,288933333.33,333250000.0,200300000.0,3,3
2025-09-04,386466666.67,440900000.0,336900000.0,10,12
2025-09-06,339900000.0,339900000.0,339900000.0,1,1
2025-09-07,339900000.0,339900000.0,339900000.0,1,1
2025-09-08,361900000.0,361900000.0,361900000.0,1,1
2025-09-10,360300000.0,360300000.0,360300000.0,1,1
2025-09-12,373950000.0,381800000.0,350900000.0,4,4
2025-09-15,360600000.0,380550000.0,340650000.0,4,4
2025-09-16,366700000.0,379900000.0,340300000.0,3,3
2025-09-17,320000000.0,320000000.0,320000000.0,1,1
2025-09-18,320000000.0,320000000.0,320000000.0,1,1
2025-09-19,355337500.0,359400000.0,345500000.0,8,8
2025-09-20,396733333.33,405000000.0,382800000.0,6,6
2025-09-22,300000000.0,300000000.0,300000000.0,2,2
2025-09-23,300000000.0,300000000.0,300000000.0,1,1
2025-09-25,219600000.0,219600000.0,219600000.0,1,1
2025-09-26,319875000.0,329700000.0,300000000.0,4,4
2025-09-27,327400000.0,329800000.0,325000000.0,2,2
2025-09-28,343833333.33,343900000.0,343800000.0,3,3
2025-10-01,395771794.87,429100000.0,345500000.0,32,39
2025-10-02,314000000.0,394950000.0,152100000.0,3,3
2025-10-05,230600000.0,230600000.0,230600000.0,1,1
2025-10-07,284950000.0,289900000.0,280000000.0,2,2
2025-10-08,310542857.14,320700000.0,284650000.0,7,7
2025-10-10,200050000.0,200200000.0,199900000.0,2,2
2025-10-11,197000000.0,197000000.0,197000000.0,1,1
2025-10-12,197050000.0,197100000.0,197000000.0,2,2
2025-10-13,314900000.0,314900000.0,314900000.0,1,1
2025-10-15,227700000.0,227800000.0,227500000.0,2,3
2025-10-17,238900000.0,238900000.0,238900000.0,1,1
2025-10-18,233566666.67,233850000.0,233000000.0,3,3
2025-10-20,228100000.0,228700000.0,227900000.0,4,4
2025-10-22,186366666.67,209600000.0,139900000.0,3,3
2025-10-23,131700000.0,131700000.0,131700000.0,1,1
2025-10-24,229950000.0,230000000.0,229900000.0,2,2
2025-10-25,228650000.0,228700000.0,228600000.0,2,2
2025-10-29,217900000.0,217900000.0,217900000.0,1,1
2025-10-30,176266666.67,205000000.0,161900000.0,3,3
2025-10-31,160100000.0,160100000.0,160100000.0,1,1
2025-11-01,216800000.0,216800000.0,216800000.0,1,1
2025-11-02,173300000.0,199800000.0,160050000.0,3,3
2025-11-03,160083333.33,160100000.0,160000000.0,5,6
2025-11-04,172683333.33,189700000.0,160200000.0,9,12
2025-11-05,160100000.0,160100000.0,160100000.0,1,1
2025-11-06,205000000.0,205000000.0,205000000.0,1,1
2025-11-08,160100000.0,160100000.0,160100000.0,1,1
2025-11-09,208337500.0,215700000.0,199450000.0,6,8
2025-11-11,169900000.0,169900000.0,169900000.0,1,1
2025-11-12,196670000.0,203900000.0,179900000.0,10,10
2025-11-14,205100000.0,209700000.0,200500000.0,2,2
