date,average,highest,lowest,order_count,volume
2025-06-08,1900000000.0,1900000000.0,1900000000.0,1,1
2025-06-22,1300000000.0,1300000000.0,1300000000.0,1,1
2025-07-02,1202000000.0,1202000000.0,1202000000.0,1,1
2025-08-19,2215000000.0,2215000000.0,2215000000.0,1,1
2025-09-04,1500000000.0,1500000000.0,1500000000.0,1,1
2025-09-07,2216000000.0,2216000000.0,2216000000.0,1,1
2025-09-19,864166666.67,1122000000.0,349500000.0,6,6
2025-09-20,1243727272.73,1992000000.0,1000000000.0,11,11
2025-09-21,339820000.0,400000000.0,250050000.0,5,5
2025-09-22,362525000.0,600000000.0,300000000.0,4,4
2025-09-23,133300000.0,133300000.0,133300000.0,1,1
2025-09-24,149850000.0,164600000.0,135100000.0,2,2
2025-09-25,196950000.0,278900000.0,134700000.0,5,8
2025-09-26,173338461.54,279900000.0,134900000.0,12,13
2025-09-27,155100000.0,160000000.0,150200000.0,2,2
2025-09-28,135658823.53,150100000.0,135000000.0,7,17
2025-09-29,252820000.0,259400000.0,125000000.0,15,15
2025-09-30,142333333.33,180000000.0,123500000.0,2,3
2025-10-01,222628571.43,295100000.0,125300000.0,7,7
2025-10-02,172642857.14,290800000.0,125200000.0,5,7
2025-10-03,291333333.33,291800000.0,291100000.0,3,3
2025-10-04,291100000.0,291100000.0,291100000.0,1,1
2025-10-05,162676923.08,249700000.0,129100000.0,12,13
2025-10-06,132312500.0,246500000.0,125100000.0,6,8
2025-10-08,243400000.0,244400000.0,242400000.0,2,2
2025-10-09,125000000.0,125000000.0,125000000.0,2,2
2025-10-11,174933333.33,199900000.0,125000000.0,3,3
2025-10-12,198950000.0,199000000.0,198900000.0,2,2
2025-10-13,122220000.0,199000000.0,103000000.0,4,5
2025-10-14,55000000.0,55000000.0,55000000.0,1,3
2025-10-16,53053333.33,53060000.0,53050000.0,2,3
2025-10-17,52893333.33,53350000.0,50320000.0,6,6
2025-10-18,114875000.0,178800000.0,50950000.0,2,2
2025-10-20,50645000.0,50660000.0,50630000.0,2,2
2025-10-21,54332000.0,69000000.0,50665000.0,5,5
2025-10-22,110855000.0,171100000.0,50610000.0,2,2
2025-10-23,153531111.11,176150000.0,114850000.0,17,18
2025-10-24,178300000.0,178300000.0,178300000.0,1,1
2025-10-25,112196000.0,175200000.0,70770000.0,5,5
2025-10-26,90743333.33,127900000.0,72165000.0,3,3
2025-10-27,91273333.33,99850000.0,74120000.0,3,3
2025-10-28,76073333.33,80000000.0,74110000.0,3,3
2025-10-29,150446000.0,179900000.0,101350000.0,10,10
2025-10-30,100000000.0,100000000.0,100000000.0,1,2
2025-10-31,146287500.0,192600000.0,100000000.0,5,8
2025-11-02,151433333.33,189600000.0,75100000.0,3,3
2025-11-03,113663333.33,189700000.0,75645000.0,3,3
2025-11-04,132530000.0,189300000.0,75760000.0,2,2
2025-11-07,93363333.33,100000000.0,80090000.0,2,3
2025-11-08,92018000.0,100000000.0,80045000.0,3,5
2025-11-09,117632500.0,155250000.0,80015000.0,4,4
2025-11-10,82970000.0,88900000.0,80005000.0,3,3
2025-11-11,81010000.0,81010000.0,81010000.0,1,1
2025-11-12,133396250.0,175500000.0,81040000.0,8,8
2025-11-13,119933333.33,129900000.0,100000000.0,3,3
2025-11-14,87508000.0,92510000.0,80000000.0,4,5
