date,average,highest,lowest,order_count,volume
2025-05-24,1299333333.33,1301000000.0,1298500000.0,3,3
2025-05-25,1000000000.0,1000000000.0,1000000000.0,1,1
2025-05-29,1210000000.0,1210000000.0,1210000000.0,1,1
2025-06-04,999950000.0,1000000000.0,999900000.0,2,2
2025-06-08,990000000.0,990000000.0,990000000.0,1,1
2025-06-18,1220500000.0,1323000000.0,1118000000.0,2,2
2025-06-19,1324000000.0,1324000000.0,1324000000.0,1,1
2025-07-09,1296333333.33,1299500000.0,1290000000.0,3,3
2025-07-18,750000000.0,750000000.0,750000000.0,1,1
2025-07-20,1100000000.0,1100000000.0,1100000000.0,1,1
2025-07-22,1310000000.0,1310000000.0,1310000000.0,1,1
2025-07-26,635000000.0,635000000.0,635000000.0,1,1
2025-08-03,998000000.0,998000000.0,998000000.0,1,1
2025-08-07,999000000.0,999000000.0,999000000.0,1,1
2025-08-23,875000000.0,900000000.0,850000000.0,2,2
2025-08-24,999500000.0,1000000000.0,999000000.0,2,2
2025-09-12,990000000.0,990000000.0,990000000.0,1,1
2025-09-19,1196000000.0,1196000000.0,1196000000.0,1,1
2025-09-20,1197000000.0,1197000000.0,1197000000.0,1,1
2025-10-22,1194000000.0,1194000000.0,1194000000.0,1,1
2025-10-25,200000000.0,200000000.0,200000000.0,1,1
2025-10-27,1195000000.0,1195000000.0,1195000000.0,1,1
