date,average,highest,lowest,order_count,volume
2025-05-21,70010000.0,70010000.0,70010000.0,1,1
2025-05-24,70000000.0,70000000.0,70000000.0,1,1
2025-05-28,70010000.0,70010000.0,70010000.0,1,1
2025-05-30,199800000.0,199800000.0,199800000.0,1,1
2025-06-01,70050000.0,70050000.0,70050000.0,1,1
2025-06-02,199800000.0,199800000.0,199800000.0,1,1
2025-06-07,169650000.0,169700000.0,169600000.0,2,2
2025-06-08,170000000.0,170000000.0,170000000.0,1,1
2025-06-21,167450000.0,169900000.0,165000000.0,2,2
2025-06-26,155900000.0,155900000.0,155900000.0,1,1
2025-06-27,140450000.0,155900000.0,125000000.0,2,2
2025-07-01,156000000.0,156000000.0,156000000.0,1,1
2025-07-05,160000000.0,160000000.0,160000000.0,1,1
2025-07-12,71153750.0,71210000.0,71100000.0,7,8
2025-07-17,159000000.0,159000000.0,159000000.0,1,1
2025-07-22,159000000.0,159000000.0,159000000.0,1,1
2025-07-23,199900000.0,199900000.0,199900000.0,1,1
2025-08-02,199000000.0,199000000.0,199000000.0,1,1
2025-08-03,72145000.0,72150000.0,72140000.0,2,2
2025-08-10,200000000.0,200000000.0,200000000.0,2,2
2025-08-14,231900000.0,231900000.0,231900000.0,1,1
2025-08-21,200000000.0,200000000.0,200000000.0,1,1
2025-08-28,231900000.0,231900000.0,231900000.0,1,1
2025-09-05,190000000.0,190000000.0,190000000.0,1,1
2025-09-10,231900000.0,231900000.0,231900000.0,1,1
2025-09-11,231900000.0,231900000.0,231900000.0,1,1
2025-09-13,71020000.0,71020000.0,71020000.0,1,1
2025-09-19,1000000000.0,1000000000.0,1000000000.0,1,1
2025-10-19,600000000.0,600000000.0,600000000.0,1,1
