date,average,highest,lowest,order_count,volume
2025-05-20,1154604.4,2300000.0,1102000.0,16,91
2025-05-21,1121220.0,1897000.0,1105000.0,16,50
2025-05-22,1113166.67,1114000.0,1112000.0,11,36
2025-05-23,1215985.92,1600000.0,1116000.0,13,71
2025-05-24,1116294.87,1121000.0,1103000.0,16,78
2025-05-25,1209104.48,1449000.0,1107000.0,18,67
2025-05-26,1420000.0,1500000.0,1419000.0,29,169
2025-05-27,2064086.21,2297000.0,1880000.0,10,58
2025-05-28,2227875.0,3068000.0,1151000.0,6,16
2025-05-29,1176000.0,1200000.0,1170500.0,9,33
2025-05-30,1964440.68,2154000.0,1895000.0,13,59
2025-05-31,1650583.33,2995000.0,1204000.0,8,24
2025-06-01,2299761.19,2999000.0,1220000.0,20,67
2025-06-02,1245944.44,1246000.0,1245000.0,7,18
2025-06-03,1244000.0,1246000.0,1242500.0,6,14
2025-06-04,2249404.76,2680000.0,1253000.0,9,42
2025-06-05,1462594.59,2500000.0,1310000.0,11,37
2025-06-06,1853357.14,2050000.0,1315000.0,6,14
2025-06-07,2100000.0,2803000.0,1253000.0,20,114
2025-06-08,1288517.24,2300000.0,1252000.0,10,29
2025-06-09,1496952.38,2000000.0,1257000.0,7,21
2025-06-10,1356857.14,1950000.0,1258000.0,3,7
2025-06-11,1260000.0,1260000.0,1260000.0,3,15
2025-06-12,1900000.0,1900000.0,1900000.0,1,1
2025-06-13,1266230.77,1267000.0,1266000.0,6,13
2025-06-14,1240692.31,1261000.0,1038000.0,10,39
2025-06-15,1337434.78,1699000.0,1261000.0,7,23
2025-06-16,1261148.15,1262000.0,1261000.0,7,27
2025-06-17,1262000.0,1262000.0,1262000.0,4,12
2025-06-18,1262500.0,1263000.0,1262000.0,2,6
2025-06-19,1265250.0,1266000.0,1263000.0,4,12
2025-06-20,1440538.46,1478000.0,1269000.0,5,13
2025-06-21,1557461.54,1618000.0,1272000.0,12,52
2025-06-22,1560000.0,1838000.0,1282000.0,2,6
2025-06-23,1282000.0,1282000.0,1282000.0,1,6
2025-06-24,1282000.0,1282000.0,1282000.0,1,3
2025-06-25,1365000.0,1699500.0,1281000.0,6,10
2025-06-26,1281600.0,1282000.0,1281000.0,4,15
2025-06-29,1297200.0,1335000.0,1267000.0,4,15
2025-06-30,1334333.33,1335000.0,1333000.0,2,9
2025-07-01,1485400.0,1522500.0,1333000.0,4,15
2025-07-02,1549000.0,1550000.0,1520000.0,23,119
2025-07-03,1054000.0,1054000.0,1054000.0,2,6
2025-07-04,1149846.15,2300000.0,1054000.0,3,13
2025-07-06,1053333.33,1054000.0,1053000.0,2,6
2025-07-07,1210900.0,2200000.0,1101000.0,3,10
2025-07-08,1101000.0,1101000.0,1101000.0,2,9
2025-07-09,1350500.0,2100000.0,1101000.0,3,4
2025-07-10,1700000.0,2150000.0,1100000.0,3,7
2025-07-11,1057000.0,1057000.0,1057000.0,1,12
2025-07-12,1057000.0,1057000.0,1057000.0,1,3
2025-07-14,1056000.0,1057000.0,1055000.0,2,6
2025-07-15,2567085.71,2833000.0,2250000.0,11,35
2025-07-16,1060000.0,1060000.0,1060000.0,2,4
2025-07-17,2154250.0,2810000.0,1060000.0,4,8
2025-07-18,2797571.43,2799000.0,2797000.0,3,7
2025-07-19,3099787.23,3850000.0,2800000.0,15,47
2025-07-20,3986500.0,4360000.0,1101000.0,18,62
2025-07-21,2238250.0,5650000.0,1101000.0,3,8
2025-07-23,4823812.5,5637000.0,1301000.0,3,16
2025-07-24,1313000.0,1313000.0,1313000.0,1,3
2025-07-26,1312185.19,1314000.0,1312000.0,6,54
2025-07-27,5390000.0,5390000.0,5390000.0,1,1
2025-07-28,4698666.67,5378000.0,1311000.0,3,12
2025-07-29,1320000.0,1320000.0,1320000.0,1,6
2025-07-30,1330000.0,1330000.0,1330000.0,1,3
2025-08-01,1333000.0,1333000.0,1333000.0,1,1
2025-08-02,2548047.62,2928000.0,1345000.0,9,21
2025-08-03,1352500.0,1353000.0,1352000.0,2,6
2025-08-05,1364000.0,1364000.0,1364000.0,1,3
2025-08-06,3271000.0,5165000.0,1377000.0,2,6
2025-08-07,2940571.43,5164000.0,2500000.0,3,7
2025-08-08,5161545.45,5162000.0,5157000.0,2,11
2025-08-09,1404000.0,1404000.0,1404000.0,1,9
2025-08-10,1406666.67,1407000.0,1406000.0,3,6
2025-08-12,1413375.0,1416000.0,1411000.0,3,8
2025-08-13,1785600.0,1945000.0,1416000.0,4,10
2025-08-14,1526631.58,1943000.0,1416000.0,6,19
2025-08-15,1989238.1,2000000.0,1944000.0,7,21
2025-08-16,1667000.0,2399000.0,1423000.0,3,8
2025-08-17,1667000.0,2390000.0,1426000.0,2,4
2025-08-18,1478627.45,2298000.0,1427000.0,4,51
2025-08-19,1586500.0,1737000.0,1436000.0,2,6
2025-08-20,1450000.0,1450000.0,1450000.0,1,3
2025-08-21,1450000.0,1450000.0,1450000.0,1,3
2025-08-22,1453000.0,1453000.0,1453000.0,1,6
2025-08-24,1961666.67,1992500.0,1900000.0,3,9
2025-08-25,1457523.81,1458000.0,1457000.0,3,21
2025-08-26,1507909.09,1987000.0,1460000.0,3,11
2025-08-27,1987000.0,1987000.0,1987000.0,2,6
2025-08-29,1463000.0,1463000.0,1463000.0,2,6
2025-08-31,1977000.0,1977000.0,1977000.0,1,2
2025-09-01,1977000.0,1977000.0,1977000.0,1,4
2025-09-05,1466000.0,1466000.0,1466000.0,2,6
2025-09-06,1593000.0,1593000.0,1593000.0,1,1
2025-09-07,1593363.64,1594000.0,1593000.0,4,22
2025-09-08,1469000.0,1469000.0,1469000.0,2,6
2025-09-09,1565846.15,1595000.0,1470000.0,3,13
2025-09-11,1597000.0,1597000.0,1597000.0,1,3
2025-09-12,1470000.0,1470000.0,1470000.0,3,9
2025-09-13,1565424.24,1597000.0,1469500.0,7,33
2025-09-14,1468000.0,1468000.0,1468000.0,1,3
2025-09-17,1894250.0,1895000.0,1894000.0,2,4
2025-09-18,1948918.92,1985000.0,1895000.0,11,37
2025-09-21,1608000.0,2297000.0,1502000.0,3,15
2025-09-22,1505000.0,1505000.0,1505000.0,1,6
2025-09-23,1703500.0,2290000.0,1508000.0,2,4
2025-09-24,1702937.5,2292000.0,1506000.0,7,16
2025-09-26,1512000.0,1512000.0,1512000.0,1,3
2025-09-27,1512000.0,1512000.0,1512000.0,1,2
2025-09-28,1468000.0,1468000.0,1468000.0,6,181
2025-09-29,1570665.22,1990000.0,1400000.0,4,23
2025-10-01,2399000.0,5630000.0,2299000.0,26,147
2025-10-03,1000000.0,1000000.0,1000000.0,1,3
2025-10-05,1997600.0,1999500.0,1995000.0,4,10
2025-10-06,155900.0,155900.0,155900.0,1,1
2025-10-07,2457000.0,2457000.0,2457000.0,1,1
2025-10-08,2456000.0,2456000.0,2456000.0,1,10
2025-10-10,210400.0,210400.0,210400.0,1,6
2025-10-11,823575.0,2394000.0,300100.0,2,4
2025-10-13,2392000.0,2392000.0,2392000.0,1,1
2025-10-14,441577.78,508000.0,309400.0,4,9
2025-10-15,700000.0,700000.0,700000.0,1,3
2025-10-17,757450.0,800100.0,714800.0,2,6
2025-10-18,805246.67,810100.0,801000.0,3,15
2025-10-19,1293123.08,1714000.0,802100.0,3,13
2025-10-20,802500.0,802500.0,802500.0,1,3
2025-10-22,1664455.56,2095000.0,802700.0,4,9
2025-10-23,1125350.0,2093000.0,802800.0,2,4
2025-10-24,1447116.67,2091000.0,802900.0,4,6
2025-10-26,2089000.0,2089000.0,2089000.0,1,10
2025-10-27,2016218.87,2089000.0,803200.0,2,53
2025-10-28,2089000.0,2089000.0,2089000.0,1,3
2025-10-29,1000000.0,1000000.0,1000000.0,2,15
2025-10-30,1491600.0,2079000.0,1100000.0,2,5
2025-10-31,1110333.33,1111000.0,1110000.0,3,9
2025-11-01,1106666.67,1110000.0,1100000.0,2,3
2025-11-02,1200000.0,1200000.0,1200000.0,1,3
2025-11-03,1200000.0,1200000.0,1200000.0,1,3
2025-11-04,1200000.0,1200000.0,1200000.0,1,3
2025-11-05,1200000.0,1200000.0,1200000.0,2,9
2025-11-06,1116666.67,1200000.0,1100000.0,2,12
2025-11-07,1100000.0,1100000.0,1100000.0,2,6
2025-11-08,1271500.0,1443000.0,1100000.0,6,18
2025-11-09,1447500.0,1795000.0,1100000.0,3,6
2025-11-10,1200000.0,1200000.0,1200000.0,2,6
2025-11-11,1200000.0,1200000.0,1200000.0,1,3
2025-11-12,1523439.02,1798000.0,1499000.0,10,41
