date,average,highest,lowest,order_count,volume
2025-05-30,217000000.0,217000000.0,217000000.0,1,1
2025-06-16,300000000.0,300000000.0,300000000.0,1,1
2025-06-30,685000000.0,685000000.0,685000000.0,1,1
2025-07-03,684800000.0,684800000.0,684800000.0,1,1
2025-07-09,398850000.0,398900000.0,398800000.0,2,2
2025-07-10,397950000.0,398000000.0,397900000.0,2,2
2025-07-11,400000000.0,400000000.0,400000000.0,1,1
2025-07-12,439000000.0,439000000.0,439000000.0,1,1
2025-07-13,440000000.0,440000000.0,440000000.0,1,1
2025-07-19,180100000.0,180100000.0,180100000.0,1,1
2025-07-22,389800000.0,389800000.0,389800000.0,1,1
2025-07-26,385900000.0,385900000.0,385900000.0,1,1
2025-07-27,385950000.0,386000000.0,385900000.0,2,2
2025-08-04,325900000.0,325900000.0,325900000.0,1,1
2025-08-09,323000000.0,323000000.0,323000000.0,1,1
2025-08-10,321680000.0,322000000.0,321250000.0,5,5
2025-08-11,321450000.0,321900000.0,321000000.0,2,2
2025-08-15,311250000.0,311500000.0,311000000.0,2,2
2025-08-16,312900000.0,312900000.0,312900000.0,1,1
2025-08-17,313000000.0,313000000.0,313000000.0,1,1
2025-08-18,315450000.0,320900000.0,310000000.0,2,2
2025-08-19,200200000.0,200200000.0,200200000.0,1,1
2025-08-21,200400000.0,200400000.0,200400000.0,1,1
2025-08-22,200300000.0,200300000.0,200300000.0,2,2
2025-08-23,309500000.0,309500000.0,309500000.0,1,1
2025-08-24,304650000.0,309300000.0,300000000.0,2,2
2025-08-25,309300000.0,309300000.0,309300000.0,2,2
2025-08-31,245400000.0,245700000.0,245100000.0,2,2
2025-09-02,245550000.0,245600000.0,245500000.0,2,2
2025-09-04,198950000.0,199900000.0,198000000.0,2,2
2025-09-05,222500000.0,245000000.0,200000000.0,2,2
2025-09-07,245000000.0,245000000.0,245000000.0,1,1
2025-09-09,240000000.0,240000000.0,240000000.0,2,2
2025-09-15,230800000.0,230800000.0,230800000.0,1,1
2025-09-19,105700000.0,105700000.0,105700000.0,1,1
2025-09-27,199900000.0,199900000.0,199900000.0,1,1
2025-10-01,199800000.0,199800000.0,199800000.0,1,1
2025-10-03,197550000.0,197600000.0,197500000.0,2,2
2025-10-04,197950000.0,198000000.0,197900000.0,2,2
2025-10-07,198000000.0,198000000.0,198000000.0,1,1
2025-10-08,198500000.0,199000000.0,198000000.0,2,2
2025-10-10,176566666.67,199550000.0,130600000.0,3,3
2025-10-11,199800000.0,199800000.0,199800000.0,1,1
2025-10-12,163960000.0,199450000.0,140300000.0,4,5
2025-10-13,140200000.0,140200000.0,140200000.0,1,1
2025-10-14,170000000.0,170000000.0,170000000.0,1,1
2025-10-15,170100000.0,170100000.0,170100000.0,1,1
2025-10-16,162150000.0,199200000.0,125100000.0,2,2
2025-10-17,199650000.0,199800000.0,199400000.0,5,6
2025-10-18,199050000.0,200000000.0,198100000.0,2,2
2025-10-19,182700000.0,199900000.0,131000000.0,4,4
2025-10-20,200000000.0,200000000.0,200000000.0,1,1
2025-10-21,130300000.0,130300000.0,130300000.0,1,1
2025-10-22,162900000.0,216600000.0,136050000.0,3,3
2025-10-24,207100000.0,207100000.0,207100000.0,1,1
2025-10-25,207200000.0,207200000.0,207200000.0,1,1
2025-10-28,214450000.0,214900000.0,214000000.0,2,2
2025-10-29,200000000.0,210000000.0,190000000.0,2,2
2025-10-30,130500000.0,130500000.0,130500000.0,1,1
2025-10-31,157900000.0,185400000.0,130400000.0,2,2
2025-11-02,130400000.0,130400000.0,130400000.0,1,1
2025-11-04,195400000.0,195400000.0,195400000.0,1,1
2025-11-09,196000000.0,196000000.0,196000000.0,1,1
2025-11-14,162250000.0,193800000.0,130700000.0,2,2
