date,average,highest,lowest,order_count,volume
2025-05-29,436275.0,460000.0,365100.0,2,4
2025-05-30,370000.0,370000.0,370000.0,1,3
2025-06-02,109920000.0,215000000.0,4840000.0,2,4
2025-06-04,24442857.14,50000000.0,6500000.0,6,14
2025-06-05,4400001.67,6600000.0,5.0,3,9
2025-06-06,14884124.99,70000000.0,7009999.98,4,8
2025-06-07,7060000.0,7100000.0,7020000.0,2,2
2025-06-08,12924773.21,21810000.0,7030000.0,5,24
2025-06-09,1526.05,1530.0,1521.0,4,21
2025-06-10,19995770.5,39990000.0,1541.0,2,2
2025-06-11,2357545.45,5000000.0,155500.0,3,11
2025-06-12,182985.71,200000.0,160300.0,4,21
2025-06-13,200000.0,200000.0,200000.0,1,1
2025-06-14,186427.78,200000.0,165100.0,5,18
2025-06-15,1602875.0,3999000.0,165200.0,2,8
2025-06-16,776800.0,2000000.0,165200.0,4,12
2025-06-17,407196.97,1200000.0,165500.0,4,33
2025-06-18,165547.62,165600.0,165500.0,5,21
2025-06-19,166000.0,166000.0,166000.0,2,6
2025-06-20,885428.57,5201000.0,166000.0,5,14
2025-06-22,166600.0,166600.0,166600.0,4,17
2025-06-23,166700.0,166700.0,166700.0,2,10
2025-06-24,389105.56,4170000.0,166700.0,5,18
2025-06-25,166700.0,166700.0,166700.0,3,12
2025-06-26,166700.0,166700.0,166700.0,2,12
2025-06-27,1000000.0,1000000.0,1000000.0,1,5
2025-06-28,461741.18,1170000.0,166800.0,5,17
2025-06-29,952282.22,2000000.0,167000.0,8,45
2025-06-30,803181.82,1000000.0,167000.0,3,11
2025-07-01,167000.0,167000.0,167000.0,1,3
2025-07-02,171885.71,200000.0,167200.0,3,14
2025-07-03,170000.0,170000.0,170000.0,4,13
2025-07-04,170000.0,170000.0,170000.0,2,8
2025-07-05,170000.0,170000.0,170000.0,2,8
2025-07-06,1125000.0,5900000.0,170000.0,3,6
2025-07-08,171000.0,171000.0,171000.0,2,19
2025-07-09,171000.0,171000.0,171000.0,1,10
2025-07-10,171100.0,171100.0,171100.0,1,3
2025-07-11,171053.85,171100.0,171000.0,4,13
2025-07-12,171488.89,172100.0,171100.0,6,18
2025-07-13,171617.39,172200.0,171000.0,6,23
2025-07-14,171000.0,171000.0,171000.0,3,10
2025-07-15,169270.59,171000.0,167999.99,4,17
2025-07-16,934400.0,4000000.0,168000.0,5,10
2025-07-17,168100.0,168100.0,168100.0,3,12
2025-07-18,168080.0,168100.0,168000.0,3,10
2025-07-19,168000.0,168000.0,168000.0,1,4
2025-07-20,570000.0,2979000.0,168500.0,4,14
2025-07-21,1432611.11,1500000.0,168500.0,4,18
2025-07-22,400000.0,400000.0,400000.0,2,10
2025-07-23,168900.0,168900.0,168900.0,1,4
2025-07-24,168860.0,168900.0,168800.0,3,10
2025-07-25,654571.43,3568000.0,169000.0,3,7
2025-07-26,168800.0,168800.0,168800.0,1,13
2025-07-27,168800.0,168800.0,168800.0,1,3
2025-07-28,169129.03,170000.0,168800.0,4,31
2025-07-29,168700.0,168700.0,168700.0,2,19
2025-07-30,170045.45,170100.0,170000.0,2,11
2025-07-31,170031.25,170100.0,170000.0,2,16
2025-08-01,170100.0,170100.0,170100.0,1,4
2025-08-02,170100.0,170100.0,170100.0,2,6
2025-08-03,170100.0,170100.0,170100.0,1,2
2025-08-04,170100.0,170100.0,170100.0,2,6
2025-08-05,170007.41,170100.0,170000.0,5,27
2025-08-06,3134000.0,3134000.0,3134000.0,1,14
2025-08-07,168700.0,168700.0,168700.0,1,5
2025-08-08,168700.0,168700.0,168700.0,5,14
2025-08-09,506450.0,700000.0,312900.0,4,20
2025-08-10,312866.67,312900.0,312800.0,2,6
2025-08-11,479466.67,612800.0,412800.0,2,3
2025-08-12,412880.0,412900.0,412800.0,2,5
2025-08-13,252080.49,412900.0,168700.0,6,41
2025-08-14,168700.0,168700.0,168700.0,1,5
2025-08-15,168700.0,168700.0,168700.0,2,4
2025-08-16,1000.0,1000.0,1000.0,2,9
2025-08-17,1000.0,1000.0,1000.0,1,5
2025-08-18,2994000.0,2994000.0,2994000.0,1,1
2025-08-19,1000.0,1000.0,1000.0,2,17
2025-08-20,1000.0,1000.0,1000.0,4,24
2025-08-22,2600000.0,2600000.0,2600000.0,1,9
2025-08-23,1000.0,1000.0,1000.0,2,6
2025-08-24,1000.0,1000.0,1000.0,1,4
2025-08-25,1000.0,1000.0,1000.0,4,17
2025-08-26,1000.94,1001.0,1000.0,3,34
2025-08-27,1000.64,1001.0,1000.0,3,28
2025-08-28,1000.0,1000.0,1000.0,1,4
2025-08-29,1000.0,1000.0,1000.0,1,2
2025-08-31,49.85,49.85,49.85,4,17
2025-09-01,49.85,49.85,49.85,2,9
2025-09-02,49.98,50.0,49.85,3,28
2025-09-04,209.1,209.1,209.1,1,14
2025-09-05,209.16,209.2,209.1,3,10
2025-09-06,128622.62,899900.0,49.85,3,7
2025-09-07,49.85,49.85,49.85,2,3
2025-09-08,49.85,49.85,49.85,3,20
2025-09-10,49.89,49.89,49.89,4,20
2025-09-11,49.89,49.89,49.89,3,13
2025-09-12,193483.25,870500.0,49.89,4,9
2025-09-13,49.89,49.89,49.89,2,8
2025-09-14,49.89,49.89,49.89,1,2
2025-09-15,744992.84,869150.0,49.91,3,7
2025-09-16,128.6,128.6,128.6,1,4
2025-09-17,129.1,129.1,129.1,2,9
2025-09-19,130.4,130.4,130.4,1,1
2025-09-20,1006.0,1006.0,1006.0,3,20
2025-09-21,1011.8,1012.0,1011.0,2,5
2025-09-22,1022.77,1023.0,1022.0,3,13
2025-09-23,1024.83,1026.0,1023.0,2,18
2025-09-24,274239.53,866800.0,1027.0,5,19
2025-09-25,1031.0,1031.0,1031.0,1,4
2025-09-26,1032.2,1033.0,1032.0,2,5
2025-09-27,145512.5,866900.0,1235.0,2,6
2025-09-28,1240.0,1240.0,1240.0,2,11
2025-09-30,1294.88,1385.0,1282.0,2,8
2025-10-01,1388.0,1388.0,1388.0,1,2
2025-10-02,1389.0,1389.0,1389.0,1,1
2025-10-05,2272.0,2565.0,1393.0,4,16
2025-10-06,501300.0,501300.0,501300.0,1,4
2025-10-09,1399.0,1399.0,1399.0,1,8
2025-10-10,1402.0,1402.0,1402.0,3,21
2025-10-11,1402.38,1403.0,1402.0,3,8
2025-10-12,1403.1,1405.0,1403.0,4,40
2025-10-13,1408.0,1408.0,1408.0,1,4
2025-10-14,1436.28,1500.0,1412.0,5,43
2025-10-16,21333.2,298900.0,1504.0,4,15
2025-10-17,1518.27,1519.0,1518.0,3,11
2025-10-19,1527.0,1527.0,1527.0,1,7
2025-10-20,88835.94,248900.0,1528.0,5,17
2025-10-21,150559.2,248900.0,1548.0,4,15
2025-10-22,187863.0,299800.0,1568.0,4,8
2025-10-23,44177.43,299800.0,1573.0,3,7
2025-10-24,27508.52,299800.0,1576.0,6,23
2025-10-25,1576.05,1578.0,1576.0,3,42
2025-10-26,1579.79,1581.0,1579.0,6,14
2025-10-27,1579.7,1580.0,1579.0,2,10
2025-10-28,1580.0,1580.0,1580.0,2,11
2025-10-29,1581.38,1582.0,1581.0,3,8
2025-10-30,1583.0,1583.0,1583.0,1,18
2025-10-31,1608.0,1608.0,1608.0,1,6
2025-11-01,1610.0,1610.0,1610.0,5,35
2025-11-02,450877.11,796200.0,1610.5,9,36
2025-11-03,1628.0,1628.0,1628.0,4,15
2025-11-04,1628.0,1628.0,1628.0,1,2
2025-11-05,1628.0,1628.0,1628.0,1,2
2025-11-06,1635.14,1636.0,1635.0,6,22
2025-11-07,1098460.12,2896000.0,866600.0,6,34
2025-11-08,1640.14,1641.0,1639.0,3,7
2025-11-10,1641.07,1642.0,1641.0,9,55
2025-11-11,1641.0,1641.0,1641.0,3,28
2025-11-12,1642.0,1642.0,1642.0,2,11
2025-11-13,1642.0,1642.0,1642.0,3,14
