date,average,highest,lowest,order_count,volume
2025-05-28,1500000000.0,1500000000.0,1500000000.0,1,1
2025-05-29,80110000.0,80110000.0,80110000.0,1,1
2025-05-30,55110000.0,55110000.0,55110000.0,1,1
2025-05-31,101000000.0,101100000.0,100900000.0,2,2
2025-06-03,254850000.0,399650000.0,110050000.0,4,4
2025-06-04,312340000.0,399900000.0,181000000.0,5,5
2025-06-05,181833333.33,182000000.0,181750000.0,3,3
2025-06-06,180250000.0,180500000.0,180000000.0,2,2
2025-06-07,100600000.0,100600000.0,100600000.0,1,1
2025-06-08,100600000.0,100600000.0,100600000.0,1,1
2025-06-09,475050000.0,499700000.0,450400000.0,2,2
2025-06-11,186625000.0,375900000.0,123600000.0,4,4
2025-06-12,113450000.0,123200000.0,103700000.0,2,2
2025-06-13,225000000.0,348000000.0,102000000.0,2,2
2025-06-14,100100000.0,100200000.0,100000000.0,2,2
2025-06-15,99996666.67,100000000.0,99990000.0,3,3
2025-06-17,73506000.0,100700000.0,33015000.0,5,5
2025-06-18,32340000.0,33010000.0,32005000.0,3,3
2025-06-19,42515000.0,80000000.0,5030000.0,2,2
2025-06-20,52695000.0,74385000.0,31005000.0,4,4
2025-06-21,35040000.0,35040000.0,35040000.0,1,1
2025-06-22,45071000.0,59965000.0,35060000.0,9,10
2025-06-23,40110000.0,54990000.0,35160000.0,4,4
2025-06-24,38780000.0,49980000.0,33180000.0,3,3
2025-06-25,35747500.0,49980000.0,31000000.0,4,4
2025-06-26,37002500.0,45000000.0,10020000.0,4,4
2025-06-27,23648000.0,43995000.0,10090000.0,5,5
2025-06-28,23332833.33,39940000.0,5040000.0,6,6
2025-06-29,28742750.0,39950000.0,5051000.0,4,4
2025-06-30,39976666.67,39980000.0,39970000.0,3,3
2025-07-01,44980000.0,49970000.0,39990000.0,2,2
2025-07-02,22292000.0,50000000.0,15160000.0,4,5
2025-07-03,16036666.67,16040000.0,16030000.0,3,3
2025-07-04,15515000.0,16030000.0,15000000.0,2,2
2025-07-05,17225250.0,29390000.0,5060500.0,4,4
2025-07-06,49620000.0,98970000.0,24945000.0,3,3
2025-07-08,5118200.0,5120000.0,5116000.0,4,5
2025-07-09,5124500.0,5125000.0,5124000.0,2,2
2025-07-11,72000000.0,72000000.0,72000000.0,1,1
2025-07-12,38388000.0,54955000.0,5254000.0,3,3
2025-07-13,45112000.0,52490000.0,15600000.0,5,5
