date,average,highest,lowest,order_count,volume
2025-07-16,31990000.0,35000000.0,30150000.0,167,170
2025-07-17,21280000.0,30160000.0,17250000.0,375,464
2025-07-18,20100000.0,25240000.0,18270000.0,333,388
2025-07-19,25600000.0,25810000.0,21310000.0,532,663
2025-07-20,23010000.0,28000000.0,22630000.0,640,866
2025-07-21,22650000.0,22920000.0,18560000.0,412,800
2025-07-22,18820000.0,19180000.0,18560000.0,260,479
2025-07-23,19300000.0,20000000.0,19190000.0,216,462
2025-07-24,19430000.0,22300000.0,19300000.0,297,734
2025-07-25,19420000.0,21980000.0,19290000.0,247,520
2025-07-26,18830000.0,19040000.0,15185000.0,185,448
2025-07-27,12740000.0,13200000.0,12620000.0,176,330
2025-07-28,15210000.0,15990000.0,15160000.0,130,431
2025-07-29,15530000.0,15700000.0,15410000.0,111,256
2025-07-30,18725000.0,20840000.0,15810000.0,112,378
2025-07-31,15850000.0,15870000.0,15830000.0,82,199
2025-08-01,15930000.0,19260000.0,15750000.0,95,195
2025-08-02,18880000.0,20400000.0,16150000.0,183,413
2025-08-03,17030000.0,17990000.0,17010000.0,90,180
2025-08-04,17010000.0,18000000.0,16990000.0,89,149
2025-08-05,16170000.0,17000000.0,15910000.0,85,232
2025-08-06,17000000.0,20970000.0,16790000.0,114,304
2025-08-07,16450000.0,18000000.0,16420000.0,48,118
2025-08-08,16533333.33,16610000.0,16490000.0,27,57
2025-08-09,16620000.0,20580000.0,16600000.0,66,147
2025-08-10,16660000.0,16670000.0,16650000.0,79,140
2025-08-11,16680000.0,16690000.0,16620000.0,65,170
2025-08-12,14250000.0,17990000.0,14120000.0,95,267
2025-08-13,14617460.32,14720000.0,14510000.0,36,63
2025-08-14,15160000.0,17640000.0,15100000.0,48,157
2025-08-15,15300000.0,17320000.0,15270000.0,68,109
2025-08-16,17950000.0,19450000.0,16190000.0,79,210
2025-08-17,16230000.0,16270000.0,16220000.0,53,106
2025-08-18,16782234.04,17990000.0,16310000.0,41,94
2025-08-19,17859069.77,19570000.0,16500000.0,47,86
2025-08-20,17890000.0,19960000.0,16570000.0,70,186
2025-08-21,16506125.0,16590000.0,16400000.0,31,80
2025-08-22,17095604.4,17890000.0,16010000.0,59,91
2025-08-23,16130000.0,18450000.0,16120000.0,54,175
2025-08-24,16095294.12,16110000.0,16080000.0,41,85
2025-08-25,16261764.71,20900000.0,16160000.0,25,51
2025-08-26,16213076.92,16250000.0,16210000.0,16,39
2025-08-27,18351704.55,20450000.0,16370000.0,42,88
2025-08-28,16412321.43,16430000.0,16390000.0,18,56
2025-08-29,16426301.37,16430000.0,16420000.0,38,73
2025-08-30,17298750.0,19360000.0,16420000.0,23,40
2025-08-31,16440000.0,16450000.0,16430000.0,31,110
2025-09-01,15397105.26,15400000.0,15380000.0,20,38
2025-09-02,15546904.76,18910000.0,15380000.0,27,42
2025-09-03,15543225.81,15620000.0,15510000.0,12,31
2025-09-04,15632195.12,15650000.0,15620000.0,22,41
2025-09-05,15640000.0,15650000.0,15360000.0,17,101
2025-09-06,18850000.0,19000000.0,17900000.0,50,166
2025-09-07,14382121.21,16000000.0,14100000.0,14,33
2025-09-08,14129285.71,14130000.0,14100000.0,17,42
2025-09-09,14300172.41,16500000.0,14170000.0,21,58
2025-09-10,16556041.67,17380000.0,14270000.0,19,96
2025-09-11,14516060.61,14540000.0,14460000.0,16,33
2025-09-12,15094230.77,16000000.0,14640000.0,11,26
2025-09-13,14991379.31,17745000.0,14780000.0,14,29
2025-09-14,15302083.33,17500000.0,14845000.0,22,48
2025-09-15,15387608.7,17880000.0,15040000.0,13,46
2025-09-16,15324947.37,15340000.0,15260000.0,29,95
2025-09-17,16109642.86,17560000.0,15305000.0,10,28
2025-09-18,17870000.0,19885000.0,15420000.0,34,107
2025-09-19,15471764.71,15490000.0,15460000.0,9,17
2025-09-20,15282413.79,15490000.0,10000000.0,13,29
2025-09-21,15483928.57,15490000.0,15480000.0,17,28
2025-09-22,16793066.67,17450000.0,15560000.0,28,75
2025-09-23,16079615.38,20400000.0,15590000.0,35,78
2025-09-24,15416458.33,15580000.0,14960000.0,25,48
2025-09-25,20350000.0,20410000.0,19500000.0,38,126
2025-09-26,14642794.12,15020000.0,10000000.0,57,68
2025-09-27,17074807.69,19990000.0,15040000.0,22,52
2025-09-28,15256417.91,19560000.0,15060000.0,17,67
2025-09-29,15076470.59,15100000.0,15060000.0,12,51
2025-09-30,15135869.57,15150000.0,15120000.0,15,46
2025-10-01,15166315.79,17800000.0,15020000.0,11,19
2025-10-02,17275227.27,18480000.0,15030000.0,16,44
2025-10-03,15292857.14,19420000.0,15090000.0,10,21
2025-10-04,15172839.51,16270000.0,15120000.0,30,81
2025-10-05,15862727.27,18670000.0,14960000.0,19,33
2025-10-06,17309761.9,19380000.0,15020000.0,34,84
2025-10-07,15074878.05,15100000.0,15060000.0,17,41
2025-10-08,14950178.57,15030000.0,12470000.0,25,56
2025-10-09,15566818.18,17500000.0,14940000.0,25,88
2025-10-10,14963076.92,14975000.0,14950000.0,7,13
2025-10-11,15866744.19,19160000.0,15070000.0,24,43
2025-10-12,17175400.0,19265000.0,15140000.0,25,50
2025-10-13,17004444.44,19270000.0,15030000.0,19,45
2025-10-14,15019454.55,19290000.0,14940000.0,10,55
2025-10-15,15879459.46,17970000.0,14990000.0,16,37
2025-10-16,15055068.49,15090000.0,15040000.0,15,73
2025-10-17,15898292.68,17385000.0,15110000.0,20,41
2025-10-18,15355555.56,17200000.0,15320000.0,15,36
2025-10-19,15361886.79,15370000.0,15350000.0,24,53
2025-10-20,15375675.68,15400000.0,15360000.0,14,37
2025-10-21,15960000.0,16500000.0,15430000.0,9,20
2025-10-22,15626428.57,16580000.0,15450000.0,18,56
2025-10-23,14677333.33,15420000.0,14180000.0,9,15
2025-10-24,14714482.76,15520000.0,14220000.0,16,29
2025-10-25,15706785.71,16600000.0,15280000.0,17,56
2025-10-26,15083157.89,16500000.0,14390000.0,12,19
2025-10-27,14830000.0,16680000.0,14470000.0,25,43
2025-10-28,14547500.0,16000000.0,14490000.0,12,28
2025-10-29,13206081.08,14500000.0,10020000.0,17,74
2025-10-30,10144666.67,10160000.0,10120000.0,10,15
2025-10-31,11436444.44,13890000.0,10250000.0,22,45
2025-11-01,15374444.44,16660000.0,14230000.0,28,63
2025-11-02,15089230.77,15900000.0,14310000.0,20,52
2025-11-03,14386734.69,16000000.0,14320000.0,14,49
2025-11-04,15632000.0,16600000.0,14430000.0,16,35
2025-11-05,14610000.0,17060000.0,14590000.0,60,228
2025-11-06,14800784.31,14810000.0,14650000.0,14,51
2025-11-07,15117356.32,15980000.0,14900000.0,19,87
2025-11-08,15149069.77,15970000.0,14940000.0,19,43
2025-11-09,15143846.15,15990000.0,15000000.0,18,39
2025-11-10,15185625.0,18960000.0,15060000.0,9,32
2025-11-11,15295789.47,18900000.0,15100000.0,9,19
2025-11-12,15100000.0,15100000.0,15100000.0,14,106
2025-11-13,10304583.33,10320000.0,10280000.0,9,24
2025-11-14,14000000.0,14000000.0,12900000.0,34,223
