date,average,highest,lowest,order_count,volume
2025-10-06,13815666.67,35500000.0,6024000.0,8,9
2025-10-07,24420615.38,33990000.0,13210000.0,59,65
2025-10-08,22141756.76,33390000.0,15460000.0,62,74
2025-10-09,23980000.0,29980000.0,16115000.0,93,119
2025-10-10,21640000.0,27000000.0,19350000.0,98,130
2025-10-11,19400000.0,20250000.0,19400000.0,117,161
2025-10-12,19440000.0,27830000.0,19385000.0,162,231
2025-10-13,23970000.0,27490000.0,16170000.0,118,155
2025-10-14,16340000.0,21000000.0,16290000.0,101,153
2025-10-15,16200000.0,17480000.0,15330000.0,110,176
2025-10-16,10110000.0,13700000.0,8219500.0,109,174
2025-10-17,10000000.0,12000000.0,8227000.0,115,139
2025-10-18,12930000.0,13450000.0,9505000.0,166,230
2025-10-19,16920000.0,18995000.0,9790500.0,135,206
2025-10-20,10695000.0,12560000.0,10510000.0,126,214
2025-10-21,10790000.0,12630000.0,10715000.0,114,182
2025-10-22,13000000.0,13700000.0,10930000.0,109,175
2025-10-23,13900000.0,16060000.0,11020000.0,124,220
2025-10-24,11270000.0,11280000.0,11270000.0,107,150
2025-10-25,9887000.0,11050000.0,9884000.0,141,223
2025-10-26,13280000.0,14860000.0,10150000.0,118,209
2025-10-27,10150000.0,12340000.0,10120000.0,105,135
2025-10-28,14590000.0,17200000.0,12070000.0,201,333
2025-10-29,11490000.0,16660000.0,11270000.0,124,221
2025-10-30,11390000.0,15300000.0,11350000.0,163,336
2025-10-31,11990000.0,13850000.0,9961000.0,157,305
2025-11-01,9514000.0,11860000.0,9500000.0,131,221
2025-11-02,10490000.0,13300000.0,8230000.0,209,345
2025-11-03,8136000.0,9800000.0,8120000.0,173,271
2025-11-04,2651000.0,6760000.0,2358000.0,164,517
2025-11-05,5500000.0,9487000.0,5199000.0,143,402
2025-11-06,7350000.0,9895000.0,3737000.0,75,118
2025-11-07,4994000.0,4998000.0,3901000.0,89,186
2025-11-08,9755000.0,11660000.0,8978000.0,140,322
2025-11-09,8091000.0,9997500.0,4876000.0,72,101
2025-11-10,6886000.0,7999000.0,5302000.0,71,186
2025-11-11,6598000.0,6699000.0,5406000.0,83,161
2025-11-12,6105301.08,6388000.0,5459000.0,56,93
2025-11-13,6148760.87,6499000.0,5545000.0,60,92
2025-11-14,6983000.0,7250000.0,6649000.0,116,189
