date,average,highest,lowest,order_count,volume
2025-10-06,120000.0,120000.0,120000.0,1,3
2025-10-07,2575050.0,5000000.0,150100.0,2,6
2025-10-08,13297653.33,22000000.0,6100000.0,31,75
2025-10-09,11739339.29,15500000.0,11000000.0,20,56
2025-10-10,11600000.0,17120000.0,11550000.0,44,104
2025-10-11,10000000.0,11210000.0,551600.0,43,102
2025-10-12,576000.0,1990000.0,570000.0,41,124
2025-10-13,997000.0,2090000.0,601100.0,56,176
2025-10-14,880355.7,7755000.0,608500.0,26,79
2025-10-15,1307000.0,3495000.0,632000.0,34,101
2025-10-16,2000000.0,2000000.0,2000000.0,55,164
2025-10-17,1307000.0,1323000.0,800300.0,40,124
2025-10-18,875000.0,1601000.0,807200.0,61,167
2025-10-19,800400.0,801400.0,727550.0,47,155
2025-10-20,800000.0,1083000.0,650300.0,59,173
2025-10-21,660000.0,690000.0,655000.0,45,117
2025-10-22,701200.0,999800.0,700000.0,49,149
2025-10-23,702400.0,1000000.0,701300.0,36,113
2025-10-24,705200.0,705500.0,705100.0,48,150
2025-10-25,702500.0,1098000.0,702300.0,56,218
2025-10-26,702600.0,703000.0,702500.0,66,201
2025-10-27,751300.0,761200.0,750100.0,48,151
2025-10-28,783200.0,785600.0,783100.0,35,142
2025-10-29,790600.0,790700.0,783200.0,51,142
2025-10-30,703400.0,704000.0,703300.0,67,209
2025-10-31,703000.0,703200.0,151100.0,82,266
2025-11-01,152000.0,660000.0,151400.0,64,289
2025-11-02,153600.0,154000.0,153500.0,82,289
2025-11-03,470000.0,680000.0,155400.0,125,594
2025-11-04,158200.0,158300.0,157900.0,64,221
2025-11-05,164000.0,400000.0,162800.0,54,242
2025-11-06,760000.0,760000.0,760000.0,37,276
2025-11-07,168000.0,168200.0,167300.0,27,108
2025-11-08,284357.69,640000.0,179100.0,23,78
2025-11-09,181500.0,295000.0,180900.0,33,126
2025-11-10,369900.0,370000.0,182000.0,26,106
2025-11-11,182753.33,182950.0,182600.0,12,45
2025-11-12,394428.57,737300.0,278000.0,22,84
2025-11-13,684041.0,737100.0,201300.0,19,100
2025-11-14,340970.0,994000.0,202200.0,11,40
