date,average,highest,lowest,order_count,volume
2025-10-13,500000000.0,500000000.0,500000000.0,1,1
2025-10-14,681758333.33,730150000.0,535000000.0,12,12
2025-10-15,475800000.0,537500000.0,377650000.0,8,8
2025-10-16,693421428.57,825000000.0,457100000.0,14,14
2025-10-17,810850000.0,1099000000.0,749000000.0,9,10
2025-10-18,1022435294.12,1401000000.0,504550000.0,16,17
2025-10-19,978066666.67,1142000000.0,650200000.0,3,3
2025-10-20,799255555.56,999950000.0,600600000.0,9,9
2025-10-21,1048571428.57,1199500000.0,675000000.0,7,7
2025-10-22,967633333.33,1149500000.0,603900000.0,3,3
2025-10-23,701000000.0,701000000.0,701000000.0,1,1
2025-10-24,1396666666.67,1595000000.0,1000000000.0,3,3
2025-10-25,959650000.0,1599000000.0,745000000.0,4,4
2025-10-26,1318000000.0,1600500000.0,753000000.0,3,3
2025-10-27,1398000000.0,1398000000.0,1398000000.0,1,1
2025-10-29,1095080000.0,1300000000.0,768700000.0,5,5
2025-10-30,757900000.0,757900000.0,757900000.0,1,1
2025-10-31,757800000.0,757800000.0,757800000.0,2,2
2025-11-01,824600000.0,1099000000.0,757600000.0,5,5
2025-11-02,1008000000.0,1008000000.0,1008000000.0,1,1
2025-11-03,670350000.0,740300000.0,600400000.0,2,2
2025-11-04,817960000.0,999800000.0,800000000.0,3,5
2025-11-05,999600000.0,999600000.0,999600000.0,1,1
2025-11-06,850000000.0,850000000.0,850000000.0,1,1
2025-11-07,770050000.0,770100000.0,770000000.0,2,2
2025-11-08,760000000.0,760000000.0,760000000.0,1,1
2025-11-09,555600000.0,555650000.0,555550000.0,3,3
2025-11-10,555500000.0,556000000.0,555000000.0,2,2
2025-11-11,555000000.0,555000000.0,555000000.0,1,1
