date,average,highest,lowest,order_count,volume
2025-10-16,22143555.56,70115000.0,5017000.0,9,9
2025-10-17,35934000.0,89850000.0,15110000.0,25,25
2025-10-18,12106846.15,15110000.0,5145000.0,31,39
2025-10-19,7236855.26,18495000.0,5993000.0,54,76
2025-10-20,7531025.64,15740000.0,6015000.0,38,39
2025-10-21,11328064.52,15340000.0,9000000.0,29,31
2025-10-22,11304650.0,15840000.0,7701000.0,20,20
2025-10-23,8325785.71,12485000.0,7603000.0,22,28
2025-10-24,7699562.5,11740000.0,7122000.0,12,16
2025-10-25,8607800.0,10995000.0,7128000.0,14,15
2025-10-26,10335095.24,12490000.0,7129500.0,21,21
2025-10-27,10941571.43,16000000.0,7147500.0,7,7
2025-10-28,8734076.92,17405000.0,7154000.0,12,13
2025-10-29,11081500.0,18895000.0,7174500.0,6,6
2025-10-30,7652750.0,10000000.0,7183000.0,10,12
2025-10-31,7189142.86,7192000.0,7187000.0,5,7
2025-11-01,7197600.0,7200000.0,7188000.0,5,5
2025-11-02,9326750.0,15450000.0,7287000.0,4,4
2025-11-03,8153000.0,14990000.0,7298000.0,8,9
2025-11-04,8760700.0,13900000.0,7503000.0,10,10
2025-11-05,8800000.0,13000000.0,7750000.0,5,5
2025-11-06,8705800.0,13500000.0,7507000.0,4,5
2025-11-07,10453500.0,13400000.0,7507000.0,6,6
2025-11-08,9571923.08,11950000.0,7507000.0,8,13
2025-11-09,7944555.56,11500000.0,7500000.0,8,9
2025-11-10,8058571.43,11400000.0,7500000.0,5,7
2025-11-11,8336666.67,10010000.0,7500000.0,3,3
2025-11-12,9282500.0,11400000.0,7148000.0,6,6
2025-11-13,5786333.33,6010000.0,5100000.0,9,15
2025-11-14,3981333.33,8888000.0,3000000.0,4,6
