date,average,highest,lowest,order_count,volume
2025-05-20,3166500.0,4999000.0,2800000.0,4,6
2025-05-21,2800000.0,2800000.0,2800000.0,3,3
2025-05-22,4997000.0,4997000.0,4997000.0,2,2
2025-05-23,4997000.0,4997000.0,4997000.0,1,1
2025-05-24,2800000.0,2800000.0,2800000.0,1,1
2025-05-25,2800000.0,2800000.0,2800000.0,2,2
2025-05-29,2800000.0,2800000.0,2800000.0,1,1
2025-05-30,4997363.64,4998000.0,4997000.0,6,11
2025-05-31,4118200.0,4997000.0,2800000.0,5,5
2025-06-01,4448250.0,4998000.0,2800000.0,4,4
2025-06-02,2800000.0,2800000.0,2800000.0,1,1
2025-06-03,3533000.0,4999000.0,2800000.0,2,3
2025-06-04,2800000.0,2800000.0,2800000.0,1,1
2025-06-05,4603000.0,4999000.0,4405000.0,3,3
2025-06-06,2600000.0,2800000.0,2000000.0,4,4
2025-06-07,4119400.0,4999000.0,2800000.0,3,5
2025-06-09,3116500.0,3433000.0,2800000.0,2,2
2025-06-10,2666666.67,2750000.0,2500000.0,3,3
2025-06-11,2560000.0,2560000.0,2560000.0,4,4
2025-06-12,2800000.0,2800000.0,2800000.0,3,3
2025-06-13,2800000.0,2800000.0,2800000.0,1,1
2025-06-14,3433000.0,3433000.0,3433000.0,1,1
2025-06-15,2800000.0,2800000.0,2800000.0,2,6
2025-06-17,2800000.0,2800000.0,2800000.0,2,2
2025-06-18,2800000.0,2800000.0,2800000.0,1,1
2025-06-19,3100000.0,3400000.0,2800000.0,6,6
2025-06-20,3400000.0,3400000.0,3400000.0,1,1
2025-06-21,3000000.0,3400000.0,2800000.0,3,3
2025-06-22,3400000.0,3400000.0,3400000.0,1,1
2025-06-23,2800000.0,2800000.0,2800000.0,1,1
2025-06-24,2800000.0,2800000.0,2800000.0,1,1
2025-06-25,3100000.0,3400000.0,2800000.0,4,4
2025-06-26,3432000.0,3432000.0,3432000.0,1,1
2025-06-27,2800000.0,2800000.0,2800000.0,2,2
2025-06-28,3116000.0,3432000.0,2800000.0,2,2
2025-06-29,3116000.0,3432000.0,2800000.0,4,4
2025-06-30,2900000.0,3000000.0,2800000.0,2,2
2025-07-01,2958000.0,3432000.0,2800000.0,4,4
2025-07-02,3432000.0,3432000.0,3432000.0,2,2
2025-07-03,3221333.33,3432000.0,2800000.0,3,3
2025-07-04,2800000.0,2800000.0,2800000.0,3,15
2025-07-05,2800000.0,2800000.0,2800000.0,1,1
2025-07-06,3432000.0,3432000.0,3432000.0,1,1
2025-07-07,3430000.0,3430000.0,3430000.0,1,1
