side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,99080000.0,1,1,30000142,60003760,90,2025-11-16T05:17:40Z,7187105261,1,station
buy,99070000.0,4,4,30000144,1044752365771,90,2025-11-16T03:14:33Z,7186102778,1,1
buy,99050000.0,1,1,30000144,1044752365771,90,2025-11-16T00:20:59Z,7187124849,1,1
buy,99030000.0,1,1,30000144,1042508032148,90,2025-11-15T20:00:28Z,7186928409,1,1
buy,99010000.0,10,10,30000142,60003760,90,2025-11-15T17:06:47Z,7186782008,1,station
buy,96010000.0,6,6,30000144,1044752365771,90,2025-11-15T06:13:31Z,7186353032,1,5
buy,95030000.0,5,5,30000144,1044752365771,90,2025-11-15T00:51:46Z,7186199342,1,1
buy,95010000.0,10,10,30000144,1042508032148,90,2025-11-15T00:17:19Z,7183109370,1,1
buy,94030000.0,1,10,30000144,1042508032148,90,2025-11-12T16:18:20Z,7184318804,1,1
buy,94020000.0,10,10,30000144,1042508032148,90,2025-11-14T19:20:09Z,7185983273,1,1
buy,94000000.0,1,1,30000144,1044752365771,90,2025-10-10T14:07:02Z,7159137252,1,solarsystem
buy,93000000.0,6,6,30000142,60003760,90,2025-11-11T12:24:55Z,7183401899,1,station
buy,91000000.0,3,3,30000207,60000967,90,2025-10-29T21:37:07Z,7115539413,1,3
buy,85040000.0,4,4,30000144,1042508032148,7,2025-11-10T04:54:12Z,7182367883,1,1
buy,85020000.0,15,15,30000142,60003760,90,2025-11-10T12:10:26Z,7182626111,1,station
buy,101200.0,50,50,30000144,1044752365771,90,2025-11-11T17:18:19Z,7183587021,1,40
buy,101100.0,8,12,30000142,60003760,90,2025-08-25T02:04:13Z,7128274881,1,region
buy,0.02,10000,10000,30000142,60003760,90,2025-11-10T10:55:15Z,7157728776,1,1
sell,110900000.0,12,20,30000142,60003760,14,2025-11-15T13:09:46Z,7186588460,1,region
sell,115000000.0,48,50,30000142,60003760,90,2025-11-15T11:58:03Z,7186533577,1,region
sell,240000000.0,1,1,30000142,60003760,90,2025-11-15T10:36:58Z,7186488079,1,region
