side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,205200.0,75,80,30000142,60003760,90,2025-11-16T04:56:31Z,7167982280,1,station
buy,205100.0,13,47,30000142,60003760,3,2025-11-16T03:35:17Z,7176114099,1,station
buy,205000.0,10,10,30000142,60003760,90,2025-11-15T22:37:11Z,7187054820,1,station
buy,204800.0,30,40,30000142,60003760,90,2025-11-14T20:14:20Z,7183024828,1,station
buy,203500.0,2,20,30000142,60003760,90,2025-11-11T16:59:26Z,7168201381,1,station
buy,202100.0,100,100,30000142,60003760,90,2025-11-06T09:16:24Z,7179380429,1,station
buy,15220.0,133,200,30000144,1044752365771,90,2025-11-03T19:19:38Z,7109902512,1,1
buy,15200.0,48,50,30000144,1044752365771,90,2025-11-02T10:42:47Z,7139684494,1,3
buy,15020.0,500,500,30000142,60003760,90,2025-10-09T19:15:13Z,7158613728,1,station
buy,10070.0,494,500,30000144,60003754,90,2025-09-11T20:44:19Z,7044628879,1,region
sell,339200.0,10,10,30000142,60003760,90,2025-11-16T04:38:56Z,7187263614,1,region
sell,339300.0,10,20,30000142,60003760,90,2025-11-16T01:59:57Z,7186314713,1,region
sell,339400.0,3,4,30000142,60003760,90,2025-11-16T01:39:40Z,7184651267,1,region
sell,339500.0,80,80,30000142,60003760,90,2025-11-16T01:01:45Z,7186638213,1,region
sell,339600.0,132,139,30000142,60003760,90,2025-11-15T22:53:38Z,7182854581,1,region
sell,339800.0,78,78,30000142,60003760,90,2025-11-15T21:19:05Z,7180591921,1,region
sell,339900.0,2,2,30000142,60003760,90,2025-11-15T20:18:21Z,7186944239,1,region
sell,340000.0,10,10,30000142,60003760,90,2025-11-15T17:57:17Z,7183172358,1,region
sell,347700.0,131,151,30000142,60003760,90,2025-11-15T21:28:05Z,7180613191,1,region
sell,347800.0,6,6,30000142,60003760,90,2025-11-15T17:55:29Z,7186653595,1,region
sell,347900.0,65,65,30000142,60003760,90,2025-11-15T16:19:35Z,7183850915,1,region
sell,348000.0,158,159,30000142,60003760,90,2025-11-15T15:49:43Z,7182234233,1,region
sell,348600.0,85,101,30000142,60003760,90,2025-11-15T13:08:42Z,7182639967,1,region
sell,348700.0,38,40,30000142,60003760,90,2025-11-15T13:06:59Z,7184816126,1,region
sell,349000.0,103,110,30000142,60003760,90,2025-11-15T12:00:14Z,7183425949,1,region
sell,349100.0,157,157,30000142,60003760,90,2025-11-15T10:05:51Z,7186470777,1,region
sell,349200.0,13,15,30000142,60003760,90,2025-11-15T08:55:58Z,7186430949,1,region
sell,349500.0,3,4,30000142,60003760,90,2025-11-15T05:02:14Z,7186319988,1,region
sell,350000.0,4,4,30000142,60003760,14,2025-11-15T01:50:28Z,7183619022,1,region
sell,397700.0,39,40,30000142,60003760,90,2025-11-14T20:14:13Z,7183024648,1,region
sell,398000.0,200,200,30000142,60003760,90,2025-11-14T16:16:11Z,7181815646,1,region
sell,398900.0,300,300,30000142,60003760,90,2025-11-13T16:06:33Z,7183999203,1,region
sell,399800.0,89,90,30000142,60003760,90,2025-11-12T23:23:35Z,7180077903,1,region
sell,400000.0,17,17,30000142,60003760,90,2025-11-12T21:30:35Z,7184532610,1,region
sell,400000.0,1,1,30000142,60003760,90,2025-11-12T19:13:53Z,7184438916,1,region
sell,450000.0,30,30,30000173,60004063,90,2025-08-22T20:41:26Z,7126584126,1,region
sell,676800.0,20,20,30000142,60003760,90,2025-11-11T17:57:10Z,7183614889,1,region
sell,679100.0,27,30,30000142,60003760,90,2025-11-11T02:08:54Z,7181471539,1,region
sell,679800.0,46,46,30000142,60003760,90,2025-11-11T00:59:52Z,7183103358,1,region
sell,680900.0,100,100,30000142,60003760,90,2025-11-10T16:08:04Z,7182765901,1,region
sell,687900.0,100,100,30000142,60003760,90,2025-11-08T00:12:38Z,7180592743,1,region
sell,699900.0,1,1,30030141,60015027,90,2025-11-15T04:49:29Z,7184456987,1,region
sell,700000.0,1,1,30000142,60003760,90,2025-11-12T11:52:12Z,7184164720,1,region
