side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,56990.0,100,100,30000178,60012712,90,2025-11-15T10:29:58Z,7156356119,1,station
buy,55500.0,17455,80942,30000144,1044752365771,90,2025-11-15T05:12:01Z,7184242497,1,1
buy,55030.0,290,290,30000142,60003760,90,2025-11-15T13:18:11Z,7185427740,1,station
buy,55020.0,29606,30000,30000142,60003760,90,2025-11-14T23:40:49Z,7183896520,1,station
buy,55010.0,2741,10000,30000142,60003760,90,2025-11-14T21:45:41Z,7177127695,1,station
buy,54610.0,1600,1600,30000142,60003760,90,2025-11-14T16:12:10Z,7185042288,1,station
buy,54530.0,500,500,30000142,60003760,90,2025-11-11T23:31:46Z,7183848568,1,station
buy,53520.0,569,10000,30000142,60003760,90,2025-11-04T15:55:01Z,7151145838,1,station
buy,52370.0,890,2000,30000142,60003760,90,2025-10-07T10:56:32Z,7153218146,1,station
buy,51870.0,390,400,30000142,60003760,90,2025-10-03T19:37:18Z,7154173823,1,3
buy,48430.0,10000,10000,30000142,60003760,90,2025-11-04T06:22:34Z,7177870482,1,station
buy,48400.0,1992,2000,30000142,60003760,90,2025-10-04T17:10:48Z,7150184761,1,station
buy,48080.0,3000,3000,30000142,60003760,90,2025-10-02T20:38:42Z,7151760905,1,station
buy,45650.0,232,232,30000142,60003760,90,2025-09-29T19:53:23Z,7151737213,1,solarsystem
buy,1451.0,47090,50000,30000142,60003760,90,2025-11-01T08:43:06Z,6538065974,1,region
buy,1407.0,6388,6388,30000142,60003760,90,2025-08-27T10:39:50Z,6952588090,1,station
sell,58990.0,484,5000,30000142,60003760,90,2025-11-16T02:10:18Z,7187182862,1,region
sell,59000.0,1056,15000,30000142,60003760,90,2025-11-11T14:05:56Z,7183459585,1,region
sell,59480.0,405,30000,30000142,60003760,90,2025-11-10T13:02:02Z,7182652735,1,region
sell,59500.0,106631,277157,30000142,60003760,90,2025-11-02T18:22:08Z,7176720774,1,region
sell,59670.0,11278,11718,30000142,60003760,90,2025-08-23T23:07:05Z,7127398872,1,region
sell,59800.0,47690,50000,30000142,60003760,90,2025-08-23T15:04:02Z,7127093318,1,region
sell,99980.0,63,63,30000142,60003760,90,2025-11-10T14:25:05Z,7182697732,1,region
sell,2889000.0,11,11,30000142,60003760,90,2025-11-15T23:12:53Z,7178235769,1,region
