side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,6366000.0,4,4,30000142,60003760,90,2025-11-14T18:43:34Z,7180406915,1,station
buy,6364000.0,2,2,30000142,60003760,90,2025-11-14T14:45:33Z,7183394955,1,station
buy,6360000.0,1,5,30000142,60003760,90,2025-11-10T21:44:28Z,7161964871,1,region
buy,6200000.0,1,1,30000142,60003760,90,2025-10-18T15:45:13Z,7155982331,1,station
buy,4502000.0,4,4,30000142,60003760,90,2025-09-26T05:13:10Z,7149156938,1,1
buy,4010000.0,15,15,30000142,60003760,90,2025-09-25T04:25:03Z,6988772167,1,1
buy,4008000.0,10,10,30000142,60003760,90,2025-09-21T19:58:43Z,7145394912,1,station
buy,2000000.0,55,55,30000142,60003760,90,2025-08-30T19:25:06Z,7131952875,1,1
sell,9489000.0,16,25,30000142,60003760,90,2025-11-15T11:21:26Z,7186513962,1,region
sell,9490000.0,3,20,30000142,60003760,90,2025-11-10T15:27:30Z,7177971328,1,region
sell,9493000.0,4,15,30000142,60003760,90,2025-11-09T12:18:28Z,7181808495,1,region
sell,9494000.0,8,8,30000142,60003760,90,2025-11-09T09:34:58Z,7181709315,1,region
sell,9500000.0,10,30,30000142,60003760,90,2025-08-31T07:52:39Z,7118880311,1,region
