side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,900300.0,1,1,30000142,60003760,90,2025-11-14T20:28:35Z,7185690215,1,1
buy,900100.0,29,40,30000142,60003760,90,2025-11-14T18:32:04Z,7173901604,1,station
buy,800000.0,1,1,30000142,60003760,90,2025-11-13T15:45:00Z,7185056548,1,1
buy,776300.0,5,20,30000142,60003760,90,2025-11-13T09:07:17Z,7174676478,1,1
buy,775000.0,19,20,30000142,60003760,90,2025-11-11T22:00:29Z,7182991176,1,region
buy,721100.0,21,22,30000142,60003760,90,2025-11-02T16:20:02Z,7171314196,1,1
buy,720200.0,31,31,30000142,60003760,90,2025-10-31T08:13:30Z,7174676412,1,1
buy,720200.0,9,10,30000142,60003760,90,2025-10-30T10:08:18Z,7173997571,1,station
buy,715500.0,24,32,30000142,60003760,90,2025-10-29T07:06:38Z,7171701151,1,1
buy,706400.0,10,10,30000142,60003760,90,2025-10-22T07:21:44Z,7167982451,1,station
buy,706300.0,8,10,30000142,60003760,90,2025-10-21T01:36:27Z,7128724045,1,station
buy,676500.0,4,5,30000142,60003760,90,2025-09-24T16:13:06Z,7104408031,1,station
buy,651800.0,30,200,30000142,60003760,90,2025-10-01T04:28:06Z,7074857194,1,1
buy,651700.0,16,16,30000142,60003760,90,2025-09-26T21:31:19Z,7145753753,1,1
buy,578700.0,5,10,30000142,60003760,90,2025-08-31T13:11:01Z,7127347514,1,station
buy,200000.0,20,25,30000142,60003760,90,2025-10-16T09:32:21Z,7100123241,1,station
buy,100200.0,200,200,30000142,60003760,90,2025-10-10T09:59:05Z,7099696761,1,1
buy,100000.0,200,200,30000142,60003760,90,2025-11-08T10:10:44Z,7056535416,1,1
sell,1734000.0,6,18,30000142,60003760,90,2025-11-16T00:22:31Z,7187125871,1,region
sell,1735000.0,18,19,30000142,60003760,90,2025-11-15T23:40:46Z,7187099442,1,region
sell,2735000.0,9,9,30000142,60003760,90,2025-11-15T23:40:15Z,7185358664,1,region
sell,2738000.0,6,10,30000142,60003760,90,2025-11-15T19:35:57Z,7186905484,1,region
sell,2739000.0,6,10,30000142,60003760,90,2025-11-15T18:36:14Z,7186078585,1,region
sell,2740000.0,18,19,30000142,60003760,90,2025-11-15T15:17:31Z,7186689929,1,region
sell,2741000.0,84,90,30000142,60003760,90,2025-11-15T14:40:49Z,7185122881,1,region
sell,2743000.0,18,30,30000142,60003760,90,2025-11-15T12:19:15Z,7185737756,1,region
sell,2770000.0,81,82,30000142,60003760,90,2025-11-14T11:14:05Z,7185662599,1,region
sell,2782000.0,19,19,30000142,60003760,90,2025-09-04T04:44:26Z,7074152704,1,region
sell,2999000.0,1,1,30030141,60015027,90,2025-11-15T23:52:48Z,7187108529,1,region
sell,9900000.0,2,2,30000142,60003760,90,2025-09-17T13:02:01Z,7143529830,1,region
sell,9999000.0,3,4,30000119,60004462,90,2025-11-04T18:47:10Z,7178292731,1,region
sell,9999000.0,50,50,30000142,60003760,90,2025-11-13T04:02:41Z,7184720303,1,region
sell,10000000.0,2777,2777,30000119,60004462,365,2025-10-13T07:07:31Z,6964002774,1,region
sell,10000000.0,3030,3030,30000141,60014659,365,2025-10-31T11:03:36Z,6964004280,1,region
sell,10000000.0,3030,3030,30000165,60014686,365,2025-09-26T11:20:54Z,6964004575,1,region
sell,10000000.0,3030,3030,30000167,60004435,365,2025-08-26T11:03:01Z,6964001948,1,region
sell,10000000.0,2777,2777,30000180,60004459,365,2025-09-11T13:19:43Z,6964002498,1,region
sell,10000000.0,3030,3030,30000181,60004444,365,2025-11-03T11:03:29Z,6964002222,1,region
sell,10000000.0,2777,2777,30000188,60004474,365,2025-10-25T11:03:21Z,6964003602,1,region
sell,10000000.0,2777,2777,30000195,60004468,365,2025-10-18T11:19:17Z,6964003326,1,region
sell,10000000.0,3030,3030,30000201,60004426,365,2025-09-05T11:05:37Z,6964001674,1,region
sell,10000000.0,2777,2777,30000201,60004465,365,2025-09-16T01:25:30Z,6964003050,1,region
sell,10000000.0,3030,3030,30021407,60015002,365,2025-10-31T11:03:36Z,6964004899,1,region
sell,10000000.0,3030,3030,30030141,60015027,365,2025-10-27T11:04:33Z,6964005193,1,region
