side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,150400.0,19,24,30000144,1044752365771,90,2025-11-12T13:36:47Z,7184220207,1,2
buy,150000.0,38,50,30000142,60003760,90,2025-11-08T12:28:39Z,7180943528,1,station
buy,120400.0,1,5,30000142,60003760,90,2025-10-18T10:06:49Z,7165012577,1,station
buy,120300.0,40,50,30000142,60003760,90,2025-10-06T13:06:20Z,7137387624,1,station
buy,95200.0,19,21,30000142,60003760,90,2025-09-10T19:19:36Z,7139147830,1,1
buy,95000.0,99,100,30000142,60003760,90,2025-09-23T08:40:38Z,7027371457,1,station
buy,10270.0,25,25,30000142,60003760,90,2025-10-24T18:46:51Z,7099465607,1,region
buy,50.0,5050,5050,30000142,60003760,90,2025-09-26T14:17:42Z,7149370404,1,40
sell,1670000.0,12,12,30000142,60003760,90,2025-11-16T02:53:36Z,7187209238,1,region
sell,1674000.0,1,1,30000142,60003760,90,2025-11-16T01:01:55Z,7149774064,1,region
sell,1675000.0,2,2,30000142,60003760,90,2025-11-15T03:29:08Z,7182697486,1,region
sell,1689000.0,1,1,30000142,60003760,7,2025-11-14T21:51:05Z,7183637062,1,region
sell,1690000.0,2,2,30000142,60003760,90,2025-11-14T15:46:03Z,7173721376,1,region
sell,1690000.0,1,1,30000142,60003760,90,2025-11-14T15:52:25Z,7185829212,1,region
sell,1700000.0,1,1,30000142,60003760,90,2025-11-07T11:28:57Z,7180158551,1,region
sell,1770000.0,1,1,30000142,60003760,90,2025-11-06T13:43:09Z,7179505733,1,region
sell,1790000.0,1,1,30000142,60003760,90,2025-11-03T20:39:12Z,7177593224,1,region
sell,1898000.0,1,1,30000142,60003760,90,2025-11-03T13:47:12Z,7177319092,1,region
sell,1944000.0,3,3,30000142,60003760,90,2025-10-29T14:00:27Z,7173373779,1,region
sell,1945000.0,5,5,30000142,60003760,90,2025-10-29T08:04:55Z,7173205246,1,region
sell,1946000.0,14,14,30000142,60003760,90,2025-10-12T03:36:43Z,7160459425,1,region
sell,1950000.0,1,2,30000142,60003760,90,2025-09-29T13:23:16Z,7151519722,1,region
sell,1951000.0,3,3,30000142,60003760,90,2025-09-29T04:33:16Z,7151327497,1,region
sell,4400000.0,1,1,30000142,60003760,90,2025-09-18T14:07:53Z,7144142442,1,region
sell,4800000.0,2,2,30000142,60003760,90,2025-09-15T18:52:09Z,7142564700,1,region
sell,4950000.0,1,1,30000142,60003760,90,2025-09-17T00:56:50Z,7143293848,1,region
sell,7995000.0,1,1,30000142,60003760,90,2025-09-09T06:47:18Z,7138180553,1,region
sell,7996000.0,1,1,30000142,60003760,90,2025-09-08T16:14:20Z,7137809307,1,region
sell,8000000.0,1,1,30000142,60003760,90,2025-08-21T04:53:59Z,6929815496,1,region
