side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,99950000.0,5,7,30000142,60003760,90,2025-11-13T01:35:06Z,7184657926,1,station
buy,99930000.0,2,20,30000144,1044752365771,90,2025-11-11T04:13:39Z,7183200758,1,1
buy,99800000.0,10,10,30000144,1044752365771,90,2025-10-29T10:55:10Z,7173271478,1,1
buy,99450000.0,8,8,30000142,60003760,90,2025-10-28T21:34:40Z,7172939702,1,station
buy,99440000.0,6,6,30000142,60003760,90,2025-10-28T21:19:27Z,7172929300,1,station
buy,99430000.0,5,5,30000142,60003760,90,2025-10-28T21:09:01Z,7172922174,1,station
buy,99030000.0,3,3,30000144,1044752365771,90,2025-10-18T22:50:26Z,7165527976,1,1
buy,96900000.0,3,3,30000142,60003760,90,2025-10-24T21:55:36Z,7169817512,1,station
buy,96890000.0,3,3,30000142,60003760,90,2025-10-24T21:46:56Z,7169812716,1,station
buy,96890000.0,1,1,30000142,60003760,90,2025-10-24T21:47:38Z,7169813164,1,station
buy,96880000.0,1,1,30000142,60003760,90,2025-10-18T12:33:02Z,7165101029,1,station
buy,96870000.0,8,8,30000142,60003760,90,2025-10-18T11:53:48Z,7165072072,1,station
buy,96870000.0,2,2,30000142,60003760,90,2025-10-18T12:02:27Z,7165077416,1,station
buy,96770000.0,12,12,30000144,1044752365771,90,2025-10-17T10:22:18Z,7164295448,1,1
buy,95000000.0,10,10,30000144,1044752365771,90,2025-10-07T00:39:49Z,7156629225,1,1
buy,95000000.0,2,2,30000144,1042508032148,90,2025-11-15T08:08:21Z,7186406134,1,1
buy,90450000.0,10,10,30000144,1044752365771,90,2025-11-16T04:38:31Z,7172606416,1,1
buy,90430000.0,15,15,30000142,60003760,90,2025-09-18T22:28:47Z,7144404952,1,station
buy,90170000.0,1,4,30000142,60003760,90,2025-09-18T15:27:20Z,7144181513,1,station
buy,90000000.0,1,1,30000142,60003760,90,2025-09-14T22:52:49Z,7142061279,1,station
buy,86290000.0,9,9,30000142,60003760,90,2025-09-14T21:56:41Z,7142035076,1,station
buy,86090000.0,5,5,30000142,60003760,90,2025-09-14T18:19:52Z,7141895732,1,1
buy,104700.0,100,100,30000144,1042508032148,90,2025-11-10T10:49:17Z,7150988495,1,1
buy,104600.0,155,155,30000142,60003760,90,2025-11-02T13:04:54Z,7176458556,1,station
buy,101100.0,5,5,30000142,60003760,90,2025-10-25T12:09:28Z,7026402750,1,region
buy,100900.0,151,153,30000142,60003760,90,2025-09-08T18:12:44Z,7137877490,1,station
buy,50.0,50,50,30000142,60003760,90,2025-09-24T17:59:34Z,7148272140,1,40
