side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,51.0,97,100,30000142,60003760,90,2025-11-15T16:21:09Z,7186742901,1,station
buy,50.0,5018,5050,30000142,60003760,90,2025-09-24T19:02:10Z,7148310828,1,40
sell,15290.0,2,2,30000142,60003760,90,2025-11-11T16:25:54Z,7119978080,1,region
sell,15300.0,1,1,30000142,60003760,90,2025-11-10T13:47:37Z,7182677772,1,region
sell,15400.0,2,2,30000142,60003760,90,2025-10-27T18:50:49Z,7172097460,1,region
sell,15490.0,1,1,30000142,60003760,30,2025-10-22T06:46:56Z,7167971014,1,region
sell,16980.0,1,1,30000142,60003760,90,2025-10-13T22:41:26Z,7157309535,1,region
sell,16990.0,1,1,30000142,60003760,90,2025-10-13T19:36:36Z,7161862490,1,region
sell,27460.0,2,2,30000142,60003760,90,2025-10-11T15:31:53Z,7160001638,1,region
sell,35640.0,2,2,30000142,60003760,90,2025-10-04T16:00:06Z,7154755775,1,region
sell,35680.0,4,4,30000142,60003760,14,2025-11-13T20:08:16Z,7185236263,1,region
sell,35800.0,2,2,30000142,60003760,90,2025-09-12T21:01:06Z,7140461654,1,region
sell,36000.0,1,1,30000142,60003760,90,2025-09-10T13:15:08Z,7138932958,1,region
sell,36400.0,1,1,30000142,60003760,90,2025-09-09T20:59:32Z,7107331156,1,region
sell,36410.0,1,1,30000142,60003760,90,2025-09-09T09:03:20Z,7138222364,1,region
sell,36990.0,4,5,30000142,60003760,90,2025-09-06T00:48:53Z,7122104468,1,region
sell,36990.0,1,1,30000142,60003760,90,2025-09-06T00:51:13Z,7127473602,1,region
sell,42000.0,156,156,30000142,60003760,90,2025-08-31T10:57:36Z,7132382483,1,region
sell,49000.0,3,3,30000142,60003760,90,2025-08-30T18:48:23Z,7131929518,1,region
sell,50000.0,3,3,30000142,60003760,90,2025-08-21T12:38:22Z,7125691124,1,region
sell,73490.0,10,10,30000142,60003760,90,2025-08-21T10:46:16Z,7125641178,1,region
sell,73980.0,3,3,30000142,60003760,90,2025-08-21T06:50:13Z,7125558738,1,region
sell,123900.0,2,2,30000142,60003760,90,2025-08-30T03:23:23Z,7069040948,1,region
