side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,5567000.0,282,400,30000144,1044752365771,90,2025-11-16T06:39:32Z,7187102432,1,1
buy,5566000.0,506,620,30000142,60003760,90,2025-11-16T06:19:09Z,7186803155,1,station
buy,5563000.0,498,500,30000144,1044752365771,30,2025-11-16T05:34:03Z,7187217316,1,1
buy,5562000.0,34,49,30000142,60003760,90,2025-11-16T04:58:31Z,7184836581,1,station
buy,5558000.0,6,500,30000142,60003760,90,2025-11-15T17:56:05Z,7185428816,1,station
buy,5478000.0,15,15,30000142,60003760,90,2025-11-14T23:10:22Z,7186142620,1,station
buy,5477000.0,33,111,30000142,60003760,90,2025-11-14T08:42:38Z,7185026991,1,station
buy,5470000.0,13,30,30000142,60003760,90,2025-11-14T02:31:43Z,7185444418,1,station
buy,5418000.0,92,100,30000142,60003760,90,2025-11-13T20:26:41Z,7185249057,1,station
buy,5411000.0,47,50,30000142,60003760,90,2025-11-13T11:36:20Z,7184662640,1,station
buy,5324000.0,50,50,30000142,60003760,90,2025-11-13T02:13:29Z,7184672139,1,station
buy,5271000.0,103,188,30000142,60003760,90,2025-11-12T00:37:52Z,7183805823,1,station
buy,5230000.0,100,100,30000142,60003760,90,2025-11-07T04:25:59Z,7179992253,1,station
buy,5220000.0,100,100,30000144,1044752365771,90,2025-10-14T17:01:05Z,7162433572,1,1
buy,4900000.0,300,300,30000142,60003760,90,2025-11-13T11:43:04Z,7184914158,1,station
buy,4741000.0,50,50,30000142,60003760,90,2025-10-14T06:53:17Z,7145961872,1,station
buy,4721000.0,500,500,30000142,60003760,90,2025-10-13T21:24:32Z,7145927623,1,station
buy,4700000.0,23,40,30000142,60003760,90,2025-09-26T03:09:47Z,7149117058,1,30
buy,4643000.0,100,100,30000144,1044752365771,90,2025-09-24T07:01:46Z,7146692690,1,1
buy,2767000.0,300,300,30000142,60003760,90,2025-09-21T05:01:12Z,6947068674,1,1
buy,2766000.0,500,500,30000142,60003760,90,2025-09-20T22:28:06Z,7145772676,1,1
buy,513300.0,11,11,30000144,60003754,90,2025-09-25T15:30:29Z,7123252223,1,10
buy,501400.0,25,25,30000142,60003760,90,2025-09-05T23:39:52Z,7135986011,1,region
buy,500000.0,128,128,30000140,60003763,365,2025-09-05T11:05:37Z,911260453,1,station
buy,500000.0,128,128,30000142,60003757,365,2025-09-05T11:05:37Z,911260451,1,station
buy,500000.0,128,128,30000142,60003760,365,2025-10-01T11:14:04Z,911260452,1,station
buy,500000.0,128,128,30000143,60003766,365,2025-09-05T11:05:37Z,911260454,1,station
buy,500000.0,128,128,30000143,60003769,365,2025-09-01T13:01:04Z,911260455,1,station
buy,500000.0,128,128,30000144,60003754,365,2025-09-05T11:05:37Z,911260450,1,station
buy,50.0,5050,5050,30000142,60003760,90,2025-09-26T04:03:14Z,7149135265,1,40
sell,5989000.0,901,1496,30000142,60003760,90,2025-11-15T21:16:07Z,7186757157,1,region
sell,5997000.0,2,2,30000142,60003760,90,2025-11-15T19:06:05Z,7186878331,1,region
sell,5997000.0,8,8,30000142,60003760,90,2025-11-15T20:57:46Z,7186975989,1,region
sell,5998000.0,118,180,30000142,60003760,30,2025-11-15T17:09:03Z,7181922600,1,region
sell,5998000.0,180,180,30000142,60003760,30,2025-11-15T17:09:15Z,7181923528,1,region
sell,5998000.0,167,180,30000142,60003760,30,2025-11-15T17:09:29Z,7181923727,1,region
sell,5998000.0,180,180,30000142,60003760,30,2025-11-15T17:09:40Z,7186651828,1,region
sell,5998000.0,180,180,30000142,60003760,30,2025-11-15T17:09:52Z,7186651602,1,region
sell,5998000.0,1422,1422,30000142,60003760,90,2025-11-15T17:18:35Z,7186791835,1,region
sell,6013000.0,180,180,30000142,60003760,30,2025-11-15T17:10:07Z,7186651294,1,region
sell,6013000.0,180,180,30000142,60003760,30,2025-11-15T17:10:16Z,7181923230,1,region
sell,6013000.0,180,180,30000142,60003760,30,2025-11-15T17:10:30Z,7185321927,1,region
sell,6014000.0,866,1050,30000142,60003760,90,2025-11-15T15:46:39Z,7181071403,1,region
sell,6014000.0,71,71,30000142,60003760,90,2025-11-15T15:58:30Z,7186722707,1,region
sell,6015000.0,11,11,30000142,60003760,14,2025-11-15T15:40:52Z,7186707577,1,region
sell,6018000.0,7,7,30000142,60003760,90,2025-11-15T05:26:06Z,7186331194,1,region
sell,6019000.0,1,1,30000142,60003760,90,2025-11-15T05:09:08Z,7186323882,1,region
sell,6020000.0,22,22,30000142,60003760,90,2025-11-15T03:14:00Z,7186268281,1,region
sell,6020000.0,17,17,30000142,60003760,90,2025-11-15T03:39:13Z,7186280245,1,region
sell,6020000.0,12,12,30000142,60003760,90,2025-11-15T01:09:21Z,7183330635,1,region
sell,6024000.0,12,12,30000142,60003760,90,2025-11-14T15:12:43Z,7182689535,1,region
sell,6025000.0,27,27,30000142,60003760,90,2025-11-14T14:46:50Z,7185782924,1,region
sell,6027000.0,33,87,30000142,60003760,90,2025-11-14T11:32:24Z,7185669295,1,region
sell,6029000.0,97,97,30000142,60003760,90,2025-11-15T03:26:00Z,7186274329,1,region
sell,6030000.0,157,157,30000142,60003760,90,2025-11-14T04:41:16Z,7185496992,1,region
