side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,141900.0,723,1000,30000144,1044752365771,90,2025-10-15T20:45:26Z,7087422770,1,1
buy,141700.0,11,15,30000142,60003760,90,2025-10-14T13:57:36Z,7124932978,1,station
buy,140400.0,22,50,30000144,1044752365771,90,2025-09-30T12:38:13Z,7121394546,1,1
buy,136000.0,13,14,30000142,60003760,90,2025-09-08T18:44:28Z,7136512112,1,station
buy,990.0,53,53,30000144,1044752365771,90,2025-09-20T02:15:20Z,7145122678,1,region
sell,577800.0,2,11,30000142,60003760,90,2025-11-16T02:30:26Z,7173222978,1,region
sell,577900.0,5,5,30000142,60003760,90,2025-11-16T00:59:06Z,7185247840,1,region
sell,578000.0,47,50,30000142,60003760,90,2025-11-15T21:32:28Z,7184761276,1,region
sell,578400.0,2,2,30000142,60003760,90,2025-11-15T14:21:38Z,7185596580,1,region
sell,578600.0,4,10,30000142,60003760,90,2025-11-15T13:14:20Z,7165145998,1,region
sell,579500.0,17,25,30000142,60003760,90,2025-11-13T15:19:41Z,7185039262,1,region
sell,583500.0,1,1,30000142,60003760,30,2025-11-09T11:55:54Z,7160519573,1,region
sell,584500.0,3,3,30000142,60003760,90,2025-11-08T15:53:30Z,7181089311,1,region
sell,584500.0,2,2,30000142,60003760,90,2025-11-08T14:37:26Z,7181031266,1,region
sell,586500.0,15,16,30000142,60003760,90,2025-11-05T13:22:30Z,7164179421,1,region
sell,586700.0,2,2,30000142,60003760,90,2025-11-05T09:11:31Z,7140048138,1,region
sell,589200.0,14,20,30000142,60003760,90,2025-11-02T19:13:54Z,7137966175,1,region
sell,590000.0,1,1,30000142,60003760,90,2025-11-02T09:21:22Z,7164237197,1,region
sell,590600.0,48,50,30000142,60003760,90,2025-11-02T02:31:17Z,7146277132,1,region
sell,592000.0,1,1,30000142,60003760,90,2025-10-31T19:37:48Z,7175066907,1,region
sell,595000.0,9,9,30000142,60003760,90,2025-10-29T07:49:58Z,7173199804,1,region
sell,596700.0,1,1,30000142,60003760,90,2025-10-27T16:13:24Z,7171996770,1,region
sell,599000.0,1,1,30000142,60003760,90,2025-10-25T14:13:01Z,7170297106,1,region
sell,604900.0,11,11,30000142,60003760,90,2025-10-18T20:24:08Z,7165433247,1,region
sell,610000.0,2,2,30000142,60003760,90,2025-10-15T08:40:29Z,7162892303,1,region
sell,711300.0,1,1,30000142,60003760,90,2025-10-06T03:12:20Z,7155913260,1,region
sell,719600.0,3,3,30000142,60003760,90,2025-10-04T18:55:14Z,7136391088,1,region
sell,739600.0,2,2,30000142,60003760,90,2025-10-03T07:31:12Z,7153804689,1,region
sell,740200.0,5,5,30000142,60003760,90,2025-10-02T14:10:02Z,7153357768,1,region
sell,750000.0,1,1,30000142,60003760,90,2025-09-26T17:52:08Z,7149496763,1,region
sell,764300.0,13,13,30000142,60003760,90,2025-09-18T15:34:34Z,7144184681,1,region
sell,774900.0,237,240,30000142,60003760,90,2025-09-01T17:50:18Z,7123380197,1,region
sell,775000.0,1,1,30000197,60001795,90,2025-09-20T02:15:36Z,7145122756,1,region
