side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1267.0,86,100,30000142,60003760,90,2025-11-12T14:39:48Z,7135298319,1,station
buy,1261.0,59,100,30000142,60003760,90,2025-11-04T17:11:25Z,7108775741,1,station
buy,1260.0,59,186,30000142,60003760,90,2025-11-02T09:48:02Z,7096274022,1,solarsystem
buy,1167.0,978,1000,30000144,1044752365771,90,2025-10-17T04:36:10Z,7144742779,1,20
sell,64800.0,1,1,30000142,60003760,90,2025-11-10T22:07:38Z,7183015143,1,region
sell,64840.0,22,50,30000142,60003760,90,2025-11-06T14:07:03Z,7113576708,1,region
sell,64850.0,25,25,30000142,60003760,90,2025-11-05T14:17:07Z,7176481037,1,region
sell,64860.0,29,29,30000142,60003760,90,2025-11-05T08:54:40Z,7134605576,1,region
sell,64870.0,38,38,30000142,60003760,30,2025-11-02T18:55:08Z,7176745566,1,region
sell,64950.0,50,50,30000142,60003760,90,2025-10-06T06:57:52Z,7077021393,1,region
sell,65550.0,6,6,30000142,60003760,90,2025-09-25T01:44:29Z,7148485288,1,region
sell,65900.0,193,193,30000142,60003760,90,2025-09-22T12:27:33Z,7141989491,1,region
sell,70000.0,45,45,30000142,60003760,90,2025-08-23T14:46:02Z,7093543699,1,region
