side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,50000.0,15,100,30000142,60003760,90,2025-10-22T16:36:18Z,7168230620,1,station
buy,47450.0,50,50,30000144,1044752365771,90,2025-10-20T19:25:14Z,7166994183,1,1
buy,47430.0,33,100,30000142,60003760,90,2025-09-30T18:51:42Z,7073512123,1,1
buy,47110.0,20,20,30000142,60003760,90,2025-09-04T11:26:41Z,7133041482,1,station
buy,47000.0,19,20,30000142,60003760,90,2025-08-31T21:43:11Z,7132814473,1,station
buy,10000.0,5,5,30000142,60003760,90,2025-10-11T10:47:04Z,7159802557,1,1
sell,450000.0,1,1,30000142,60003760,90,2025-11-15T21:30:57Z,7187002901,1,region
sell,500000.0,1,1,30000142,60003760,90,2025-11-14T14:07:39Z,7184680623,1,region
sell,880000.0,1,1,30000142,60003760,14,2025-11-13T15:56:39Z,7183276531,1,region
sell,970600.0,3,3,30000142,60003760,90,2025-11-11T04:07:12Z,7183198315,1,region
sell,970700.0,1,2,30000142,60003760,90,2025-10-30T17:59:34Z,7172083252,1,region
sell,980000.0,157,197,30000142,60003760,90,2025-10-11T23:25:49Z,7160349685,1,region
sell,997200.0,1,1,30000142,60003760,90,2025-08-24T11:18:34Z,7123134607,1,region
sell,1499000.0,1,1,30000142,60003760,90,2025-09-17T07:32:06Z,7083737051,1,region
