side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,116800000.0,1,1,30000142,60003760,90,2025-11-15T08:38:45Z,7186421987,1,1
buy,116700000.0,9,10,30000142,60003760,90,2025-10-26T19:53:02Z,7165801433,1,station
buy,116000000.0,11,15,30000142,60003760,90,2025-10-11T10:55:17Z,7159806920,1,station
buy,113800000.0,1,3,30000142,60003760,90,2025-09-07T17:14:54Z,7056168866,1,station
buy,113100000.0,1,1,30000142,60003760,90,2025-09-06T17:46:23Z,7136480030,1,station
buy,121700.0,4,4,30000142,60003760,90,2025-10-23T13:03:17Z,7110717412,1,region
sell,129500000.0,4,5,30000142,60003760,90,2025-11-16T02:13:12Z,7187184543,1,region
sell,129600000.0,8,11,30000142,60003760,90,2025-11-15T23:08:21Z,7185396082,1,region
sell,129800000.0,1,1,30000142,60003760,90,2025-11-15T19:46:07Z,7185782328,1,region
sell,129900000.0,1,1,30000142,60003760,90,2025-11-15T18:40:42Z,7186421928,1,region
sell,130000000.0,3,3,30000142,60003760,90,2025-11-15T17:13:33Z,7186717663,1,region
sell,130000000.0,1,1,30000142,60003760,90,2025-11-15T17:32:04Z,7186803521,1,region
sell,130800000.0,1,2,30000142,60003760,90,2025-11-15T06:49:36Z,7186368075,1,region
sell,131100000.0,1,1,30000142,60003760,90,2025-11-15T02:41:39Z,7177832304,1,region
sell,132200000.0,6,10,30000142,60003760,90,2025-11-11T21:57:40Z,7183489556,1,region
sell,132700000.0,1,3,30000142,60003760,90,2025-11-11T16:42:11Z,7180399869,1,region
sell,279800000.0,2,2,30000142,60003760,90,2025-11-01T20:07:08Z,7175917355,1,region
sell,280000000.0,9,9,30000142,60003760,90,2025-11-01T14:44:54Z,7175658328,1,region
sell,290000000.0,1,1,30000142,60003760,90,2025-09-21T00:15:53Z,7145819717,1,region
