side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,2019.0,16709,20000,30000142,60003760,90,2025-11-03T07:57:35Z,7150275568,1,station
buy,2018.0,100,100,30000142,60003760,90,2025-11-03T07:44:55Z,7177140822,1,station
buy,0.01,99879,100000,30000142,60003760,90,2025-10-22T19:38:35Z,7168347002,1,region
sell,5000.0,62,62,30000169,60001876,90,2025-10-01T23:14:11Z,7153045286,1,region
sell,8900.0,24,24,30000142,60003760,90,2025-11-14T08:02:36Z,7185576599,1,region
sell,9000.0,34,34,30000142,60003760,90,2025-10-31T10:57:51Z,7137138745,1,region
sell,9933.0,14,14,30000142,60003760,90,2025-10-29T10:44:55Z,7173267224,1,region
sell,9934.0,58,58,30000142,60003760,90,2025-10-11T23:12:49Z,7160342297,1,region
sell,11820.0,8000,8000,30000142,60003760,90,2025-10-10T10:23:59Z,7159015402,1,region
sell,11830.0,1,1,30000142,60003760,90,2025-09-24T18:10:53Z,7137926872,1,region
