side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,4312000.0,1,1,30000180,60012667,90,2025-11-14T16:59:59Z,7185873530,1,region
buy,4201000.0,4,4,30000144,1044752365771,90,2025-11-07T05:08:28Z,7172854260,1,1
buy,4200000.0,1,1,30000142,60003760,30,2025-11-07T01:22:19Z,7179923876,1,station
buy,4100000.0,1,1,30000142,60003760,90,2025-10-04T09:40:23Z,7134614553,1,station
buy,1801000.0,1,1,30000144,1044752365771,90,2025-09-11T14:34:20Z,7137126351,1,1
sell,16130080.0,333,333,30000143,60006883,365,2025-11-13T21:14:21Z,911353014,1,region
sell,16130080.0,333,333,30000144,60006880,365,2025-11-14T14:48:05Z,911353013,1,region
sell,16130080.0,333,333,30000159,60006856,365,2025-10-29T16:11:02Z,911353005,1,region
sell,16130080.0,333,333,30000162,60006853,365,2025-09-04T11:03:06Z,911353004,1,region
sell,16130080.0,333,333,30000163,60006859,365,2025-11-16T06:12:47Z,911353006,1,region
sell,16130080.0,333,333,30000143,60006886,365,2025-11-16T06:55:36Z,911353015,1,region
sell,16870000.0,21,40,30000142,60003760,90,2025-11-13T14:17:05Z,7183918845,1,region
sell,16880000.0,41,43,30000142,60003760,90,2025-11-12T06:19:30Z,7184021884,1,region
