side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,7624000.0,17,30,30000144,1044752365771,90,2025-11-16T02:43:00Z,7185506518,1,1
buy,7623000.0,18,20,30000142,60003760,14,2025-11-15T22:16:45Z,7185055989,1,station
buy,7621000.0,6,11,30000142,60003760,90,2025-11-15T17:00:43Z,7185373633,1,station
buy,7593000.0,4,4,30000142,60003760,90,2025-11-14T11:42:39Z,7185673348,1,station
buy,7103000.0,2,8,30000142,60003760,3,2025-11-13T21:39:33Z,7184232258,1,station
buy,7055000.0,5,5,30000142,60003760,14,2025-11-12T19:55:56Z,7184469688,1,station
buy,7048000.0,10,10,30000144,1044752365771,90,2025-11-12T02:57:04Z,7183940602,1,1
buy,7043000.0,1,1,30000142,60003760,90,2025-11-11T13:41:00Z,7183445148,1,station
buy,7019000.0,23,25,30000142,60003760,90,2025-11-09T13:46:01Z,7181779691,1,station
buy,7013000.0,20,20,30000142,60003760,90,2025-11-08T17:09:14Z,7181153384,1,station
buy,7009000.0,4,4,30000144,1042508032148,90,2025-11-08T04:41:10Z,7180708583,1,1
buy,7005000.0,97,100,30000144,1044752365771,90,2025-11-07T13:33:17Z,7180215180,1,1
buy,7000000.0,48,48,30000142,60003760,90,2025-11-04T23:35:36Z,7178472021,1,station
buy,5000000.0,10,10,30000144,1044752365771,90,2025-10-31T18:25:28Z,7175016229,1,1
buy,50.05,96,100,30000144,1044752365771,90,2025-11-09T23:44:24Z,7041249786,1,20
buy,50.02,100,100,30000142,60003760,90,2025-10-31T19:11:29Z,7175049492,1,station
buy,50.02,100,100,30000142,60003760,90,2025-10-31T19:11:42Z,7175049620,1,station
buy,50.02,100,100,30000142,60003760,90,2025-10-31T19:11:50Z,7175049685,1,station
buy,50.0,5049,5050,30000142,60003760,90,2025-09-26T03:31:50Z,7149125385,1,40
buy,0.01,10000000,10000000,30000142,60003760,90,2025-09-03T17:18:53Z,7134591667,1,40
sell,8475000.0,15,30,30000142,60003760,90,2025-11-16T06:57:14Z,7187330517,1,region
sell,8476000.0,14,52,30000142,60003760,90,2025-11-13T23:11:01Z,7185349640,1,region
sell,8477000.0,2,4,30000142,60003760,14,2025-11-13T22:48:26Z,7185338141,1,region
sell,8478000.0,26,49,30000142,60003760,90,2025-11-12T20:21:11Z,7184485469,1,region
sell,8480000.0,4,10,30000142,60003760,90,2025-11-01T21:21:01Z,7168861542,1,region
sell,8480000.0,10,10,30000142,60003760,90,2025-11-13T03:09:09Z,7184695802,1,region
sell,8481000.0,10,11,30000142,60003760,90,2025-11-01T19:02:45Z,7175861646,1,region
sell,8493000.0,1,1,30000142,60003760,90,2025-11-01T18:21:57Z,7175827984,1,region
sell,8664000.0,7,10,30000142,60003760,90,2025-10-27T00:40:34Z,7164059224,1,region
sell,8665000.0,3,3,30000142,60003760,90,2025-10-26T20:20:41Z,7171451424,1,region
