side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,353500.0,1,7,30000142,60003760,90,2025-11-15T14:22:13Z,7116409552,1,1
buy,353400.0,3,10,30000142,60003760,90,2025-11-15T01:20:53Z,7149390628,1,station
buy,352800.0,4,4,30000119,60004462,90,2025-11-12T14:01:09Z,7172486037,1,region
buy,350500.0,10,10,30000142,60003760,90,2025-10-24T08:12:54Z,7169345275,1,station
buy,350000.0,50,50,30000142,60003760,90,2025-10-22T16:35:09Z,7168229871,1,station
buy,300000.0,10,10,30000142,60003760,90,2025-10-05T08:55:35Z,7155268281,1,station
buy,90140.0,20,32,30000142,60003760,90,2025-10-04T14:06:06Z,7095050462,1,1
buy,90030.0,45,50,30000144,1044752365771,90,2025-10-02T20:00:02Z,7093590901,1,1
buy,89490.0,100,100,30000142,60003760,90,2025-09-24T18:27:31Z,7148288742,1,station
buy,89220.0,10,10,30000142,60003760,90,2025-09-14T07:53:38Z,7140480898,1,1
buy,88880.0,1,1,30000142,60003760,90,2025-08-26T03:52:34Z,7128975119,1,station
buy,80110.0,25,30,30000142,60003760,90,2025-08-25T09:14:24Z,7109279623,1,station
buy,50.0,5050,5050,30000142,60003760,90,2025-09-01T10:36:05Z,7133107043,1,40
sell,2880000.0,2,9,30000142,60003760,90,2025-10-17T18:22:47Z,7157994491,1,region
sell,2987000.0,1,1,30000142,60003760,90,2025-10-06T08:28:29Z,7156019410,1,region
sell,3000000.0,17,17,30000142,60003760,90,2025-09-21T17:42:44Z,7146359457,1,region
sell,4885000.0,1,3,30000142,60003760,90,2025-09-22T19:51:43Z,6955225840,1,region
