side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,20300.0,733,800,30000142,60003760,90,2025-11-16T04:40:19Z,7187264352,1,station
buy,20290.0,1179,3500,30000142,60003760,90,2025-10-31T19:44:37Z,7154593814,1,station
buy,20180.0,381,1000,30000142,60003760,90,2025-10-22T17:50:32Z,7162877888,1,station
buy,14000.0,2654,5000,30000142,60003760,90,2025-10-24T08:41:09Z,6877358379,1,station
buy,1000.0,11,100,30000142,60003760,90,2025-10-16T05:13:53Z,7163513791,1,region
sell,20310.0,1,1,30000142,60003760,7,2025-11-16T06:18:44Z,7187311657,1,region
sell,20310.0,2,2,30000142,60003760,3,2025-11-16T07:26:05Z,7187345161,1,region
sell,30290.0,470,905,30000142,60003760,90,2025-11-16T04:40:01Z,7185239666,1,region
sell,31950.0,1,2,30000188,60004474,90,2025-11-02T12:32:41Z,7176435181,1,region
sell,34990.0,77,154,30000142,60003760,90,2025-11-15T18:08:07Z,7186832695,1,region
sell,35000.0,117,202,30000142,60003760,90,2025-11-15T15:20:46Z,7185679808,1,region
sell,39970.0,1,1,30000142,60003760,90,2025-11-15T15:09:08Z,7186683371,1,region
sell,39980.0,7,7,30000142,60003760,90,2025-11-15T03:43:22Z,7186282082,1,region
sell,39990.0,185,306,30000142,60003760,90,2025-11-14T20:20:32Z,7186027074,1,region
sell,40000.0,1,1,30000142,60003760,14,2025-11-14T20:00:16Z,7186012474,1,region
sell,42000.0,5,5,30000142,60003760,90,2025-11-14T19:22:35Z,7185985147,1,region
sell,49950.0,2,2,30000142,60003760,90,2025-11-14T18:04:27Z,7185925932,1,region
sell,49980.0,6,6,30000142,60003760,90,2025-11-14T10:19:56Z,7185632044,1,region
sell,50000.0,1,1,30000142,60003760,30,2025-11-14T06:33:17Z,7185541659,1,region
sell,50000.0,2,2,30000181,60002353,90,2025-11-01T05:32:24Z,7175345311,1,region
sell,50000.0,1,1,30000181,60003070,30,2025-10-26T00:45:50Z,7170739870,1,region
sell,58500.0,51,51,30000142,60003760,90,2025-11-12T18:55:51Z,7184427301,1,region
sell,58500.0,55,125,30000142,60003760,90,2025-11-12T17:15:32Z,7184355005,1,region
sell,58750.0,2,2,30000142,60003760,30,2025-11-12T16:45:09Z,7184335051,1,region
sell,58780.0,6395,7045,30000142,60003760,90,2025-10-28T15:07:20Z,7172669865,1,region
sell,58800.0,4,4,30000142,60003760,90,2025-10-28T13:19:17Z,7172604183,1,region
sell,58870.0,3,3,30000142,60003760,90,2025-10-23T09:10:56Z,7168671736,1,region
sell,59960.0,10,10,30000142,60003760,90,2025-10-22T06:20:25Z,7167962277,1,region
sell,59990.0,1,2,30000142,60003760,90,2025-10-21T19:00:58Z,7167656540,1,region
sell,60100.0,3,3,30000142,60003760,90,2025-10-21T15:34:53Z,7167529275,1,region
sell,60180.0,1321,5000,30000142,60003760,90,2025-08-26T10:02:38Z,7068667893,1,region
sell,478500.0,3,3,30000142,60003760,30,2025-10-30T08:32:47Z,7173959392,1,region
