side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,25920000.0,5,10,30000142,60003760,90,2025-10-25T00:40:01Z,7169891199,1,station
buy,25910000.0,1,10,30000142,60003760,90,2025-09-26T16:30:54Z,7143282392,1,station
buy,25890000.0,1,1,30000142,60003760,90,2025-09-22T19:54:18Z,7092152603,1,station
buy,23000000.0,1,2,30000142,60003760,90,2025-08-24T19:49:15Z,7128091900,1,station
buy,21530000.0,5,5,30000142,60003760,90,2025-10-18T12:31:23Z,7165099884,1,1
buy,21520000.0,1,1,30000142,60003760,90,2025-08-24T12:07:19Z,7127759051,1,station
buy,121700.0,4,4,30000142,60003760,90,2025-10-23T13:40:47Z,7110819139,1,region
sell,33000000.0,1,8,30000142,60003760,90,2025-11-09T14:08:34Z,7181891249,1,region
sell,33000000.0,9,9,30000142,60003760,90,2025-11-13T13:17:17Z,7184966128,1,region
sell,33990000.0,1,2,30000142,60003760,90,2025-09-30T03:27:18Z,7151920725,1,region
sell,34000000.0,1,1,30000142,60003760,90,2025-09-29T21:55:14Z,7151800870,1,region
sell,34190000.0,1,1,30000142,60003760,90,2025-09-29T10:31:06Z,7151442608,1,region
sell,34240000.0,1,1,30000142,60003760,90,2025-09-13T00:37:16Z,7140569129,1,region
sell,34400000.0,1,1,30000142,60003760,90,2025-09-10T13:12:08Z,7138931403,1,region
sell,34800000.0,1,1,30000142,60003760,90,2025-09-07T09:31:50Z,7136927025,1,region
sell,34860000.0,1,5,30000142,60003760,90,2025-08-29T14:35:55Z,7129102090,1,region
sell,34890000.0,1,1,30000142,60003760,90,2025-08-28T12:30:57Z,7130369865,1,region
sell,34900000.0,3,3,30000142,60003760,90,2025-08-26T02:15:40Z,7128940180,1,region
sell,35000000.0,1,1,30000142,60003760,90,2025-08-25T19:15:51Z,7128744613,1,region
sell,36000000.0,1,2,30000142,60003760,90,2025-08-24T19:49:43Z,7128092209,1,region
sell,40840000.0,1,1,30000142,60003760,90,2025-11-01T19:26:28Z,7116724397,1,region
