side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,221500.0,2,10,30000142,60003760,90,2025-11-15T14:22:00Z,7161734960,1,station
buy,221400.0,9,9,30000142,60003760,90,2025-11-15T12:44:55Z,7117691234,1,station
buy,220900.0,9,11,30000144,1042508032148,90,2025-11-15T09:36:10Z,7147409386,1,1
buy,220800.0,50,50,30000142,60003760,90,2025-11-14T16:37:41Z,7185859292,1,4
buy,220600.0,3,3,30000142,60003760,90,2025-11-14T13:07:30Z,7161504482,1,1
buy,216600.0,11,11,30000142,60003760,90,2025-11-04T18:22:23Z,7168138873,1,region
buy,204000.0,9,10,30000142,60003760,90,2025-09-24T20:27:53Z,7133551725,1,1
buy,21200.0,10,10,30000144,1044752365771,90,2025-10-05T18:59:33Z,7036230864,1,40
buy,19700.0,5,5,30000142,60003760,90,2025-08-23T14:12:01Z,7127059655,1,station
buy,19550.0,19,20,30000142,60003760,90,2025-08-21T02:20:10Z,7111061025,1,station
sell,1588000.0,3,3,30000142,60003760,90,2025-11-15T11:49:41Z,7186527324,1,region
sell,1589000.0,10,19,30000142,60003760,90,2025-10-25T16:17:11Z,7165993124,1,region
sell,1598000.0,1,1,30000142,60003760,90,2025-10-23T20:25:35Z,7169054007,1,region
sell,1599000.0,3,5,30000142,60003760,90,2025-10-22T04:22:25Z,7167921796,1,region
sell,1600000.0,4,4,30000142,60003760,30,2025-10-21T22:11:49Z,7167776949,1,region
sell,1645000.0,36,36,30000142,60003760,90,2025-09-07T01:01:17Z,7079168354,1,region
sell,2000000.0,3,3,30000177,60002848,90,2025-10-28T03:48:05Z,7172381016,1,region
sell,5441000.0,12,12,30000142,60003760,90,2025-09-03T20:48:06Z,7010987722,1,region
