side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,16.4,281048,3510000,30000142,60003760,90,2025-11-15T03:09:45Z,7114467733,1,1
buy,16.39,84000,100000,30000142,60003760,90,2025-11-14T07:34:47Z,7185565956,1,1
buy,16.38,27111,40000,30000144,1044752365771,7,2025-11-12T16:34:49Z,7184328760,1,1
buy,16.33,216953,754625,30000142,60003760,90,2025-09-29T19:19:28Z,7148446840,1,station
buy,16.2,121259,500000,30000142,60003760,90,2025-09-08T14:53:55Z,7136290060,1,station
buy,16.1,966500,1000000,30000142,60003760,90,2025-09-07T06:36:37Z,7136850509,1,station
sell,36.82,54000,56000,30000142,60003760,90,2025-11-16T07:32:04Z,7185503199,1,region
sell,37.86,2000,2000,30000142,60003760,3,2025-11-16T07:29:37Z,7187088980,1,region
sell,37.87,367202,375454,30000142,60003760,90,2025-11-16T06:45:20Z,7178281259,1,region
sell,38.0,500,500,30000142,60003760,90,2025-11-15T20:45:19Z,7186965540,1,region
sell,38.99,28931,31498,30000142,60003760,30,2025-11-14T15:48:12Z,7171278096,1,region
sell,38.99,5500,5500,30000142,60003760,30,2025-11-14T15:48:04Z,7180164850,1,region
sell,41.0,2000,2000,30000142,60003760,7,2025-11-13T16:46:53Z,7179422449,1,region
sell,41.97,40801,40801,30000142,60003760,90,2025-11-13T01:41:17Z,7178835684,1,region
sell,42.0,7001,7001,30000142,60003760,90,2025-11-11T13:40:48Z,7183445011,1,region
sell,44.0,1000,1000,30000142,60003760,90,2025-11-10T11:53:36Z,7179381860,1,region
sell,44.04,1224,3000,30000142,60003760,14,2025-11-09T19:06:36Z,7182130584,1,region
sell,48.47,1000,1000,30000142,60003760,90,2025-11-04T21:51:55Z,7178418488,1,region
sell,48.49,2000,2000,30000142,60003760,90,2025-11-04T13:06:13Z,7178064771,1,region
sell,48.5,66,66,30000142,60003760,90,2025-11-04T12:45:12Z,7178051978,1,region
sell,48.95,16000,16000,30000142,60003760,90,2025-10-31T19:10:42Z,7175048615,1,region
sell,50.0,1800,1800,30000142,60003760,30,2025-10-31T16:58:42Z,7174957805,1,region
sell,53.88,7000,7000,30000142,60003760,90,2025-10-29T20:50:08Z,7172420978,1,region
sell,61.0,4000,19000,30000142,60003760,90,2025-10-27T09:17:59Z,7171472569,1,region
sell,64.46,3000,3000,30000142,60003760,90,2025-08-31T08:53:52Z,7132320420,1,region
sell,78.0,1000,1000,30000142,60003760,90,2025-08-21T23:31:19Z,7126018653,1,region
