side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,3.2,292738,1000000,30000142,60003760,90,2025-10-24T14:13:46Z,7163192039,1,station
buy,3.1,846032,1000000,30000142,60003760,90,2025-10-20T13:48:32Z,7166765982,1,station
buy,2.0,917929,1000000,30000142,60003760,90,2025-10-12T21:54:56Z,7161207670,1,station
sell,3.21,2500,2500,30000142,60003760,90,2025-11-16T00:10:29Z,7187118870,1,region
sell,3.21,500,500,30000142,60003760,30,2025-11-16T01:15:08Z,7187152407,1,region
sell,39.96,2000,2000,30000142,60003760,90,2025-11-16T06:46:32Z,7187325789,1,region
sell,39.98,1442,3000,30000142,60003760,90,2025-11-16T01:10:40Z,7156695205,1,region
sell,39.99,1000,1000,30000142,60003760,90,2025-11-15T18:49:29Z,7186865482,1,region
sell,40.0,8960,14000,30000142,60003760,90,2025-10-26T20:50:25Z,7171473477,1,region
sell,40.0,1000,1000,30000142,60003760,14,2025-11-14T23:35:07Z,7186157594,1,region
sell,40.99,1500,6000,30000142,60003760,90,2025-10-24T18:07:35Z,7169664792,1,region
sell,42.0,12109,17048,30000142,60003760,90,2025-10-20T18:36:02Z,7166964359,1,region
sell,43.89,26000,26000,30000142,60003760,90,2025-10-18T22:50:36Z,7158153665,1,region
sell,45.0,1000,1000,30000142,60003760,90,2025-10-14T04:41:57Z,7155942846,1,region
sell,49.84,2000,2000,30000142,60003760,90,2025-10-13T08:45:19Z,7161469063,1,region
sell,49.86,1000,1000,30000142,60003760,90,2025-10-08T05:30:30Z,7157478391,1,region
sell,59.0,479,479,30000142,60003760,90,2025-10-05T23:25:57Z,7155828052,1,region
sell,64.91,2000,2000,30000142,60003760,90,2025-10-04T23:33:23Z,7155050201,1,region
sell,69.95,497951,497951,30000142,60003760,90,2025-10-25T04:09:50Z,7145785417,1,region
sell,70.0,176000,176000,30000142,60003760,90,2025-09-30T22:36:12Z,7152427174,1,region
sell,71.99,4000,4000,30000142,60003760,90,2025-09-30T21:10:48Z,7152386422,1,region
sell,72.89,271888,313500,30000142,60003760,90,2025-09-22T19:53:38Z,6715916597,1,region
