side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1570.0,169210,238351,30000144,1042508032148,90,2025-08-22T17:37:06Z,7126471506,1,20
buy,0.01,100000,100000,30000142,60003760,90,2025-08-22T10:12:42Z,7126237359,1,region
sell,1571.0,800,800,30000142,60003760,30,2025-11-16T01:15:08Z,7187152382,1,region
sell,2564.0,270876,271356,30000142,60003760,90,2025-11-14T11:17:20Z,7185663443,1,region
sell,2569.0,1040,2000,30000142,60003760,90,2025-11-09T01:21:17Z,7181482595,1,region
sell,2570.0,7500,12000,30000142,60003760,90,2025-11-02T03:25:00Z,7176158493,1,region
sell,2571.0,11585,11585,30000142,60003760,90,2025-10-31T23:09:19Z,7175196998,1,region
sell,2983.0,1400,1400,30000142,60003760,90,2025-10-23T19:54:30Z,7169032840,1,region
sell,2990.0,600,9000,30000142,60003760,90,2025-09-16T13:51:21Z,7132133109,1,region
sell,3000.0,1000,1000,30000142,60003760,90,2025-08-29T19:56:03Z,7131263078,1,region
sell,7571.0,4000,4000,30000142,60003760,90,2025-09-02T22:52:09Z,7134160853,1,region
