side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,610000.0,10,10,30000142,60003760,90,2025-11-16T00:42:51Z,7187136248,1,station
buy,601100.0,20,20,30000142,60003760,90,2025-11-14T16:36:07Z,7185858304,1,4
buy,601000.0,11,18,30000144,1044752365771,90,2025-11-10T20:07:57Z,7112495155,1,2
buy,600500.0,7,10,30000144,1044752365771,90,2025-11-09T12:22:33Z,7166109332,1,1
buy,600400.0,17,22,30000142,60003760,90,2025-11-05T03:01:55Z,7157045890,1,station
buy,600000.0,30,30,30000142,60003760,90,2025-10-25T23:26:00Z,7170700879,1,station
buy,500200.0,30,30,30000142,60003760,90,2025-10-20T14:04:03Z,7166775045,1,station
sell,1486000.0,3,3,30000142,60003760,90,2025-11-15T19:18:43Z,7174165319,1,region
sell,1487000.0,2,3,30000142,60003760,90,2025-11-11T07:20:16Z,7178746923,1,region
sell,1488000.0,3,3,30000142,60003760,90,2025-11-10T20:34:14Z,7182952854,1,region
sell,1490000.0,3,3,30000142,60003760,90,2025-11-09T15:35:59Z,7181960218,1,region
sell,1498000.0,2,3,30000142,60003760,90,2025-11-09T12:19:56Z,7175620269,1,region
sell,1500000.0,3,3,30000142,60003760,90,2025-11-07T17:28:41Z,7135783696,1,region
sell,1500000.0,3,3,30000142,60003760,90,2025-11-08T04:06:08Z,7158715557,1,region
sell,1500000.0,3,3,30000142,60003760,90,2025-11-08T04:05:58Z,7133975056,1,region
sell,1500000.0,3,3,30000142,60003760,90,2025-11-08T04:05:47Z,7138537829,1,region
sell,1600000.0,12,12,30000142,60003760,90,2025-11-07T13:41:51Z,7180219412,1,region
sell,1797000.0,3,3,30000142,60003760,90,2025-11-04T00:02:20Z,7177711042,1,region
sell,1800000.0,3,3,30000142,60003760,90,2025-10-29T19:14:09Z,7173576005,1,region
sell,1900000.0,3,5,30000142,60003760,90,2025-10-11T23:52:52Z,7160363392,1,region
sell,1901000.0,3,3,30000142,60003760,90,2025-10-04T02:17:52Z,7154356160,1,region
sell,2421000.0,18,18,30000142,60003760,90,2025-09-25T19:20:27Z,7148927766,1,region
sell,2442000.0,3,3,30000142,60003760,90,2025-09-25T16:09:22Z,7148818719,1,region
sell,2448000.0,3,3,30000142,60003760,90,2025-09-24T08:59:04Z,7148015331,1,region
sell,4445000.0,15,15,30000142,60003760,90,2025-09-21T16:13:45Z,7146296168,1,region
sell,4500000.0,3,3,30000142,60003760,90,2025-09-11T03:21:36Z,7139352070,1,region
sell,4980000.0,3,3,30000142,60003760,90,2025-09-06T05:39:32Z,7126823362,1,region
