side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,8.04,1717198,3000000,30000142,60003760,90,2025-10-31T05:18:21Z,7085303265,1,station
buy,8.03,796639,1000000,30000142,60003760,90,2025-10-24T07:55:30Z,7128424037,1,station
buy,8.0,908653,1000000,30000142,60003760,90,2025-10-12T21:54:43Z,7161207519,1,station
buy,7.51,838287,1000000,30000142,60003760,90,2025-09-18T12:13:53Z,7134938582,1,station
buy,0.02,92255,100000,30000142,60003760,90,2025-09-10T13:33:13Z,7084586237,1,region
sell,23.93,248,264,30000142,60003760,90,2025-11-16T03:22:57Z,7179685855,1,region
sell,23.94,143,143,30000142,60003760,90,2025-11-16T00:57:48Z,7187143747,1,region
sell,23.95,120,120,30000142,60003760,90,2025-11-15T22:18:27Z,7187041161,1,region
sell,24.0,137,144,30000142,60003760,90,2025-11-15T16:37:05Z,7177415675,1,region
sell,24.05,47,47,30000142,60003760,30,2025-11-15T13:54:54Z,7186625463,1,region
sell,24.99,120,120,30000142,60003760,90,2025-11-15T05:20:50Z,7186328913,1,region
sell,25.0,2673,2673,30000142,60003760,90,2025-11-15T00:45:59Z,7186196358,1,region
sell,25.95,48,48,30000142,60003760,90,2025-11-14T16:48:28Z,7185865768,1,region
sell,25.97,89,89,30000142,60003760,7,2025-11-13T16:44:21Z,7185094654,1,region
sell,25.98,51,51,30000142,60003760,90,2025-11-13T08:49:02Z,7181752566,1,region
sell,26.0,1014,1014,30000142,60003760,90,2025-11-12T14:39:05Z,7176995043,1,region
sell,28.05,74,74,30000142,60003760,90,2025-11-09T20:30:14Z,7182197109,1,region
sell,34.0,33,49,30000142,60003760,90,2025-11-08T15:51:27Z,7173451913,1,region
sell,35.0,50,50,30000142,60003760,90,2025-11-07T17:29:09Z,7180354011,1,region
sell,39.0,39,101,30000142,60003760,90,2025-11-06T04:52:56Z,7174956705,1,region
sell,40.0,5416,5416,30000142,60003760,90,2025-11-04T11:11:09Z,7178004242,1,region
sell,48.71,1623,1623,30000142,60003760,14,2025-11-03T19:30:42Z,7177546701,1,region
sell,51.0,313,313,30000142,60003760,90,2025-11-03T12:19:19Z,7177268871,1,region
sell,58.9,33,33,30000142,60003760,30,2025-11-02T04:44:55Z,7176192719,1,region
sell,59.9,42,42,30000142,60003760,90,2025-11-01T15:20:54Z,7175685881,1,region
sell,62.99,12,34,30000142,60003760,90,2025-11-01T04:23:04Z,7170335380,1,region
sell,68.6,3506,3506,30000142,60003760,14,2025-11-12T20:12:57Z,7184480553,1,region
sell,69.58,148,148,30000142,60003760,14,2025-11-09T18:41:28Z,7182110971,1,region
sell,70.0,104,129,30000142,60003760,90,2025-10-30T07:44:09Z,7152351917,1,region
sell,70.0,159,159,30000142,60003760,90,2025-10-30T22:12:55Z,7174439122,1,region
sell,71.0,279,279,30000142,60003760,90,2025-10-30T04:29:12Z,7173876777,1,region
sell,74.97,714,728,30000142,60003760,90,2025-10-27T20:21:32Z,7164440075,1,region
sell,74.98,633,641,30000142,60003760,30,2025-10-27T09:41:11Z,7171800806,1,region
sell,75.0,2064,2064,30000142,60003760,90,2025-10-26T14:19:52Z,7171163144,1,region
sell,93.0,30,54,30000142,60003760,90,2025-10-24T07:47:01Z,7169336322,1,region
sell,95.05,18,18,30000142,60003760,90,2025-10-23T14:59:41Z,7168842286,1,region
sell,97.99,89,89,30000142,60003760,90,2025-10-20T00:24:33Z,7166438913,1,region
sell,98.0,336,336,30000142,60003760,90,2025-10-20T13:40:36Z,7166760621,1,region
sell,98.02,303,303,30000142,60003760,90,2025-10-19T08:24:05Z,7165784263,1,region
sell,150.0,127,151,30000142,60003760,90,2025-10-16T12:31:47Z,7163687306,1,region
sell,183.4,840,840,30000142,60003760,90,2025-10-15T05:10:50Z,7162822439,1,region
sell,240.0,89,89,30000142,60003760,90,2025-10-12T13:47:28Z,7160811503,1,region
sell,240.0,27,27,30000142,60003760,90,2025-10-13T15:27:48Z,7161686809,1,region
sell,244.6,984,984,30000142,60003760,90,2025-10-11T15:51:58Z,7160018435,1,region
sell,245.0,13,13,30000142,60003760,90,2025-10-10T22:27:40Z,7159459974,1,region
sell,247.0,550,550,30000142,60003760,90,2025-10-10T13:46:10Z,7159124827,1,region
sell,250.0,45157,45165,30000142,60003760,90,2025-10-07T18:42:28Z,7157163082,1,region
sell,296.0,264,264,30000142,60003760,90,2025-10-06T18:05:21Z,7156376518,1,region
sell,713.0,391,391,30000142,60003760,90,2025-10-04T17:47:29Z,7154833585,1,region
sell,1000.0,8,8,30000142,60003760,90,2025-09-30T08:34:36Z,7152008216,1,region
sell,2000.0,124,125,30000142,60003760,90,2025-09-28T06:44:48Z,7150607328,1,region
sell,2567.0,165422,165422,30000142,60003760,90,2025-09-27T19:15:27Z,7150287965,1,region
