side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,5059.0,220,456,30000142,60003760,90,2025-11-15T20:11:30Z,7148089307,1,station
buy,5058.0,483,500,30000142,60003760,90,2025-11-15T11:57:00Z,7183540085,1,station
buy,5056.0,100,100,30000142,60003760,90,2025-11-15T10:17:25Z,7186477014,1,1
buy,5048.0,80,100,30000142,60003760,90,2025-11-12T15:09:17Z,7173699759,1,station
buy,5029.0,426,500,30000142,60003760,90,2025-11-07T16:56:31Z,7163085818,1,1
buy,5025.0,3895,5000,30000142,60003760,90,2025-10-22T18:44:55Z,7048103971,1,station
buy,5012.0,968,1000,30000142,60003760,90,2025-10-01T17:51:21Z,7148256508,1,station
buy,0.02,99994,100000,30000142,60003760,90,2025-09-10T13:43:33Z,7084591260,1,region
sell,60000.0,9,9,30000142,60003760,90,2025-11-16T03:13:40Z,7187220455,1,region
sell,68790.0,159,159,30000142,60003760,90,2025-11-15T20:11:40Z,7181952809,1,region
sell,68800.0,8,8,30000142,60003760,90,2025-11-15T18:59:53Z,7163273638,1,region
sell,68900.0,1,1,30000142,60003760,90,2025-11-15T18:15:20Z,7186838456,1,region
sell,69900.0,1,1,30000142,60003760,90,2025-11-15T15:56:17Z,7186721161,1,region
sell,70000.0,1,1,30000142,60003760,90,2025-11-15T12:49:16Z,7186570961,1,region
sell,70900.0,5,5,30000142,60003760,90,2025-11-15T15:22:06Z,7186693207,1,region
sell,71000.0,1,1,30000142,60003760,30,2025-11-14T08:34:41Z,7185589640,1,region
sell,71400.0,1,1,30000142,60003760,90,2025-11-14T01:48:31Z,7185425581,1,region
sell,71860.0,2,3,30000142,60003760,90,2025-11-13T08:35:17Z,7184832299,1,region
sell,71870.0,6,7,30000142,60003760,90,2025-11-11T11:39:05Z,7180924882,1,region
sell,71880.0,9,9,30000142,60003760,90,2025-11-10T10:39:27Z,7182581051,1,region
sell,71900.0,2,2,30000142,60003760,14,2025-11-08T15:02:36Z,7181049750,1,region
sell,71940.0,159,238,30000142,60003760,90,2025-10-22T18:45:16Z,7048104114,1,region
sell,71950.0,2,2,30000142,60003760,90,2025-10-19T00:35:00Z,7165578072,1,region
sell,72040.0,40,40,30000142,60003760,90,2025-10-15T15:10:52Z,7163085666,1,region
sell,72090.0,8,8,30000142,60003760,90,2025-08-30T19:45:15Z,7131967491,1,region
sell,72090.0,11,11,30000142,60003760,90,2025-08-21T20:51:37Z,7125944953,1,region
sell,72090.0,54,54,30000142,60003760,90,2025-08-21T21:23:32Z,7125962118,1,region
sell,72110.0,237,237,30000142,60003760,90,2025-08-19T07:27:33Z,7124356436,1,region
