side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,55.84,255709,400000,30000142,60003760,90,2025-11-14T23:36:18Z,7180517925,1,station
buy,55.82,223730,350000,30000142,60003760,90,2025-11-14T18:42:51Z,7183556660,1,station
buy,55.79,100289,150000,30000142,60003760,7,2025-11-14T12:15:46Z,7180026197,1,station
buy,55.7,5000,5000,30000142,60003760,7,2025-11-13T18:15:00Z,7185155999,1,station
buy,55.4,5711610,5721070,30000144,1042508032148,90,2025-11-12T13:01:30Z,7177279118,1,20
buy,55.0,33532,100000,30000142,60003760,90,2025-11-08T08:08:07Z,7180799896,1,station
buy,55.0,200000,200000,30000142,60003760,90,2025-11-09T00:19:52Z,7181451477,1,station
buy,50.23,2358864,2500000,30000142,60003760,90,2025-11-08T07:23:41Z,7178235726,1,station
buy,47.0,289235,300000,30000142,60003760,90,2025-11-05T10:36:10Z,7178714004,1,station
buy,46.32,962800,2000000,30000142,60003760,90,2025-10-06T02:11:20Z,7089858394,1,5
buy,46.3,2500000,2500000,30000142,60003760,90,2025-09-22T00:26:54Z,7146586037,1,station
sell,79.76,758201,1074700,30000142,60003760,90,2025-11-15T00:17:16Z,7186181034,1,region
sell,79.77,74755,350000,30000142,60003760,14,2025-11-14T18:52:46Z,7185963906,1,region
sell,79.78,5990885,10394956,30000142,60003760,90,2025-11-12T12:02:04Z,7180737514,1,region
sell,80.02,7400,7400,30000142,60003760,14,2025-11-14T11:33:17Z,7185669624,1,region
sell,80.64,3758739,3969899,30000142,60003760,90,2025-11-12T09:32:01Z,7131498540,1,region
sell,80.64,600,600,30000142,60003760,30,2025-11-12T09:44:45Z,7184105362,1,region
sell,80.65,247150,494510,30000142,60003760,90,2025-11-12T00:55:23Z,7183886450,1,region
sell,80.82,3979015,3989696,30000142,60003760,90,2025-11-11T12:24:16Z,7130550341,1,region
sell,80.83,3382841,3989679,30000142,60003760,90,2025-11-10T15:35:32Z,7127824782,1,region
sell,81.0,6418,400000,30000142,60003760,90,2025-11-07T19:49:33Z,7170982787,1,region
sell,82.1,149702,783342,30000142,60003760,90,2025-11-05T15:32:38Z,7178861601,1,region
sell,82.11,4932,4932,30000142,60003760,90,2025-11-07T09:13:15Z,7180098810,1,region
sell,84.77,2059432,4435000,30000142,60003760,90,2025-10-28T19:24:37Z,7172246417,1,region
sell,87.0,400000,400000,30000142,60003760,90,2025-11-01T20:36:06Z,7175939492,1,region
sell,90.0,70250,100000,30000181,60001783,90,2025-09-26T19:53:00Z,7149571536,1,region
sell,97.96,23518,27140,30000142,60003760,90,2025-10-24T17:02:22Z,7169620131,1,region
sell,97.97,99902,99902,30000142,60003760,90,2025-10-25T10:05:31Z,7170132422,1,region
sell,98.67,2831019,2998799,30000142,60003760,90,2025-10-19T08:53:59Z,7127447778,1,region
sell,98.98,1000000,1000000,30000142,60003760,90,2025-10-15T19:36:24Z,7163262091,1,region
sell,98.99,2784717,2989796,30000142,60003760,90,2025-09-02T05:52:16Z,7133686883,1,region
sell,102.7,3247712,3979699,30000142,60003760,90,2025-08-30T14:41:14Z,7131777128,1,region
sell,140.7,469399,582443,30000142,60003760,90,2025-08-19T18:31:24Z,7124662487,1,region
sell,141.0,600,1000,30000142,60003760,90,2025-08-19T15:50:48Z,7124575908,1,region
sell,142.0,809692,910000,30000142,60003760,90,2025-08-19T13:05:45Z,7124489544,1,region
