side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,900.0,100000,100000,30000142,60003760,14,2025-11-16T08:30:40Z,7187379475,1,station
buy,837.3,93833,100000,30000144,1042508032148,90,2025-11-16T08:30:07Z,7186139136,1,1
buy,836.2,5000,5000,30000144,1044752365771,90,2025-11-16T08:26:15Z,7185589897,1,1
buy,835.0,33163,59000,30000142,60003760,7,2025-11-16T07:53:41Z,7185914589,1,station
buy,833.8,10000,40000,30000144,1042508032148,30,2025-11-16T04:40:32Z,7186294237,1,1
buy,833.7,67510,78000,30000142,60003760,3,2025-11-16T04:30:15Z,7184748725,1,station
buy,830.0,15000,15000,30000142,60003760,90,2025-11-15T22:56:48Z,7187068848,1,station
buy,828.4,10000,10000,30000142,60003760,90,2025-11-15T20:40:00Z,7186526839,1,station
buy,828.3,77000,77000,30000142,60003760,3,2025-11-15T20:35:04Z,7184751216,1,station
buy,825.9,237700,238700,30000142,60003760,7,2025-11-15T16:38:33Z,7186757691,1,station
buy,825.4,9702,25000,30000142,60003760,90,2025-11-15T12:20:49Z,7184549510,1,station
buy,824.7,238000,240000,30000142,60003760,1,2025-11-15T09:02:10Z,7185527192,1,station
buy,820.1,13696,20000,30000142,60003760,90,2025-11-15T00:07:23Z,7186175529,1,station
buy,817.2,300318,300318,30000144,1042508032148,90,2025-11-14T12:03:20Z,7185683103,1,20
buy,815.2,20000,20000,30000142,60003760,90,2025-11-13T11:57:26Z,7184164247,1,1
buy,813.5,8796,40000,30000142,60003760,90,2025-09-05T12:45:18Z,7128975467,1,station
buy,808.6,20000,20000,30000142,60003760,90,2025-08-29T16:30:00Z,7131141220,1,station
buy,801.2,250000,250000,30000142,60003760,90,2025-08-23T05:43:55Z,7126810785,1,station
buy,0.01,10000000,10000000,30000142,60003760,90,2025-11-11T18:41:15Z,7183649795,1,40
sell,1562.0,1000,1000,30000142,60003760,90,2025-11-16T07:09:45Z,7187336634,1,region
sell,1573.0,24000,30000,30000142,60003760,30,2025-11-16T06:50:02Z,7187120240,1,region
sell,1574.0,8460,15000,30000142,60003760,90,2025-11-16T04:57:30Z,7185506942,1,region
sell,1579.0,24240,50000,30000142,60003760,30,2025-11-15T18:09:46Z,7180555482,1,region
sell,1580.0,70603,70603,30000142,60003760,90,2025-11-15T17:34:54Z,7186805832,1,region
sell,1581.0,40,3040,30000142,60003760,90,2025-11-15T15:23:59Z,7186694726,1,region
sell,1582.0,2464,79800,30000142,60003760,90,2025-11-14T17:14:53Z,7185884963,1,region
sell,1585.0,303687,304687,30000142,60003760,90,2025-11-14T11:20:58Z,7185664648,1,region
sell,1592.0,239573,254473,30000142,60003760,90,2025-11-13T23:23:26Z,7185356576,1,region
sell,1596.0,50000,50000,30000142,60003760,90,2025-11-13T16:13:27Z,7185075207,1,region
sell,1601.0,200352,353826,30000142,60003760,90,2025-11-12T20:29:26Z,7170295922,1,region
sell,1601.0,592,592,30000142,60003760,14,2025-11-12T21:29:02Z,7184531532,1,region
sell,1602.0,6574,6674,30000142,60003760,90,2025-11-12T15:27:15Z,7184284975,1,region
sell,1604.0,28872,28872,30000142,60003760,90,2025-11-12T07:17:42Z,7184044316,1,region
sell,1607.0,6100,20000,30000142,60003760,90,2025-11-08T21:30:00Z,7181346529,1,region
sell,1620.0,366411,583535,30000142,60003760,90,2025-10-27T14:57:15Z,7147310935,1,region
sell,1626.0,2670,2670,30000142,60003760,90,2025-10-25T13:48:33Z,7170279469,1,region
sell,1627.0,126309,127029,30000142,60003760,90,2025-10-25T13:28:27Z,7170262651,1,region
sell,1641.0,5336,21202,30000142,60003760,90,2025-09-25T11:19:17Z,7148226078,1,region
sell,1652.0,12667,12667,30000142,60003760,90,2025-10-19T21:40:27Z,7111412009,1,region
sell,1660.0,50000,50000,30000142,60003760,90,2025-09-23T09:45:24Z,7147414756,1,region
sell,1667.0,27180,30000,30000142,60003760,90,2025-09-16T06:05:23Z,7094802064,1,region
sell,1681.0,12008,55000,30000142,60003760,90,2025-08-23T05:43:43Z,7126810734,1,region
sell,1700.0,27189,27189,30000142,60003760,90,2025-10-11T04:04:49Z,7159607185,1,region
sell,2026.0,45000,45000,30000142,60003760,90,2025-09-24T19:53:55Z,7049452963,1,region
sell,2100.0,150000,150000,30000142,60003760,90,2025-08-29T14:06:31Z,7037773393,1,region
