side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,2337000.0,1,1,30000142,60003760,90,2025-11-13T02:44:04Z,7184685123,1,station
buy,2336000.0,4,4,30000142,60003760,90,2025-11-12T22:32:04Z,7039232553,1,region
sell,9500000.0,1,1,30000142,60003760,90,2025-11-11T10:42:06Z,7176739105,1,region
sell,9588000.0,1,1,30000142,60003760,90,2025-11-11T03:44:50Z,7183188133,1,region
sell,9589000.0,1,2,30000142,60003760,14,2025-11-09T22:22:51Z,7173826939,1,region
sell,9590000.0,2,2,30000142,60003760,90,2025-11-09T14:16:12Z,7172039790,1,region
sell,9610000.0,2,2,30000142,60003760,14,2025-11-11T19:59:21Z,7183711579,1,region
sell,9885000.0,2,2,30000142,60003760,90,2025-10-31T01:00:33Z,7144928390,1,region
sell,9893000.0,1,1,30000142,60003760,90,2025-10-19T09:20:50Z,7165815868,1,region
sell,9900000.0,2,2,30000142,60003760,90,2025-10-12T12:38:31Z,7160758133,1,region
sell,10280000.0,2,2,30000142,60003760,90,2025-09-30T21:00:21Z,7150348571,1,region
sell,10980000.0,6,6,30000142,60003760,90,2025-09-25T16:17:10Z,7148822958,1,region
sell,11490000.0,1,1,30000142,60003760,90,2025-09-24T09:08:01Z,7145809176,1,region
sell,13790000.0,1,1,30000142,60003760,90,2025-09-22T01:52:01Z,7146618405,1,region
sell,17740000.0,6,6,30000142,60003760,90,2025-08-28T13:15:02Z,7129940491,1,region
sell,17740000.0,2,2,30000142,60003760,90,2025-08-28T13:15:26Z,7055791867,1,region
sell,37620000.0,1,1,30000142,60003760,90,2025-09-27T02:29:41Z,7035486795,1,region
