side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,18460000.0,1,1,30000142,60003760,90,2025-11-16T05:00:11Z,7163158512,1,station
buy,18450000.0,1,3,30000144,1044752365771,90,2025-11-14T02:24:30Z,7173122004,1,1
buy,18270000.0,1,4,30000142,60003760,90,2025-09-20T18:50:50Z,7129825514,1,station
buy,16990000.0,8,10,30000142,60003760,90,2025-08-24T11:24:28Z,7094469314,1,region
buy,50.0,5050,5050,30000142,60003760,90,2025-09-25T14:39:26Z,7148771495,1,40
sell,74500000.0,3,3,30000142,60003760,90,2025-11-16T07:09:02Z,7186340217,1,region
sell,75370000.0,1,1,30000142,60003760,90,2025-11-16T05:15:46Z,7184487387,1,region
sell,75380000.0,2,2,30000142,60003760,90,2025-11-16T02:35:28Z,7186514601,1,region
sell,76390000.0,6,6,30000142,60003760,90,2025-11-16T02:30:37Z,7185598132,1,region
sell,76900000.0,1,1,30000142,60003760,90,2025-11-15T03:43:24Z,7186282085,1,region
sell,76940000.0,3,3,30000142,60003760,90,2025-11-14T10:06:22Z,7184007892,1,region
sell,77000000.0,1,3,30000142,60003760,90,2025-11-08T14:23:45Z,7181021307,1,region
sell,77500000.0,3,3,30000142,60003760,90,2025-11-04T12:35:39Z,7178046415,1,region
sell,78000000.0,1,1,30000142,60003760,90,2025-11-03T17:27:33Z,7177457388,1,region
sell,80500000.0,42,72,30000142,60003760,90,2025-09-22T04:41:15Z,7134241167,1,region
