side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,305300000.0,1,1,30000144,1042508032148,90,2025-11-16T06:43:58Z,7186270821,1,1
buy,305200000.0,1,1,30000144,1044752365771,3,2025-11-16T05:26:45Z,7186930729,1,1
buy,305100000.0,1,1,30000144,1044752365771,90,2025-11-16T03:04:17Z,7187215547,1,1
buy,304900000.0,1,1,30000144,1044752365771,90,2025-11-16T02:37:30Z,7184536427,1,5
buy,304700000.0,1,1,30000142,60003760,90,2025-11-15T23:43:40Z,7142578435,1,station
buy,301100000.0,1,1,30000144,1044752365771,90,2025-11-14T11:20:53Z,7184796604,1,1
buy,300400000.0,3,3,30000144,1044752365771,90,2025-11-13T08:27:22Z,7184829172,1,1
buy,300000000.0,2,2,30000142,60003760,90,2025-11-13T06:15:27Z,7178178321,1,station
buy,239800000.0,3,3,30000144,1044752365771,90,2025-11-12T19:07:53Z,7184434668,1,1
buy,235000000.0,4,4,30000144,1044752365771,90,2025-10-28T09:33:11Z,7169912604,1,1
buy,11280000.0,8,8,30000142,60003760,90,2025-08-22T06:49:49Z,7126162179,1,1
buy,112700.0,4,4,30000142,60003760,90,2025-10-23T14:11:56Z,7111663689,1,region
buy,1.0,1,1,30000144,1044752365771,90,2025-10-07T22:32:51Z,7157308672,1,1
sell,488800000.0,2,3,30000142,60003760,90,2025-11-16T09:11:08Z,7183864419,1,region
sell,488900000.0,1,1,30000142,60003760,90,2025-11-16T04:11:29Z,7183866649,1,region
sell,489800000.0,2,3,30000142,60003760,90,2025-11-15T21:04:32Z,7184067086,1,region
sell,489900000.0,1,1,30000142,60003760,90,2025-11-15T19:04:54Z,7186877442,1,region
sell,490000000.0,1,1,30000142,60003760,90,2025-11-15T18:34:42Z,7184424936,1,region
sell,490200000.0,2,2,30000142,60003760,90,2025-11-15T14:09:11Z,7183959881,1,region
sell,491900000.0,1,1,30000142,60003760,90,2025-11-15T09:20:53Z,7184128190,1,region
sell,492000000.0,1,1,30000142,60003760,90,2025-11-15T09:13:07Z,7184431282,1,region
sell,492400000.0,1,1,30000142,60003760,90,2025-11-14T20:27:37Z,7183897169,1,region
sell,492500000.0,1,1,30000142,60003760,90,2025-11-14T20:19:09Z,7186026206,1,region
sell,493200000.0,1,1,30000142,60003760,90,2025-11-14T15:59:40Z,7184320963,1,region
sell,493700000.0,1,1,30000142,60003760,90,2025-11-14T13:53:02Z,7185747736,1,region
sell,494000000.0,1,1,30000142,60003760,90,2025-11-14T13:52:31Z,7185747392,1,region
sell,494100000.0,1,1,30000142,60003760,90,2025-11-14T11:20:24Z,7184796357,1,region
sell,494100000.0,1,1,30000142,60003760,90,2025-11-14T11:20:26Z,7184019184,1,region
sell,494400000.0,1,1,30000142,60003760,90,2025-11-14T09:10:30Z,7184762087,1,region
sell,498800000.0,1,1,30000142,60003760,90,2025-11-13T03:20:45Z,7184700427,1,region
sell,499300000.0,1,1,30000142,60003760,90,2025-11-12T22:39:39Z,7184577137,1,region
sell,499400000.0,1,1,30000142,60003760,90,2025-11-12T20:27:22Z,7184489991,1,region
sell,540000000.0,1,1,30000142,60003760,90,2025-11-12T18:19:37Z,7184399624,1,region
sell,541100000.0,1,1,30000142,60003760,90,2025-11-12T03:41:02Z,7183960094,1,region
sell,541200000.0,1,1,30000142,60003760,90,2025-11-12T03:40:36Z,7183959978,1,region
sell,541900000.0,1,4,30000142,60003760,90,2025-10-28T17:33:37Z,7172766473,1,region
sell,543000000.0,1,1,30000142,60003760,90,2025-10-26T18:53:26Z,7171378371,1,region
