side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,3000000.0,15,15,30000142,60003760,90,2025-11-09T18:44:34Z,7180758645,1,station
buy,2001000.0,7,8,30000142,60003760,90,2025-11-09T17:16:46Z,7167946820,1,station
sell,54000000.0,1,1,30000142,60003760,90,2025-11-15T19:54:54Z,7186923683,1,region
sell,55000000.0,2,2,30000142,60003760,90,2025-11-09T19:23:35Z,7182144127,1,region
sell,81990000.0,1,1,30000142,60003760,90,2025-11-08T19:13:28Z,7167947010,1,region
sell,82000000.0,1,1,30000142,60003760,90,2025-11-08T17:27:52Z,7181167758,1,region
sell,88880000.0,1,1,30000142,60003760,90,2025-11-08T10:54:59Z,7177573822,1,region
sell,88910000.0,1,1,30000142,60003760,90,2025-11-04T23:43:48Z,7178475733,1,region
sell,88920000.0,5,5,30000142,60003760,90,2025-10-27T13:30:50Z,7165062294,1,region
sell,88930000.0,1,1,30000142,60003760,30,2025-10-25T05:23:57Z,7164529977,1,region
sell,89000000.0,1,1,30000142,60003760,90,2025-10-09T12:19:53Z,7158345607,1,region
