side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,335000.0,25,25,30000142,60003466,90,2025-11-14T18:15:17Z,7185935341,1,station
buy,322000.0,40,50,30000142,60003760,90,2025-11-13T00:36:06Z,7184632273,1,station
buy,321100.0,100,100,30000142,60003760,90,2025-11-12T15:56:43Z,7184304262,1,station
buy,321000.0,13,50,30000142,60003760,90,2025-11-12T08:44:10Z,7076535452,1,1
buy,121000.0,40,40,30000142,60003760,90,2025-11-12T08:45:14Z,7184080481,1,1
sell,749700.0,10,10,30000142,60003760,90,2025-11-16T01:24:14Z,7187157163,1,region
sell,749800.0,54,120,30000142,60003760,14,2025-11-12T15:50:13Z,7175110019,1,region
sell,758300.0,7,7,30000160,60010192,90,2025-11-05T18:16:26Z,7178956516,1,region
sell,771200.0,6,6,30000142,60003760,14,2025-11-11T12:23:09Z,7183400904,1,region
sell,775400.0,10,10,30000142,60003760,90,2025-11-10T09:34:29Z,7182549798,1,region
sell,775400.0,2,2,30000142,60003760,14,2025-11-10T10:18:58Z,7182570258,1,region
sell,775800.0,170,188,30000142,60003760,90,2025-11-09T22:21:01Z,7175461143,1,region
sell,776500.0,5,5,30000142,60003760,90,2025-11-09T14:19:55Z,7181900234,1,region
sell,776900.0,11,20,30000142,60003760,90,2025-11-07T08:21:26Z,7177415364,1,region
sell,778000.0,10,10,30000142,60003760,90,2025-11-06T08:19:33Z,7179360013,1,region
sell,778200.0,2,2,30000142,60003760,90,2025-11-04T23:23:55Z,7178466420,1,region
sell,779200.0,465,1600,30000142,60003760,90,2025-10-31T07:29:20Z,7124104424,1,region
sell,780000.0,292,477,30000142,60003760,90,2025-10-13T05:57:45Z,7161407291,1,region
sell,785000.0,16,20,30000142,60003760,90,2025-09-28T13:36:15Z,7150828619,1,region
sell,788300.0,4,11,30000142,60003760,90,2025-09-27T01:58:53Z,7149740039,1,region
sell,800000.0,2,2,30000142,60003760,90,2025-09-22T19:35:33Z,7147091000,1,region
