side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
sell,120700.0,14,23,30000142,60003760,90,2025-10-20T14:57:03Z,7166807986,1,region
sell,125000.0,35,35,30000145,60014935,365,2025-11-14T00:49:54Z,1249477524,1,region
sell,125000.0,81,81,30000167,60002284,365,2025-11-15T11:19:22Z,1249477601,1,region
sell,125000.0,81,81,30000168,60002287,365,2025-09-25T11:04:25Z,1249477602,1,region
sell,125000.0,81,81,30000168,60002281,365,2025-09-29T11:04:20Z,1249477600,1,region
sell,125000.0,81,81,30000171,60002290,365,2025-10-01T11:14:04Z,1249477603,1,region
sell,125000.0,81,81,30000175,60002278,365,2025-09-18T11:04:01Z,1249477599,1,region
sell,125000.0,81,81,30000176,60002272,365,2025-09-09T11:06:29Z,1249477597,1,region
sell,125000.0,81,81,30000178,60002269,365,2025-11-11T11:26:33Z,1249477596,1,region
sell,125000.0,81,81,30000179,60002275,365,2025-09-18T11:04:01Z,1249477598,1,region
sell,125000.0,81,81,30000180,60002359,365,2025-09-14T21:24:14Z,1249477626,1,region
sell,125000.0,81,81,30000181,60002353,365,2025-10-31T21:05:55Z,1249477624,1,region
sell,125000.0,81,81,30000183,60002356,365,2025-10-23T11:10:51Z,1249477625,1,region
sell,125000.0,81,81,30000185,60002362,365,2025-09-08T23:24:57Z,1249477627,1,region
sell,125000.0,54,54,30000188,60002236,365,2025-09-05T11:05:37Z,1249477584,1,region
sell,125000.0,54,54,30000190,60002233,365,2025-08-31T11:03:11Z,1249477583,1,region
sell,125000.0,54,54,30000194,60002239,365,2025-10-24T11:04:29Z,1249477585,1,region
