side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1.35,4021,10000,30000142,60003760,90,2025-11-15T16:25:03Z,7186746305,1,station
buy,1.33,1348618,3000000,30000142,60003760,90,2025-09-24T15:14:18Z,7148179193,1,station
buy,1.32,61179,100000,30000142,60003760,90,2025-09-06T17:06:06Z,7136454271,1,station
buy,1.31,201,1000,30000142,60003760,90,2025-09-06T16:55:31Z,7130213720,1,station
buy,1.16,31150,50000,30000142,60003760,90,2025-08-20T01:31:49Z,7123974699,1,station
buy,0.99,106598,500000,30000143,60006883,90,2025-10-17T22:36:58Z,7108092554,1,region
buy,0.04,73122,1000000,30000144,1044752365771,90,2025-11-09T23:47:55Z,7075996014,1,20
buy,0.03,1000000,1000000,30030141,60015027,30,2025-10-30T01:26:00Z,7173798592,1,2
sell,4.3,33820,35000,30000142,60003760,90,2025-11-15T20:38:33Z,7186960112,1,region
sell,4.31,37170,40000,30000142,60003760,90,2025-11-13T07:18:13Z,7184797260,1,region
sell,4.33,510,510,30000142,60003760,90,2025-11-12T18:53:11Z,7184425537,1,region
sell,4.36,518679,529269,30000142,60003760,90,2025-10-22T21:00:03Z,7168399086,1,region
sell,4.36,148360,148360,30000142,60003760,14,2025-11-09T18:49:43Z,7182117573,1,region
sell,6.0,2874132,2874542,30000142,60003760,90,2025-10-21T23:08:24Z,7167108586,1,region
sell,6.8,1209,2049,30000142,60003760,90,2025-10-21T08:36:46Z,7164289065,1,region
sell,6.9,18675,25975,30000142,60003760,90,2025-10-21T08:36:34Z,7162849143,1,region
sell,7.8,7250,10000,30000142,60003760,90,2025-10-19T06:06:24Z,7165718552,1,region
sell,7.8,10000,10000,30000142,60003760,90,2025-10-19T06:06:38Z,7165718623,1,region
sell,9.0,5260,6200,30000142,60003760,90,2025-10-12T07:01:06Z,7160549474,1,region
sell,9.58,580000,580000,30000159,60010195,90,2025-10-17T12:51:01Z,7140264844,1,region
sell,10.25,294,4144,30000142,60003760,90,2025-10-11T17:16:52Z,7160087454,1,region
sell,10.28,4753,8180,30000142,60003760,90,2025-10-09T05:21:19Z,7158184292,1,region
sell,10.43,9000,9000,30000142,60003760,90,2025-10-09T09:06:43Z,7158260171,1,region
sell,38.0,21669,33000,30000142,60003760,90,2025-10-07T19:46:39Z,7157206751,1,region
sell,50.0,353418,353418,30000142,60003760,90,2025-08-18T16:04:22Z,7123960198,1,region
sell,19170.0,17500,17500,30000160,60010192,90,2025-08-25T11:33:42Z,7128487960,1,region
