side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,15340.0,1,21,30000142,60003760,3,2025-11-16T02:01:43Z,7184556358,1,station
buy,15330.0,50,50,30000142,60003760,90,2025-11-15T23:12:20Z,7187079356,1,station
buy,15320.0,89,100,30000142,60003760,90,2025-11-15T22:13:11Z,7182399595,1,station
buy,15270.0,78,100,30000142,60003760,90,2025-11-11T17:41:32Z,7174465300,1,1
buy,15140.0,135,195,30000142,60003760,90,2025-11-05T17:31:50Z,7165765980,1,1
buy,15010.0,5438,5500,30000142,60003760,90,2025-10-22T11:50:40Z,7167998435,1,station
buy,0.01,99999,100000,30000142,60003760,90,2025-10-23T01:44:50Z,7168519405,1,region
sell,37950.0,45,63,30000142,60003760,90,2025-11-15T23:12:14Z,7187079304,1,region
sell,37960.0,23,30,30000142,60003760,90,2025-11-15T20:26:41Z,7186950847,1,region
sell,37970.0,3169,4684,30000142,60003760,90,2025-11-03T12:39:46Z,7162942585,1,region
sell,37970.0,77,77,30000142,60003760,90,2025-11-11T21:57:10Z,7183795525,1,region
sell,37980.0,85,382,30000142,60003760,90,2025-10-31T18:38:56Z,7161553005,1,region
sell,38000.0,708,790,30000142,60003760,90,2025-10-31T04:50:08Z,7174612825,1,region
sell,38000.0,8,8,30000142,60003760,90,2025-10-31T10:32:28Z,7174731720,1,region
sell,38650.0,364,800,30000142,60003760,90,2025-10-27T13:36:57Z,7145133128,1,region
sell,38700.0,1606,1612,30000142,60003760,90,2025-10-22T08:08:18Z,7167998374,1,region
sell,38870.0,447,461,30000142,60003760,90,2025-10-11T21:14:59Z,7160267936,1,region
sell,39740.0,1,1,30000142,60003760,90,2025-08-23T14:30:44Z,7127071744,1,region
sell,39740.0,6,354,30000142,60003760,90,2025-08-23T08:16:44Z,7126873529,1,region
sell,100000.0,130,130,30000184,60000520,30,2025-11-01T22:49:53Z,7176029453,1,region
sell,126400.0,7,7,30000189,60010822,90,2025-10-26T22:50:23Z,7171556250,1,region
sell,178000.0,23,50,30000142,60003760,90,2025-10-17T19:58:05Z,6985654761,1,region
sell,1000000.0,2,2,30000142,60003760,90,2025-11-09T15:27:09Z,7181952388,1,region
