side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,159300000.0,1,3,30000144,1044752365771,90,2025-11-15T23:47:14Z,7185621738,1,1
buy,159200000.0,1,1,30000144,1042508032148,90,2025-11-15T17:45:22Z,7186814093,1,1
buy,159000000.0,1,1,30000142,60003760,14,2025-11-15T16:35:44Z,7186755434,1,station
buy,158900000.0,1,1,30000144,1044752365771,90,2025-11-15T14:50:52Z,7186300690,1,1
buy,158600000.0,3,3,30000142,60003760,7,2025-11-15T09:14:07Z,7186440989,1,station
buy,152600000.0,1,1,30000144,1042508032148,90,2025-11-15T08:31:02Z,7186417931,1,1
buy,152500000.0,1,3,30000142,60003760,90,2025-09-21T13:07:33Z,7145519933,1,station
buy,140000000.0,4,4,30000144,1042508032148,90,2025-09-03T01:44:22Z,7134224354,1,1
buy,77750000.0,1,1,30000142,60003760,90,2025-10-19T17:43:55Z,6950049423,1,region
buy,77600000.0,3,6,30000144,1044752365771,90,2025-09-01T16:38:11Z,7080202057,1,1
buy,1715000.0,10,10,30000142,60003760,90,2025-11-16T00:48:34Z,7024316807,1,region
buy,1711000.0,1,1,30000142,60003760,90,2025-10-08T16:28:21Z,7157796538,1,40
buy,0.01,10000000,10000000,30000142,60003760,90,2025-09-03T15:42:30Z,7134539041,1,40
sell,173900000.0,3,4,30000142,60003760,90,2025-11-16T02:16:49Z,7187186392,1,region
sell,174000000.0,2,2,30000142,60003760,90,2025-11-15T23:47:27Z,7186331010,1,region
sell,174100000.0,2,2,30000142,60003760,90,2025-11-15T22:31:06Z,7187050871,1,region
sell,174200000.0,1,2,30000142,60003760,90,2025-11-15T22:24:43Z,7185764855,1,region
sell,174400000.0,2,2,30000142,60003760,90,2025-11-15T08:09:07Z,7185738850,1,region
sell,174400000.0,2,2,30000142,60003760,90,2025-11-15T08:08:59Z,7185738920,1,region
sell,174600000.0,2,2,30000142,60003760,90,2025-11-15T07:26:48Z,7185739103,1,region
sell,174600000.0,1,2,30000142,60003760,90,2025-11-15T07:26:53Z,7185739548,1,region
sell,174600000.0,1,2,30000142,60003760,90,2025-11-15T07:26:59Z,7185739722,1,region
sell,175200000.0,26,30,30000142,60003760,90,2025-11-14T21:27:06Z,7186075072,1,region
sell,177500000.0,1,1,30000142,60003760,90,2025-11-14T10:08:14Z,7185557263,1,region
sell,177800000.0,28,37,30000142,60003760,90,2025-11-09T02:02:05Z,7181501828,1,region
sell,178000000.0,1,10,30000142,60003760,90,2025-11-08T04:56:43Z,7180715023,1,region
sell,178100000.0,2,3,30000142,60003760,90,2025-11-07T19:56:52Z,7180448729,1,region
sell,178200000.0,2,4,30000142,60003760,90,2025-11-04T06:16:13Z,7177868056,1,region
sell,178300000.0,1,1,30000142,60003760,30,2025-11-03T19:34:40Z,7177549447,1,region
sell,178400000.0,6,30,30000142,60003760,90,2025-11-03T14:16:58Z,7158287901,1,region
sell,179000000.0,2,3,30000142,60003760,90,2025-11-02T18:37:21Z,7176732165,1,region
sell,182800000.0,2,2,30000142,60003760,90,2025-10-30T02:41:08Z,7173832796,1,region
sell,184000000.0,4,6,30000142,60003760,90,2025-10-19T05:48:42Z,7165711443,1,region
sell,185300000.0,11,11,30000142,60003760,90,2025-10-13T22:28:36Z,7161971712,1,region
sell,186800000.0,3,3,30000142,60003760,90,2025-10-11T20:44:21Z,7160247099,1,region
sell,187000000.0,1,5,30000142,60003760,90,2025-10-11T12:22:40Z,7159859538,1,region
sell,187600000.0,4,4,30000142,60003760,90,2025-10-10T21:35:09Z,7159431951,1,region
sell,187900000.0,3,3,30000142,60003760,90,2025-10-09T02:29:45Z,7158124103,1,region
