side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,5000.0,15,50,30000142,60003760,90,2025-10-30T22:21:21Z,7174443958,1,region
buy,5000.0,10,10,30030141,60015027,90,2025-11-09T19:29:17Z,7182149070,1,station
buy,4303.0,47,50,30000142,60003760,90,2025-10-19T08:43:46Z,7145589930,1,station
buy,3000.0,1,1,30000142,60003760,90,2025-09-28T12:25:02Z,7150782178,1,40
sell,30000.0,757,757,30000141,60014659,365,2025-11-15T07:20:32Z,6964004125,1,region
sell,30000.0,757,757,30000165,60014686,365,2025-10-20T23:55:51Z,6964004420,1,region
sell,30000.0,757,757,30000167,60004435,365,2025-10-23T11:10:51Z,6964001809,1,region
sell,30000.0,694,694,30000180,60004459,365,2025-10-05T13:11:26Z,6964002359,1,region
sell,30000.0,757,757,30000181,60004444,365,2025-10-30T19:50:07Z,6964002083,1,region
sell,30000.0,694,694,30000188,60004474,365,2025-11-04T11:04:28Z,6964003463,1,region
sell,30000.0,694,694,30000195,60004468,365,2025-11-13T04:30:47Z,6964003187,1,region
sell,30000.0,757,757,30000201,60004426,365,2025-09-09T17:43:06Z,6964001535,1,region
sell,30000.0,694,694,30000201,60004465,365,2025-09-03T13:03:20Z,6964002911,1,region
sell,30000.0,757,757,30021407,60015002,365,2025-11-12T16:27:08Z,6964004760,1,region
sell,30000.0,757,757,30030141,60015027,365,2025-11-16T01:06:45Z,6964005038,1,region
sell,30000.0,694,694,30000119,60004462,365,2025-11-16T04:40:48Z,6964002635,1,region
sell,37000.0,39,180,30000142,60003760,90,2025-10-23T11:20:02Z,7159122716,1,region
sell,39990.0,6,18,30000142,60003760,90,2025-10-18T09:29:25Z,7080993614,1,region
