side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,50790000.0,2,2,30000144,1044752365771,90,2025-11-14T15:37:26Z,7178557111,1,1
buy,50770000.0,1,2,30000144,1044752365771,90,2025-11-14T12:38:20Z,7177656018,1,1
buy,120000.0,10,10,30000142,60003760,90,2025-11-13T14:01:46Z,7184990219,1,10
sell,117800000.0,1,3,30000142,60003760,90,2025-11-16T02:33:12Z,7172361815,1,region
sell,118000000.0,1,3,30000142,60003760,90,2025-11-15T21:50:14Z,7177712417,1,region
sell,118200000.0,2,2,30000142,60003760,90,2025-11-15T21:39:00Z,7179942283,1,region
sell,119700000.0,2,3,30000142,60003760,90,2025-11-14T15:48:07Z,7173332460,1,region
sell,129000000.0,2,2,30000142,60003760,90,2025-11-11T11:49:25Z,7183386717,1,region
sell,131000000.0,1,1,30000142,60003760,90,2025-11-10T15:07:52Z,7171847280,1,region
sell,138200000.0,5,5,30000142,60003760,90,2025-11-09T16:16:03Z,7176667442,1,region
sell,163000000.0,1,1,30000142,60003760,90,2025-11-09T13:54:17Z,7172609291,1,region
sell,163000000.0,1,1,30000142,60003760,90,2025-11-09T14:46:42Z,7172609184,1,region
sell,223000000.0,2,2,30000142,60003760,90,2025-11-02T14:44:03Z,7176539105,1,region
