side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,235000000.0,1,1,30000142,60003760,90,2025-11-06T17:08:25Z,7145240498,1,region
buy,230100000.0,1,1,30000142,60003760,90,2025-10-30T16:46:32Z,6877408105,1,station
buy,223000000.0,1,1,30000142,60003760,90,2025-10-18T18:25:24Z,7165347278,1,station
buy,125200000.0,1,1,30000142,60003760,90,2025-10-01T17:35:39Z,7138315508,1,2
buy,40000000.0,1,1,30000142,60003760,90,2025-09-09T19:12:53Z,7138516218,1,1
sell,722400000.0,1,1,30000142,60003760,90,2025-11-15T08:59:37Z,7087796185,1,region
sell,722400000.0,1,1,30000142,60003760,90,2025-11-14T03:54:38Z,7138516169,1,region
sell,722500000.0,1,1,30000142,60003760,90,2025-11-14T00:18:55Z,7138847011,1,region
sell,999200000.0,1,1,30000142,60003760,90,2025-09-18T23:59:17Z,6408875841,1,region
sell,999700000.0,1,1,30000142,60003760,90,2025-09-15T20:37:20Z,7072610882,1,region
