side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,4317000.0,2,2,30000142,60003760,90,2025-10-30T21:14:40Z,7163370534,1,1
buy,4252000.0,2,2,30000142,60003760,90,2025-10-12T12:00:21Z,7099645989,1,station
buy,0.01,100000,100000,30000142,60003760,90,2025-09-10T10:56:04Z,7138865490,1,region
sell,14220000.0,1,2,30000142,60003760,90,2025-11-15T19:41:53Z,7156509347,1,region
sell,14230000.0,1,1,30000142,60003760,90,2025-11-15T14:53:48Z,7160967208,1,region
sell,14270000.0,2,2,30000142,60003760,90,2025-11-12T20:31:02Z,7131336748,1,region
sell,14320000.0,1,1,30000142,60003760,90,2025-11-10T01:21:20Z,7182368681,1,region
sell,17000000.0,1,1,30000142,60003760,30,2025-10-23T10:35:35Z,7168705053,1,region
sell,18000000.0,7,7,30000142,60003760,90,2025-10-17T22:46:02Z,7164726007,1,region
sell,18480000.0,1,1,30000142,60003760,90,2025-10-02T07:41:21Z,7153211282,1,region
