side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1448000.0,3,3,30000142,60003760,90,2025-11-16T01:51:11Z,7187172164,1,1
buy,1447000.0,1,1,30000142,60003760,90,2025-11-15T23:10:07Z,7159765019,1,1
buy,1445000.0,1,1,30000144,1044752365771,90,2025-11-15T22:54:44Z,7173574617,1,1
buy,1439000.0,5,5,30000142,60003760,90,2025-11-15T17:38:51Z,7163933434,1,1
buy,1406000.0,1,1,30000144,1044752365771,90,2025-11-13T18:04:32Z,7180948564,1,region
buy,1404000.0,1,1,30000142,60003760,90,2025-11-13T00:46:54Z,7166229195,1,40
buy,1403000.0,1,1,30000142,60003760,90,2025-11-12T22:49:36Z,7175848619,1,station
buy,1378000.0,3,3,30000144,1044752365771,30,2025-11-10T06:02:16Z,7180709835,1,10
buy,1367000.0,10,10,30000142,60003760,90,2025-11-09T14:46:27Z,7164093447,1,40
buy,1019000.0,1,1,30000144,1042508032148,90,2025-11-03T14:15:36Z,7163016330,1,40
buy,78850.0,5,5,30000142,60003760,90,2025-10-30T17:54:14Z,7174265193,1,station
buy,75600.0,3,3,30000144,1044752365771,90,2025-10-28T20:42:02Z,7172902634,1,5
buy,68070.0,7,7,30000142,60003760,90,2025-10-16T18:25:30Z,7161558826,1,5
buy,68000.0,1,1,30000142,60003760,90,2025-10-08T04:27:02Z,7077480855,1,10
buy,0.01,100000,100000,30000142,60003760,90,2025-09-11T13:39:47Z,7139572181,1,region
sell,160700000.0,1,1,30000142,60003760,90,2025-11-16T01:50:12Z,7187171677,1,region
sell,160800000.0,1,1,30000142,60003760,90,2025-11-07T18:57:45Z,7180408687,1,region
sell,161000000.0,1,1,30000142,60003760,90,2025-10-01T06:28:50Z,7152214777,1,region
sell,175000000.0,1,1,30000142,60003760,90,2025-09-29T12:21:43Z,7151492050,1,region
sell,183500000.0,1,1,30000142,60003760,90,2025-09-28T20:58:37Z,7142978109,1,region
sell,195800000.0,1,1,30000142,60003760,90,2025-09-15T15:20:17Z,7135113747,1,region
