side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,350700000.0,1,1,30000144,1044752365771,14,2025-11-16T01:38:30Z,7187165106,1,1
buy,350700000.0,1,1,30000144,1044752365771,14,2025-11-16T01:45:10Z,7187168487,1,1
buy,350700000.0,1,1,30000144,1044752365771,14,2025-11-16T01:51:29Z,7187172421,1,1
buy,350300000.0,1,1,30000142,60003760,90,2025-11-15T12:19:59Z,7186550205,1,station
buy,341900000.0,1,1,30000144,1042508032148,90,2025-11-13T20:31:05Z,7183519545,1,1
buy,339300000.0,1,1,30000142,60003760,90,2025-11-13T07:39:31Z,7184807498,1,station
buy,337000000.0,1,1,30000142,60003760,90,2025-11-12T22:59:51Z,7184588004,1,station
buy,309400000.0,3,3,30000142,60003760,90,2025-11-15T04:47:51Z,7186313597,1,station
buy,305100000.0,9,20,30000142,60003760,90,2025-11-14T19:57:21Z,7116674138,1,station
buy,285800000.0,1,1,30000142,60003760,90,2025-11-04T07:41:09Z,7175079600,1,station
buy,267500000.0,1,1,30000144,1042508032148,90,2025-10-19T06:18:30Z,7165723081,1,1
buy,262800000.0,1,1,30000144,1044752365771,90,2025-10-18T17:47:01Z,7162943645,1,5
buy,234300000.0,1,1,30000142,60003760,90,2025-09-20T01:52:53Z,7136154138,1,station
buy,234100000.0,1,1,30000142,60003760,90,2025-08-24T11:21:42Z,7127070260,1,station
buy,224900000.0,1,1,30000142,60003760,90,2025-08-20T08:17:43Z,7124986633,1,station
buy,224900000.0,1,1,30000142,60003760,90,2025-08-20T08:17:52Z,7124986653,1,station
buy,224900000.0,1,1,30000142,60003760,90,2025-08-20T08:17:59Z,7124986666,1,station
buy,216500000.0,10,10,30000142,60003760,90,2025-10-26T15:05:42Z,7107257842,1,station
buy,216400000.0,1,1,30000142,60003760,90,2025-10-26T10:24:08Z,7115466516,1,station
buy,125000000.0,1,1,30000142,60003760,90,2025-10-10T19:38:02Z,7040369338,1,region
buy,300400.0,50,50,30000142,60003760,90,2025-10-25T18:51:07Z,7165055016,1,40
buy,300300.0,55,55,30000142,60003760,90,2025-10-20T21:09:15Z,6774671938,1,40
buy,0.01,10000000,10000000,30000142,60003760,90,2025-09-03T17:04:48Z,7134582769,1,40
sell,385600000.0,1,1,30000142,60003760,90,2025-11-16T04:20:02Z,7187254454,1,region
sell,385700000.0,1,1,30000142,60003760,90,2025-11-16T01:48:55Z,7187170939,1,region
sell,385800000.0,1,1,30000142,60003760,90,2025-11-16T01:40:48Z,7185414297,1,region
sell,385900000.0,1,1,30000142,60003760,90,2025-11-16T00:10:25Z,7186648973,1,region
sell,386000000.0,1,1,30000142,60003760,90,2025-11-15T23:53:12Z,7187108745,1,region
sell,386200000.0,1,1,30000142,60003760,90,2025-11-15T22:33:59Z,7187035224,1,region
sell,386300000.0,1,1,30000142,60003760,90,2025-11-15T22:32:07Z,7185351838,1,region
sell,386500000.0,1,1,30000142,60003760,90,2025-11-15T20:37:06Z,7185513758,1,region
sell,386600000.0,1,1,30000142,60003760,90,2025-11-15T19:45:44Z,7185783172,1,region
sell,386700000.0,1,1,30000142,60003760,90,2025-11-15T18:38:27Z,7185060358,1,region
