side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,100000.0,70,100,30000142,60003760,90,2025-10-22T05:42:28Z,7167949253,1,station
buy,1100.0,997,1000,30000142,60003760,90,2025-10-20T07:42:04Z,7166596840,1,station
buy,1000.0,90,100,30000142,60003760,90,2025-10-11T18:52:29Z,7160159247,1,solarsystem
sell,2098000.0,5,5,30000142,60003760,90,2025-11-13T05:59:09Z,7184769582,1,region
sell,2100000.0,1,1,30000142,60003760,90,2025-11-06T16:25:57Z,7179601691,1,region
sell,2200000.0,1,1,30000142,60003760,90,2025-10-22T14:35:30Z,7168160439,1,region
sell,2200000.0,1,1,30000142,60003760,90,2025-10-14T00:15:43Z,7162019358,1,region
sell,2799000.0,2,2,30000142,60003760,7,2025-11-11T18:26:46Z,7183637514,1,region
sell,2989000.0,2,2,30000142,60003760,90,2025-10-06T14:01:08Z,7156195245,1,region
sell,3000000.0,1,1,30000142,60003760,90,2025-10-02T10:55:58Z,7153276501,1,region
sell,4950000.0,35,35,30000142,60003760,90,2025-10-24T10:35:21Z,7169403120,1,region
sell,4990000.0,2,2,30000142,60003760,90,2025-09-11T07:32:49Z,7139425215,1,region
sell,47990000.0,2,2,30000142,60003760,90,2025-08-28T20:26:20Z,7109665369,1,region
sell,48000000.0,1,1,30000142,60003760,90,2025-08-22T15:30:02Z,7126396677,1,region
