side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,270.0,100000,100000,30000190,60002233,90,2025-11-15T13:06:46Z,7186586030,1,station
buy,253.9,1400348,1500000,30000181,60002353,90,2025-11-14T16:28:01Z,7185852962,1,solarsystem
buy,245.0,119895,120000,30000144,60002956,30,2025-11-15T06:52:58Z,7186369526,1,solarsystem
buy,245.0,351000,351000,30000144,60002956,30,2025-11-15T13:14:16Z,7186591995,1,solarsystem
buy,245.0,100000,100000,30000153,60003934,90,2025-11-15T14:11:35Z,7186637838,1,solarsystem
buy,242.0,199924,200000,30000142,60003760,90,2025-11-16T03:53:42Z,7187241191,1,station
buy,241.7,54200,54200,30000142,60003760,90,2025-11-16T03:51:12Z,7187239880,1,3
buy,241.6,504237,588000,30000142,60003760,90,2025-11-16T03:19:16Z,7187223271,1000,1
buy,241.5,9868973,15000000,30000142,60003760,90,2025-11-16T02:29:57Z,7187111799,1,station
buy,241.4,100000,100000,30000142,60003760,90,2025-11-16T02:08:34Z,7187181917,1,station
buy,241.3,995190,1000000,30000142,60003760,90,2025-11-16T01:06:17Z,7187147734,1,station
buy,241.3,1000000,1000000,30000142,60003760,90,2025-11-16T01:06:23Z,7187147789,1,station
buy,241.2,1396022,2000000,30000144,1044752365771,90,2025-11-16T00:18:16Z,7187123042,1,1
buy,241.0,1999597,2000000,30000142,60003760,7,2025-11-15T23:44:50Z,7187102622,1,station
buy,240.4,1111111,1111111,30000142,60003760,90,2025-11-15T23:42:46Z,7187101057,1,station
buy,240.3,183769,1200000,30000142,60003760,90,2025-11-15T05:02:56Z,7186065679,1,station
buy,240.1,1383435,3000000,30000144,1044752365771,90,2025-11-15T03:48:05Z,7186063486,1,1
buy,240.0,500000,500000,30000142,60003760,90,2025-11-15T05:37:53Z,7186337160,1,station
buy,240.0,100000,100000,30000142,60003760,30,2025-11-16T00:13:37Z,7187120787,1,station
buy,235.3,999142,1000000,30000142,60003760,3,2025-11-15T00:20:22Z,7186183057,1,1
buy,235.1,3000000,3000000,30000142,60003760,90,2025-11-14T23:17:46Z,7186147587,1,station
buy,235.0,35000000,35000000,30000142,60003760,90,2025-11-14T23:15:53Z,7186146392,1,station
buy,234.1,184767,184772,30000144,1044752365771,90,2025-11-14T22:58:39Z,7186135222,1,1
buy,232.1,599999,1000000,30000144,1044752365771,14,2025-11-14T21:56:01Z,7186095458,1,1
buy,231.4,1000000,1000000,30000144,1044752365771,90,2025-11-14T21:26:08Z,7186074283,1,1
buy,225.1,2000,2000,30000142,60003760,7,2025-11-14T17:05:19Z,7185877953,1,station
buy,225.0,2742129,8000000,30000142,60003760,90,2025-10-30T01:43:38Z,7173806953,1,station
buy,223.2,135971,300000,30000142,60003760,90,2025-10-24T07:12:57Z,7169324053,1,station
buy,223.0,5000000,5000000,30000142,60003760,90,2025-08-27T10:30:35Z,6997636274,1,station
buy,223.0,1000000,1000000,30000142,60003760,14,2025-11-12T15:03:17Z,7184269041,1,station
buy,216.1,4000000,4000000,30000142,60003760,90,2025-11-14T18:23:31Z,7185941846,1,station
buy,216.0,49999980,50000000,30000144,1044752365771,90,2025-11-12T13:59:59Z,7169642907,1,1
buy,215.0,50000000,50000000,30000144,1044752365771,90,2025-11-04T14:50:39Z,7169278833,1000000,1
buy,206.0,6000,6378,30030141,60015027,90,2025-11-15T12:24:27Z,7186553618,1,station
buy,205.9,99005,100000,30030141,60015027,90,2025-11-14T22:30:37Z,7186117198,1,1
buy,205.8,93996,100000,30030141,60015027,90,2025-11-13T19:08:30Z,7185191649,1,station
buy,204.9,105206,125000,30000146,60004048,90,2025-10-28T10:34:05Z,7165798340,1,3
buy,156.6,464486,700000,30000144,1044752365771,90,2025-11-15T14:44:56Z,7178220588,1,40
buy,156.5,371628,482222,30000142,60003760,90,2025-11-14T02:03:48Z,7175654395,1,region
buy,154.3,98088,100000,30000142,60003760,90,2025-11-07T12:59:00Z,7174320739,100,region
buy,154.2,499974,500000,30000144,1044752365771,90,2025-11-07T06:29:16Z,7163528279,1,region
buy,130.2,125006,125113,30000144,1044752365771,90,2025-09-20T23:10:52Z,7145793393,1,4
buy,31.0,99751367,100000000,30000144,1044752365771,90,2025-09-24T05:12:54Z,7147942125,1,region
buy,30.0,30000000,30000000,30000144,1044752365771,90,2025-10-19T20:37:54Z,7166317115,1,region
buy,0.02,1000000,1000000,30000146,60002734,90,2025-09-21T07:10:43Z,7145976139,1,40
buy,0.01,100000000,100000000,30000142,60003760,90,2025-09-03T18:17:37Z,7134628184,1,40
buy,0.01,2147472061,2147483647,30000144,1044752365771,90,2025-08-20T06:41:24Z,7124956698,1,40
sell,257.4,5377742,27497517,30000142,60003760,90,2025-11-15T08:43:53Z,7186424407,1,region
sell,257.4,42000000,42000000,30000142,60003760,90,2025-11-16T03:04:08Z,7187215486,1,region
sell,258.0,1624317,1786595,30000142,60003760,90,2025-11-15T01:19:40Z,7186213909,1,region
sell,259.4,4196091,4295586,30000142,60003760,90,2025-11-15T00:50:12Z,7186198769,1,region
sell,259.8,5234212,12420983,30000142,60003760,90,2025-11-14T20:05:59Z,7186016362,1,region
sell,259.9,10432545,10760249,30000142,60003760,90,2025-11-14T18:53:55Z,7185964635,1,region
sell,259.9,612310,612310,30000142,60003760,90,2025-11-14T19:54:00Z,7186008296,1,region
sell,260.0,113386591,132177804,30000142,60003760,90,2025-11-14T16:13:19Z,7164394045,1,region
sell,264.7,228821494,228823994,30000142,60003760,90,2025-11-14T15:28:55Z,7183586722,1,region
sell,264.7,104524441,114815192,30000142,60003760,90,2025-11-14T15:28:51Z,7183070236,1,region
sell,264.8,15198525,23775956,30000142,60003760,90,2025-11-14T13:22:17Z,7185726596,1,region
sell,265.0,12623,12623,30000142,60003760,90,2025-11-14T18:00:15Z,7184985017,1,region
sell,265.1,2220,2220,30000180,60012667,90,2025-11-14T03:31:47Z,7185468715,1,region
sell,265.1,14466,17140,30000180,60004459,90,2025-11-13T20:17:48Z,7185243042,1,region
sell,266.0,18944,18944,30000142,60003760,90,2025-11-12T21:35:17Z,7184535586,1,region
sell,266.9,18031747,18031747,30000142,60003760,90,2025-11-12T16:15:23Z,7184316949,1,region
sell,267.0,25451,25451,30000142,60003760,90,2025-11-15T07:12:52Z,7186378914,1,region
sell,267.1,1635631,1636181,30000142,60003760,90,2025-11-11T17:17:31Z,7183586305,1,region
sell,267.3,3475147,3475147,30000142,60003760,90,2025-11-11T17:12:11Z,7183582680,1,region
sell,267.4,1338951,3145176,30000142,60003760,90,2025-11-11T16:57:30Z,7183572916,1,region
sell,268.0,2088504,2417173,30000142,60003760,90,2025-11-11T10:56:23Z,7173268573,1,region
sell,269.6,5914195,5914195,30000142,60003760,90,2025-11-11T16:41:55Z,7183560677,1,region
sell,269.7,28955427,28955427,30000142,60003760,90,2025-11-11T10:56:15Z,7183365539,1,region
sell,270.0,1505,1505,30000142,60003760,90,2025-11-11T10:46:52Z,7183361322,1,region
sell,270.0,802,802,30000142,60003760,90,2025-11-14T19:37:37Z,7185870674,1,region
sell,272.0,200000,200000,30000142,60003760,90,2025-11-16T01:03:14Z,7187146435,1,region
sell,272.4,11720220,11720220,30000142,60003760,90,2025-11-14T13:01:52Z,7185714427,1,region
sell,273.2,1718393,1758306,30000142,60003760,90,2025-11-11T10:11:36Z,7183345277,1,region
sell,274.0,5869,5869,30000142,60003760,14,2025-11-11T14:12:43Z,7183463996,1,region
sell,275.3,2177484,5956840,30000142,60003760,90,2025-11-11T05:06:27Z,7183168338,1,region
sell,275.5,30722555,30722555,30000142,60003760,90,2025-11-11T04:55:36Z,7183217334,1,region
sell,277.9,4279396,5221197,30000142,60003760,90,2025-11-10T23:18:57Z,7183055785,1,region
sell,278.9,501024,501024,30000142,60003760,90,2025-11-15T02:58:59Z,7186260613,1,region
sell,280.6,983026,983893,30000142,60003760,90,2025-11-10T21:58:04Z,7183008917,1,region
sell,281.0,335454,335454,30000142,60003760,90,2025-11-10T21:31:25Z,7182991352,1,region
sell,281.2,2142854,2720267,30000142,60003760,90,2025-11-10T19:13:08Z,7182896085,1,region
sell,281.4,1114200,10000000,30000142,60003760,90,2025-11-10T17:50:17Z,7182836350,1,region
sell,282.0,1747313,2000000,30000142,60003760,90,2025-11-10T10:17:03Z,7182569068,1,region
sell,282.0,14596,20670,30000180,60012667,90,2025-11-09T06:54:57Z,7181629308,1,region
sell,282.3,308387,1997516,30000142,60003760,90,2025-11-09T07:46:44Z,7181649475,1,region
sell,282.9,1824760,2009887,30000142,60003760,90,2025-11-09T06:50:24Z,7181627365,1,region
sell,283.0,577768,577768,30000142,60003760,14,2025-11-09T06:50:03Z,7181627235,1,region
sell,283.9,1435151,4869986,30000142,60003760,90,2025-11-08T23:38:42Z,7181429736,1,region
sell,286.2,1387287,1387287,30000142,60003760,90,2025-11-09T03:17:37Z,7181536959,1,region
sell,286.6,7654851,10000000,30000142,60003760,90,2025-11-08T20:12:10Z,7181287083,1,region
sell,287.0,1532435,3495746,30000142,60003760,90,2025-11-08T19:01:29Z,7181235318,1,region
sell,288.0,412236,412236,30000142,60003760,90,2025-11-08T19:04:15Z,7181237549,1,region
sell,288.1,6235935,6938720,30000142,60003760,90,2025-11-08T17:45:31Z,7181181774,1,region
sell,288.2,5769816,5973330,30000142,60003760,90,2025-11-08T16:47:49Z,7181136050,1,region
sell,288.3,32920726,32920726,30000142,60003760,90,2025-11-10T23:42:07Z,7171430454,1,region
sell,288.5,1934,1934,30000142,60003760,30,2025-11-12T13:42:27Z,7184223524,1,region
sell,288.6,2207902,2207902,30000142,60003760,90,2025-10-29T19:41:03Z,7173599534,1,region
sell,288.8,65732,65732,30000142,60003760,90,2025-11-13T00:40:22Z,7184633899,1,region
sell,288.9,842140,1911690,30000142,60003760,90,2025-10-29T19:00:35Z,7173566156,1,region
sell,289.0,212293,2333602,30000142,60003760,90,2025-10-29T18:48:09Z,7171919624,1,region
sell,289.0,7992,7992,30000197,60001624,90,2025-10-29T15:58:46Z,7173445082,1,region
sell,289.7,6730191,10728445,30000142,60003760,90,2025-10-29T16:16:48Z,7173457055,1,region
sell,290.0,3880416,3880416,30000142,60003760,90,2025-11-01T04:32:35Z,7175325100,1,region
sell,290.0,4967820,4967820,30000142,60003760,90,2025-11-01T04:25:43Z,7175322721,1,region
sell,290.0,7567,13532,30000142,60002959,90,2025-11-07T13:01:32Z,7180200383,1,region
sell,290.0,793,793,30000130,60005461,90,2025-11-15T14:22:37Z,7186645953,1,region
sell,291.2,877550,1000000,30000142,60003760,90,2025-10-29T10:35:12Z,7173262479,1,region
sell,291.8,95647,95647,30000142,60003760,90,2025-10-29T06:21:26Z,7173168436,1,region
sell,292.0,5755033,5875033,30000142,60003760,90,2025-10-28T14:28:19Z,7172643855,1,region
sell,292.8,1000000,1000000,30000142,60003760,90,2025-10-28T14:22:24Z,7172640971,1,region
sell,292.8,2739140,2739140,30000142,60003760,90,2025-10-28T22:56:07Z,7172989973,1,region
sell,295.5,11104,11104,30000142,60003760,30,2025-11-08T03:06:03Z,7180669699,1,region
sell,296.0,4623657,4741672,30000142,60003760,90,2025-10-28T02:12:58Z,7172344995,1,region
sell,298.0,281085,281085,30000142,60003760,90,2025-11-10T23:05:27Z,7183047704,1,region
sell,298.9,12046,12046,30000142,60003760,90,2025-10-27T16:13:24Z,7171996722,1,region
sell,299.0,100,100,30000142,60003760,90,2025-11-08T06:38:40Z,7180760892,1,region
sell,299.8,5000000,5000000,30000142,60003760,90,2025-11-01T12:10:20Z,7175539367,1,region
sell,300.1,468739,2056616,30000140,60003763,90,2025-10-21T17:05:55Z,7167583973,1,region
sell,300.5,10435,10435,30000142,60003760,30,2025-10-31T12:24:17Z,7174787562,1,region
sell,301.5,1843567,1843567,30000142,60003760,90,2025-10-27T11:30:01Z,7171847849,1,region
sell,301.9,1566032,1876512,30000142,60003760,90,2025-10-27T10:10:31Z,7171812549,1,region
sell,302.0,13310339,13310339,30000142,60003760,90,2025-10-27T10:04:06Z,7171810144,1,region
sell,302.9,1425,1425,30000205,60000964,90,2025-10-21T14:39:30Z,7167496033,1,region
sell,303.7,490843,490843,30000142,60003760,90,2025-11-08T22:18:01Z,7181380633,1,region
sell,303.8,3123488,3123488,30000142,60003760,90,2025-10-27T09:50:02Z,7171805113,1,region
sell,303.9,3577228,3577228,30000142,60003760,90,2025-10-25T14:04:23Z,7170290855,1,region
sell,303.9,1000000,1000000,30000142,60003760,90,2025-10-23T12:10:44Z,7168754800,1,region
sell,305.0,142931,142931,30000142,60003760,30,2025-11-02T01:59:34Z,7176120421,1,region
sell,307.7,2279478,2474208,30000142,60003760,90,2025-10-19T17:04:40Z,7166153546,1,region
sell,307.8,29000000,29000000,30000142,60003760,90,2025-10-19T17:21:12Z,7166167163,1,region
sell,308.5,4800000,4800000,30000142,60003760,90,2025-10-18T16:24:40Z,7165259956,1,region
sell,309.0,7376576,25000000,30000142,60003760,90,2025-10-17T22:07:04Z,7164707560,1,region
sell,310.0,189658,36948205,30000142,60003760,90,2025-10-17T07:55:38Z,7164240245,1,region
sell,311.0,16558,16558,30000142,60003760,30,2025-11-13T00:45:25Z,7184636062,1,region
sell,312.9,2994020,2994020,30000142,60003760,90,2025-10-21T09:34:06Z,7167356769,1,region
sell,313.0,19359216,19359216,30000142,60003760,90,2025-10-17T13:52:13Z,7164397583,1,region
sell,319.0,5806690,5806690,30000142,60003760,90,2025-10-22T18:47:40Z,7145507353,1,region
sell,319.0,8257923,25000000,30000142,60003760,90,2025-09-23T13:43:22Z,7147515656,1,region
sell,319.9,100000,100000,30000142,60003760,90,2025-09-24T20:34:54Z,7148364588,1,region
sell,321.2,11415,11415,30000142,60003760,90,2025-09-23T09:30:04Z,7147409680,1,region
sell,324.7,1364290,1364290,30000142,60003760,90,2025-10-25T22:55:19Z,7170685837,1,region
sell,325.0,81636,81636,30000142,60003760,90,2025-09-20T11:40:20Z,7145369198,1,region
sell,328.9,300000,300000,30000142,60003760,90,2025-09-23T00:46:50Z,7147237285,1,region
sell,329.0,2000156,2000156,30000142,60003760,90,2025-09-20T12:32:08Z,7145398106,1,region
sell,329.3,1797481,4061189,30000142,60003760,90,2025-09-20T08:26:23Z,7145269306,1,region
sell,329.8,2304866,2304866,30000142,60003760,90,2025-09-21T19:18:51Z,7146428799,1,region
sell,329.9,11500025,11500025,30000142,60003760,90,2025-10-04T00:00:39Z,7145610225,1,region
sell,330.2,101,101,30000142,60003760,90,2025-10-11T16:15:20Z,7160036934,1,region
sell,333.9,1578484,1598484,30000142,60003760,90,2025-09-15T03:47:11Z,7142165326,1,region
sell,334.9,3291814,3291814,30000142,60003760,90,2025-09-15T05:26:59Z,7142197125,1,region
sell,335.0,4230239,20000000,30000142,60003760,90,2025-09-13T21:30:41Z,7141239804,1,region
sell,336.9,131704,5000000,30000142,60003760,90,2025-09-13T19:01:44Z,7081308306,1,region
sell,336.9,4989921,5000000,30000142,60003760,90,2025-09-13T19:02:07Z,7081381038,1,region
sell,338.9,414657,414657,30000142,60003760,90,2025-09-02T17:57:43Z,7134004405,1,region
sell,339.0,393490,393490,30000142,60003760,90,2025-09-30T18:15:22Z,7152281669,1,region
sell,339.0,13701585,13701585,30000142,60003760,90,2025-11-10T08:30:56Z,7120145062,1,region
sell,340.0,2223,2223,30000142,60003760,90,2025-09-08T12:26:48Z,7137693973,1,region
sell,340.0,4304,4304,30000142,60003760,90,2025-09-08T12:27:33Z,7137694186,1,region
sell,340.0,617375,617375,30000142,60003760,90,2025-09-13T10:37:12Z,7100688990,1,region
sell,340.0,3194,3194,30000142,60003760,90,2025-09-07T10:49:13Z,7136965012,1,region
sell,342.6,30111,30111,30000142,60003760,90,2025-09-04T00:44:58Z,7134810786,1,region
sell,343.0,6386762,16999069,30000142,60003760,90,2025-11-01T21:04:21Z,7110397942,1,region
sell,349.9,6692744,6692744,30000142,60003760,90,2025-10-17T06:42:53Z,7108132645,1,region
sell,350.7,14989676,14989676,30000142,60003760,90,2025-09-06T22:07:07Z,7136653757,1,region
sell,354.0,1000000,1000000,30000142,60003760,90,2025-11-11T19:54:30Z,7183707647,1,region
sell,357.0,814763,814763,30000142,60003760,90,2025-11-16T03:54:21Z,7187241443,1,region
sell,360.0,6,75492,30000190,60001585,90,2025-08-29T17:05:12Z,7131161118,1,region
sell,362.9,100000,100000,30000142,60003760,90,2025-10-05T14:35:05Z,7095720686,1,region
sell,363.0,15191692,15191692,30000142,60003760,90,2025-10-14T20:42:51Z,7103072535,1,region
sell,363.7,11165363,11165363,30000142,60003760,90,2025-10-23T08:02:50Z,7110398344,1,region
sell,370.6,10000,10000,30000142,60003760,90,2025-09-21T09:46:32Z,7146046395,1,region
sell,378.1,517274,517274,30000142,60003760,90,2025-09-18T04:13:26Z,7088796342,1,region
sell,387.8,3084507,5000000,30000142,60003760,90,2025-10-04T21:46:17Z,7032280748,1,region
sell,395.0,9779,19999,30030141,60015027,90,2025-11-16T03:24:03Z,7185444417,1,region
sell,396.0,5995,10000,30030141,60015027,90,2025-11-16T00:09:37Z,7186308696,1,region
sell,399.9,25722540,25722540,30000142,60003760,90,2025-09-18T04:13:58Z,7026028176,1,region
sell,400.0,2654,3312,30030141,60015027,7,2025-11-15T14:06:03Z,7186633975,1,region
sell,464.9,7107,7464,30030141,60015027,90,2025-11-15T14:49:07Z,7186466661,1,region
sell,471.9,14610,20000,30030141,60015027,90,2025-11-14T22:30:05Z,7186116989,1,region
sell,475.9,2906,3964,30030141,60015027,7,2025-11-10T20:13:59Z,7182938062,1,region
sell,495.0,67,67,30030141,60015027,90,2025-11-02T20:19:36Z,7176812006,1,region
sell,495.0,8,8,30030141,60015027,90,2025-11-02T19:55:33Z,7176794170,1,region
sell,500.0,43023424,43023424,30000142,60003760,90,2025-08-24T20:55:25Z,7128134111,1,region
sell,518.7,13325562,13325562,30000142,60003760,90,2025-09-24T20:40:29Z,6901391488,1,region
sell,550.0,17489913,17489913,30000142,60003760,90,2025-09-24T20:40:17Z,7023122319,1,region
sell,577.0,251842,500000,30000144,60000358,90,2025-08-30T23:08:16Z,7132079798,1,region
sell,598.0,602345,807479,30000149,60002740,90,2025-11-12T16:47:09Z,7184336386,1,region
sell,649.7,5768520,5768520,30000142,60003760,90,2025-09-24T20:40:41Z,6697021424,1,region
sell,950.0,68163,68812,30000149,60002740,90,2025-10-14T19:25:52Z,7162556476,1,region
sell,950.0,22416,57586,30000153,60003934,90,2025-08-24T07:47:52Z,7127617511,1,region
sell,950.0,1605,51680,30000158,60004210,90,2025-08-29T04:52:52Z,7130835035,1,region
