side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,11940000.0,5,5,30000142,60003760,3,2025-11-16T04:32:52Z,7185512355,1,station
buy,11930000.0,30,30,30000142,60003760,3,2025-11-16T03:48:02Z,7186460810,1,station
buy,11920000.0,17,17,30000142,60003760,90,2025-11-16T03:29:33Z,7186831159,1,1
buy,11910000.0,23,23,30000142,60003760,90,2025-11-15T23:45:36Z,7184889289,1,station
buy,11910000.0,30,30,30000144,1044752365771,30,2025-11-15T23:55:35Z,7187110134,1,1
buy,11900000.0,15,15,30000142,60003760,90,2025-11-15T19:17:12Z,7171177217,1,station
buy,11890000.0,5,20,30000142,60003760,90,2025-11-15T18:58:12Z,7181931074,1,1
buy,11870000.0,12,12,30000142,60003760,90,2025-11-15T17:48:32Z,7186816681,1,station
buy,11860000.0,37,60,30000142,60003760,14,2025-11-15T15:51:47Z,7158497205,1,station
buy,11850000.0,70,100,30000142,60003760,90,2025-11-15T15:42:03Z,7171476334,1,station
buy,11830000.0,50,50,30000142,60003760,90,2025-11-15T15:00:10Z,7186675282,1,station
buy,11810000.0,11,20,30000142,60003760,14,2025-11-15T14:26:39Z,7159859891,1,station
buy,11790000.0,40,40,30000142,60003760,1,2025-11-15T09:53:56Z,7186464348,1,station
buy,11780000.0,13,40,30000142,60003760,14,2025-11-15T07:11:11Z,7164238590,1,station
buy,11760000.0,56,80,30000142,60003760,90,2025-11-15T05:24:09Z,7176176904,1,station
buy,11760000.0,5,5,30000142,60003760,90,2025-11-15T03:19:31Z,7183922766,1,1
buy,11720000.0,30,30,30000142,60003760,14,2025-11-14T22:17:14Z,7170607492,1,station
buy,11720000.0,7,7,30000142,60003760,14,2025-11-14T22:31:35Z,7186117788,1,station
buy,11710000.0,10,10,30000144,1042508032148,90,2025-11-14T21:17:53Z,7184497127,1,1
buy,11160000.0,70,100,30000142,60003760,30,2025-11-07T18:46:02Z,7179329901,1,station
buy,10540000.0,6,6,30000142,60003760,90,2025-11-05T18:17:29Z,7167538533,1,station
buy,10000000.0,100,100,30000142,60003760,90,2025-11-01T18:26:37Z,7175831360,1,station
buy,6500000.0,20,20,30000142,60003760,30,2025-10-30T14:59:24Z,7174153318,1,station
buy,4496000.0,50,50,30000142,60003760,90,2025-10-24T00:41:30Z,7169175361,1,station
buy,4458000.0,60,60,30000142,60003760,90,2025-10-21T20:54:58Z,7093023330,1,station
buy,4118000.0,12,12,30000144,1044752365771,90,2025-10-12T10:24:13Z,7160668883,1,2
buy,4100000.0,100,100,30000144,1044752365771,90,2025-10-10T18:42:50Z,7159318301,1,1
buy,500600.0,100,100,30000142,60003760,90,2025-11-16T00:36:12Z,7145496273,1,region
buy,500000.0,46,50,30000142,60003760,90,2025-08-25T18:55:33Z,7079687279,1,station
buy,403500.0,54,100,30000142,60003760,90,2025-10-04T02:05:25Z,6422340378,1,region
sell,18480000.0,25,25,30000142,60003760,90,2025-11-16T03:58:03Z,7187243684,1,region
sell,18490000.0,26,52,30000142,60003760,90,2025-09-16T06:54:06Z,7088098752,1,region
sell,19990000.0,200,247,30000142,60003760,90,2025-09-27T06:25:06Z,6985563333,1,region
sell,19990000.0,13,13,30000142,60003760,90,2025-09-02T07:53:12Z,7086791362,1,region
sell,20490000.0,77,104,30000142,60003760,90,2025-09-16T06:53:42Z,6964355133,1,region
sell,21000000.0,5,10,30000162,60004081,90,2025-11-16T00:36:22Z,6935911266,1,region
