side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,33430000.0,1,1,30000142,60003760,90,2025-11-07T16:26:52Z,7072358206,1,station
buy,33340000.0,1,1,30000142,60003760,90,2025-11-05T09:06:56Z,7178680014,1,solarsystem
buy,31380000.0,1,1,30000142,60003760,90,2025-10-18T20:07:23Z,7161905497,1,station
buy,31010000.0,1,1,30000142,60003760,90,2025-10-16T20:49:25Z,6879806444,1,40
sell,699900000.0,1,1,30000142,60003760,90,2025-11-16T03:44:44Z,7187236126,1,region
sell,700000000.0,1,1,30000142,60003760,90,2025-10-31T21:28:20Z,7156471749,1,region
sell,800000000.0,1,1,30000142,60003760,90,2025-10-07T05:55:01Z,7156757530,1,region
sell,2690000000.0,1,1,30000142,60003760,90,2025-10-07T23:48:18Z,7012528617,1,region
sell,2693000000.0,1,1,30000142,60003760,90,2025-09-28T23:44:07Z,7134326305,1,region
sell,2695000000.0,1,1,30000142,60003760,90,2025-08-18T14:59:58Z,7019835917,1,region
