side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,31520000.0,1,1,30000144,1042508032148,90,2025-11-10T20:57:01Z,7180453771,1,40
buy,31510000.0,3,3,30000142,60003760,90,2025-11-10T19:31:40Z,7174374469,1,station
buy,31490000.0,5,6,30000142,60003760,90,2025-11-09T18:09:57Z,7149814577,1,1
buy,31430000.0,3,3,30000144,1044752365771,90,2025-11-04T11:33:10Z,7144543009,1,1
sell,59960000.0,1,3,30000142,60003760,30,2025-11-12T12:20:26Z,7182674013,1,region
sell,59970000.0,1,3,30000142,60003760,90,2025-11-12T02:53:35Z,7165705647,1,region
sell,60000000.0,6,6,30000142,60003760,90,2025-11-06T03:56:06Z,7179266427,1,region
sell,99800000.0,1,1,30000142,60003760,90,2025-10-18T19:07:46Z,7165376515,1,region
sell,99900000.0,1,6,30000142,60003760,90,2025-10-02T05:24:35Z,7103698450,1,region
sell,100000000.0,1,1,30000142,60003760,90,2025-09-28T03:04:34Z,7150525490,1,region
