side,price,volume_remain,volume_total,system_id,location_id,duration,issued,order_id,min_volume,range
buy,1876000000.0,1,1,30000142,60003760,90,2025-11-16T01:31:31Z,7158114726,1,station
buy,1875000000.0,1,1,30000142,60003760,90,2025-11-15T22:03:28Z,7176884931,1,2
buy,1874000000.0,1,2,30000142,60003760,90,2025-11-15T02:15:08Z,7151348607,1,station
buy,1857000000.0,1,1,30000142,60003760,90,2025-11-01T20:41:50Z,7147176015,1,station
buy,1805000000.0,2,2,30000142,60003760,90,2025-09-22T09:48:26Z,7146434490,1,1
buy,1802000000.0,1,1,30000142,60003760,90,2025-09-21T19:20:05Z,7146429561,1,1
buy,850000000.0,1,1,30000142,60003760,90,2025-10-26T16:22:38Z,7171256273,1,region
buy,2337000.0,1,1,30000142,60003760,90,2025-11-07T13:13:34Z,7166280194,1,region
buy,2336000.0,1,1,30000142,60003760,90,2025-11-06T17:47:08Z,7099461962,1,region
buy,50.0,5050,5050,30000142,60003760,90,2025-09-26T14:17:02Z,7149370044,1,40
sell,4299000000.0,1,1,30000142,60003760,90,2025-11-11T18:47:31Z,7149684313,1,region
sell,4300000000.0,1,1,30000142,60003760,90,2025-11-10T07:33:22Z,7182505159,1,region
sell,4350000000.0,1,1,30000142,60003760,90,2025-11-07T07:30:18Z,7180058201,1,region
sell,4499000000.0,2,2,30000142,60003760,90,2025-10-31T14:53:32Z,7174879455,1,region
sell,4500000000.0,1,1,30000142,60003760,90,2025-10-01T07:05:23Z,7152599689,1,region
sell,5000000000.0,1,1,30000142,60003760,90,2025-10-16T11:54:40Z,7163668873,1,region
